"idstd","country","wt","sector_MS","income","l1","indicator","indicatorQuantile","N_indicator","age","size","expStatus","forOwner"
542284,"Albania2013",1,"Manufacturing","Middle income",280,0.056,17.8571428571429,1,"16-30","Large firms","0-25%","0-50%"
542283,"Albania2013",1,"Manufacturing","Middle income",140,0.0217391304347826,46,1,"+30","Large firms","0-25%","+75%"
542273,"Albania2013",1,"Manufacturing","Middle income",36,0.211822660098522,4.72093023255814,1,"16-30","Medium firms","0-25%","+75%"
542237,"Albania2013",3.54008926040517,"Manufacturing","Middle income",10,0.45,2.22222222222222,1,"16-30","Small firms","0-25%","+75%"
542208,"Albania2013",3.54008926040517,"Manufacturing","Middle income",5,0.958080808080808,1.0437532946758,1,"0-5","Small firms","0-25%","+75%"
542141,"Albania2013",3.15608318378069,"Manufacturing","Middle income",5,0.5,2,1,"6-15","Small firms","0-25%","+75%"
542100,"Albania2013",1,"Manufacturing","Middle income",83,0.0172874193838948,57.8455336677731,1,"16-30","Medium firms","0-25%","+75%"
542103,"Albania2013",2.30022576826536,"Manufacturing","Middle income",98,0.0564555272289948,17.7130575,1,"6-15","Medium firms","51-75%","+75%"
542280,"Albania2013",1,"Manufacturing","Middle income",6,0.048,20.8333333333333,1,"16-30","Small firms","0-25%","+75%"
542213,"Albania2013",1.12394535511557,"Manufacturing","Middle income",9,0.415384615384615,2.40740740740741,1,"6-15","Small firms","0-25%","+75%"
542269,"Albania2013",1,"Manufacturing","Middle income",90,0.309299895506792,3.23310810810811,1,"16-30","Medium firms","0-25%","+75%"
542142,"Albania2013",3.2223612968175,"Manufacturing","Middle income",50,0.005,200,1,"16-30","Medium firms","0-25%","+75%"
542138,"Albania2013",3.15608318378069,"Manufacturing","Middle income",8,0.19,5.26315789473684,1,"16-30","Small firms","0-25%","+75%"
542281,"Albania2013",1,"Manufacturing","Middle income",296,0.533333333333333,1.875,1,"16-30","Large firms","0-25%","+75%"
542232,"Albania2013",3.54008926040517,"Manufacturing","Middle income",6,0.7,1.42857142857143,1,"0-5","Small firms","0-25%","+75%"
542093,"Albania2013",3.31368820305368,"Manufacturing","Middle income",10,0.50561797752809,1.97777777777778,1,"16-30","Small firms","0-25%","+75%"
542235,"Albania2013",3.54008926040517,"Manufacturing","Middle income",5,0.482412060301507,2.07291666666667,1,"6-15","Small firms","0-25%","+75%"
542139,"Albania2013",3.15608318378069,"Manufacturing","Middle income",14,0.371428571428571,2.69230769230769,1,"6-15","Small firms","0-25%","+75%"
542176,"Albania2013",1.26492131890155,"Manufacturing","Middle income",25,0.133333333333333,7.5,1,"16-30","Medium firms","0-25%","0-50%"
542275,"Albania2013",1,"Manufacturing","Middle income",20,0.768,1.30208333333333,1,"16-30","Medium firms","0-25%","+75%"
542221,"Albania2013",1.12394535511557,"Manufacturing","Middle income",10,0.5,2,1,"6-15","Small firms","0-25%","+75%"
542250,"Albania2013",3.54008926040517,"Manufacturing","Middle income",5,0.7,1.42857142857143,1,"16-30","Small firms","0-25%","+75%"
542186,"Albania2013",1.27393104141051,"Manufacturing","Middle income",24,0.333333333333333,3,1,"16-30","Medium firms","0-25%","+75%"
542253,"Albania2013",3.54008926040517,"Manufacturing","Middle income",50,1.06956756756757,0.934957295193814,1,"16-30","Medium firms","+75%","+75%"
542278,"Albania2013",1,"Manufacturing","Middle income",33,0.0594,16.8350168350168,1,"16-30","Medium firms","0-25%","0-50%"
542263,"Albania2013",3.54008926040517,"Manufacturing","Middle income",6,0.0726175,13.7707852790305,1,"6-15","Small firms","0-25%","0-50%"
542143,"Albania2013",3.2223612968175,"Manufacturing","Middle income",100,0.5,2,1,"16-30","Large firms","+75%","+75%"
542274,"Albania2013",1,"Manufacturing","Middle income",60,0.925529411764706,1.0804626922588,1,"6-15","Medium firms","+75%","+75%"
542187,"Albania2013",1,"Manufacturing","Middle income",102,0.438304669439085,2.28151801640566,1,"16-30","Large firms","+75%","0-50%"
542285,"Albania2013",2.55456873053521,"Manufacturing","Middle income",250,0.427222222222222,2.3407022106632,1,"16-30","Large firms","+75%","+75%"
542102,"Albania2013",1,"Manufacturing","Middle income",70,0.785714285714286,1.27272727272727,1,"16-30","Medium firms","+75%","0-50%"
542094,"Albania2013",3.31368820305368,"Manufacturing","Middle income",100,0.28,3.57142857142857,1,"16-30","Large firms","+75%","0-50%"
542184,"Albania2013",1.27393104141051,"Manufacturing","Middle income",46,0.0367369410865295,27.2205570312623,1,"6-15","Medium firms","+75%","0-50%"
542247,"Albania2013",3.54008926040517,"Manufacturing","Middle income",12,0.0523449885944785,19.1040255591054,1,"6-15","Small firms","0-25%","+75%"
542282,"Albania2013",2.55456873053521,"Manufacturing","Middle income",160,0.025,40,1,"6-15","Large firms","+75%","+75%"
542104,"Albania2013",2.30022576826536,"Manufacturing","Middle income",160,0.447916666666667,2.23255813953488,1,"16-30","Large firms","+75%","0-50%"
542144,"Albania2013",1,"Manufacturing","Middle income",60,0.125,8,1,"6-15","Medium firms","+75%","+75%"
542271,"Albania2013",1,"Manufacturing","Middle income",100,0.94589,1.05720538328981,1,"6-15","Large firms","+75%","+75%"
542183,"Albania2013",6.36478804983799,"Manufacturing","Middle income",70,0.0465116279069767,21.5,1,"6-15","Medium firms","+75%","+75%"
542236,"Albania2013",3.54008926040517,"Manufacturing","Middle income",6,0.075,13.3333333333333,1,"6-15","Small firms","0-25%","+75%"
542266,"Albania2013",1,"Manufacturing","Middle income",62,1.17498866666667,0.851072038709026,1,"6-15","Medium firms","+75%","+75%"
542214,"Albania2013",3.54008926040517,"Manufacturing","Middle income",5,0.144805876180483,6.90579710144928,1,"16-30","Small firms","26-50%","+75%"
542135,"Albania2013",3.15608318378069,"Manufacturing","Middle income",3,0.333333333333333,3,1,"16-30","Small firms","0-25%","+75%"
542211,"Albania2013",1.12394535511557,"Manufacturing","Middle income",23,0.2898,3.45065562456867,1,"16-30","Medium firms","0-25%","+75%"
542207,"Albania2013",1.12394535511557,"Manufacturing","Middle income",22,0.366666666666667,2.72727272727273,1,"6-15","Medium firms","0-25%","0-50%"
542254,"Albania2013",3.54008926040517,"Manufacturing","Middle income",15,0.0427509293680297,23.3913043478261,1,"16-30","Small firms","0-25%","+75%"
