"countryOnly","country","N","mean","median","sd","iqr","OPcov","OPcovNoWeights","indAlloc","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",91,0.23348042019303,0.160215949025396,0.221167787031608,0.307,-0.0265092399470697,-0.0337653481760302,0.956918818017609,1,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",322,0.276642504213143,0.21914909016117,0.232748497157888,0.329166666666667,-0.0241093306262909,-0.00918677767106112,1.16666666666667,38,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",294,0.0405337814265319,0.01,0.0587508655749573,0.0597142857142857,0.00669694127578132,0.00812787992737384,0.767187201342946,31,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",133,0.209812627875092,0.192857684349404,0.125759486404651,0.171923076923077,-0.00367461276497856,-0.00118231537424545,1.22222222222222,1,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",887,0.245343209618401,0.201071080996327,0.186245683691925,0.222607110444674,-0.0505911574238027,-0.0561475435580925,1.83379393965667,12,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",224,0.135670713498773,0.0798992454510868,0.142905554961577,0.169117647058824,0.0811957468102157,0.0534810786636436,1.38461538461538,5,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",243,0.339493817420994,0.3125,0.233362110083041,0.339333333333333,0.0191513306275469,0.0216161077656635,0.614900857135238,0,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",127,0.250112840750719,0.230769230769231,0.148795005240672,0.191468429342064,-0.0478393176972426,-0.029872819790844,0.805314551984333,0,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",1380,0.212192454671378,0.166666666666667,0.179304029299774,0.211666666666667,-0.0614962061460807,-0.0212929794793879,1.25,1,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",123,0.288681785957282,0.3,0.0819545367175771,0.083333333333333,0.00286262278632158,0.00300935223583444,1.66109558023796,8,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",232,0.180727959508316,0.133333333333333,0.142516317156936,0.191904761904762,-0.00144937626788512,-0.008804341790018,0.956093679241348,0,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",148,0.222668942445957,0.188888888888889,0.141533727708744,0.184210526315789,-0.0460421805932527,-0.0379840671419447,1.19045141742979,0,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",238,0.233513073077733,0.177736285537376,0.218056112222026,0.300486111111111,0.0143888599557528,-0.0149476580492872,0.792541645618403,2,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",249,0.237133182561408,0.18192965176023,0.226506715721229,0.252001779359431,0.0241155095833424,0.0463320723780892,0.735387278323093,0,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Bolivia","Bolivia2010",150,0.170935814765948,0.133333333333333,0.15072548980297,0.155021216407355,0.00826547142420726,0.0527514657535822,1.93553496236022,7,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",216,0.175088420805966,0.129163634955608,0.149202368237595,0.216601307189543,-0.0664943251789321,-0.0706935660128351,1.06656213643759,3,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",1562,0.246162626966642,0.224499319944317,0.179079689674067,0.212857142857143,-0.0359568172354386,-0.0608736385423556,1,22,"2009","Latin America and Caribbean","Brazil","Upper middle income"
