"countryOnly","country","N","mean","median","sd","iqr","OPcov","OPcovNoWeights","indAlloc","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",56,0.257794157167085,0.2,0.207828455000821,0.256551724137931,-0.0491516247903952,-0.0435397118903065,0.835670395462423,1,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",223,0.286432685886971,0.253509409397239,0.216002697174698,0.275,-0.0166302834646612,-0.0341617343756748,1.19901300514533,26,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",171,0.0378936798260653,0.0122889895744196,0.052928398118307,0.051056862745098,0.00503486204999775,0.00423346769857099,0.708333333333333,25,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",103,0.214286238344436,0.190384175760138,0.139068693300706,0.197610921501706,-0.00143571178679677,0.000866598752796902,1.25519492005523,0,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",219,0.264238050232569,0.201175290991731,0.217421414151039,0.255611111111111,-0.0599386199748479,-0.0787501583160332,1.36164295091009,2,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",151,0.104197069862849,0.0554796158997198,0.111105185087243,0.143188405899181,0.106491318072001,0.0766449327661682,1.21258601633485,5,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",155,0.335152889991296,0.275,0.256059765997621,0.393527108433735,-0.0203859238343559,-0.0712538796105953,0.713729835589028,0,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",91,0.254303588562112,0.230769230769231,0.151413147625125,0.189333333333333,-0.0479794854687407,-0.0294427601215104,0.881037895512749,0,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",243,0.265103433018916,0.2,0.213361876357955,0.219827586206897,0.000422619927598722,0.00359244918214177,0.912694101959094,0,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",57,0.296576922282629,0.319768763732608,0.0748525729144685,0.073333333333333,0.005155006141554,0.00507497805453185,1.75261276355457,6,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",150,0.165903156749361,0.130085487679709,0.130324266481498,0.184935897435897,-0.00623341306335312,-0.0375270238932137,1.30512909947696,0,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",76,0.216659150572084,0.186830652323808,0.141596802083324,0.204761904761905,-0.0491643175241904,-0.0465350175407467,0.466666666666667,0,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",158,0.217516150779037,0.156068205516044,0.213786758628065,0.303907356273862,0.0245738301509909,0.0168601461972343,0.839941589658798,2,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",162,0.230676852104593,0.166060760207108,0.241435848328734,0.241842105263158,-0.038633139227917,-0.0375339519418331,0.793175370291759,0,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Bolivia","Bolivia2010",86,0.184802515541274,0.139174179278751,0.162104376912056,0.162779272829362,-0.0637201995874671,-0.0010598768535748,1.4856973155634,3,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",148,0.166380142864217,0.114285714285714,0.150539802107472,0.219176927536232,-0.0684206686892125,-0.0729080147606748,0.790769562729862,2,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",273,0.254467008115872,0.22335992232159,0.197164617236468,0.226190476190476,-0.0517586835577067,-0.0800902154182667,1,6,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",153,0.209451541111748,0.151271039523294,0.195906046995996,0.235205183585313,-0.0222720066512509,-0.0401821707661278,0.888888888888889,0,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Burkinafaso","Burkinafaso2009",229,0.126585683529972,0.0666666666666667,0.133225983141497,0.154786588845356,-0.0255716466901396,-0.0199175546242779,1.21675331076049,1,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Burundi","Burundi2014",92,0.167546856384228,0.125043516739902,0.135609663433341,0.181455073361037,0.0164497200583953,0.0138550152606791,0.94370820302698,1,"2014","Sub-Saharan Africa","Burundi","Low income"
"Cameroon","Cameroon2009",221,0.273426998761428,0.265860403920869,0.184531054846791,0.3,-0.083446849314332,-0.104183607305698,0.626274710363877,0,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",227,0.266733971100306,0.134049260873179,0.232358227621087,0.3159718409287,-0.0839032155348283,-0.0944259395084274,0.97556769551548,1,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",941,0.130768401983135,0.1,0.112609352613318,0.127380952380952,0.0180913424857153,-0.000112260587050096,0.933333333333333,40,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",215,0.272806661659156,0.229652965076111,0.221363572423311,0.196969696969697,-0.0450687156350603,-0.0363836515895446,1.8,1,"2010","Latin America and Caribbean","Colombia","Upper middle income"
