"countryOnly","country","N","mean","median","sd","iqr","OPcov","OPcovNoWeights","indAlloc","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",417,2.80342243205109,2.47038442602121,1.55085474000359,2.18250933025912,0.235387776605714,-0.30861768395968,2.36293101694826,0,"2010","Latin America and Caribbean","Argentina","High income"
"Bahamas","Bahamas2010",16,1.40343352523104,1.18551352433265,0.59526172178549,0.663928730525133,0.00116858518649947,0.022884001191553,0.381818181818182,0,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",1068,2.71339288897527,2.63334538668518,1.3176259966584,1.8095997898137,0.750612207847104,0.501476449973834,1.2,0,"2013","South Asia","Bangladesh","Lower middle income"
"Belize","Belize2010",25,2.15709855095448,2.15396466955073,0.427296424135378,0.503836974019414,0.157865542653546,0.176346120793007,1.13526233409112,0,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",16,2.56648421364333,2.75881531601441,0.646467013508447,0.579075148614729,0.0539938121815261,0.0889439576861225,0.89906278060425,0,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",19,3.15192987461948,3.07445368813083,0.839980267092969,1.66996412578729,0.00651936960430024,0.196283734841224,1.18703119660016,0,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Brazil","Brazil2009",1020,2.15506552638672,2.05775211708022,1.2652900819988,1.2526192162968,0.307500859503763,0.514438145491608,0.785771578331095,13,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burundi","Burundi2014",15,3.65687837553628,3.58989796001775,0.54946497582574,0.530964133476029,0.0362036879739514,0.042610113451022,0.684992574992036,0,"2014","Sub-Saharan Africa","Burundi","Low income"
"Cameroon","Cameroon2009",18,2.64952962975404,2.61310502156373,1.18793249083977,1.44391111149491,0.261907812486001,-0.0408606458530212,0.946708643780161,0,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",558,4.01297953820133,3.18242526572766,2.46757851767719,4.30123272670875,-0.0109830673769569,-0.0989109605025423,1.33333333333333,0,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",1260,2.40876389172333,2.19849139534833,1.89138319643444,2.02168277925508,0.0053140793759284,-0.166234535610582,2.73796630118046,1,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",510,2.66768431362342,2.92976252522174,1.62082859457828,2.2399969625848,0.862118858262152,0.958552168279079,3.66743769443203,1,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",127,1.46264573211798,1.67504244956197,1.28767817873424,1.82671095704305,0.837092753870116,0.767859418267705,1.99429742407192,0,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",55,2.48541049863428,2.24089190056259,0.79983935341097,1.01715880754083,-0.0743130156492488,0.0812352474809026,0.706003749976641,0,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
