"countryOnly","country","N_0-10","mean_0-10","median_0-10","sd_0-10","iqr_0-10","OPcov_0-10","OPcovNoWeights_0-10","indAlloc_0-10","N_11-20","mean_11-20","median_11-20","sd_11-20","iqr_11-20","OPcov_11-20","OPcovNoWeights_11-20","indAlloc_11-20","N_+20","mean_+20","median_+20","sd_+20","iqr_+20","OPcov_+20","OPcovNoWeights_+20","indAlloc_+20","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",25,8963.26454137321,8298.64054808355,6705.3530450535,8928.83144599333,391.032342564725,883.438502735788,1.06786348490687,19,29462.6345581991,8153.57290385135,44915.2006646932,56751.4817840076,-19599.8356494709,-11095.1486772527,0.143540509915951,6,9284.27263489407,6399.65787868499,7870.83817829731,12084.1327840512,-1747.79703633359,-1417.03694019344,2.65709439676931,1,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",23,33728.822124181,13230.496802384,43477.3612317857,65558.7503944689,-4748.46216425047,-8737.12058583273,1.05670776505525,50,24547.8638632828,15275.6180799831,24441.9725436456,25436.7301975824,-8240.97638491884,-10037.2494045317,0.440896578700285,27,22565.1726361845,23448.3877331469,16604.7378802168,24310.2464316895,6400.19933678763,9161.05873998397,1.36155373647217,5,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",5,4029728.99260175,1011569.22154747,5618174.18946776,10061999.8361238,-2243020.99257372,-2643954.91893312,1.25,76,62766.1540014381,4743.46927312807,135821.272320889,55926.9955165825,-32304.7070095392,-33146.9536011183,0.226405094790431,27,32997.072110387,5233.66458377447,61770.0204068238,27402.7450167073,-1393.20693357955,-1353.30326004408,0.150771350088452,22,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",2,69146.8253968254,69146.8253968254,36898.6276690599,52182.5396825397,-1739.41798941799,-1739.41798941799,0.9375,13,34004.4983110336,22124.4053875532,21057.5888571279,24691.3580246913,2728.96772857934,2930.19969076307,1,13,41138.493926414,40621.0910778054,14224.4870223738,19032.9218106996,1842.8950131728,1863.69849452287,0.581512618247554,3,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",17,63502.3045790027,49931.4618714906,36424.1059137612,52806.6646855304,13130.7166951074,-4115.41460685213,1.16394046008244,142,132033.400210974,71580.9794562664,140312.924390202,140363.948167955,1069.48120118586,17255.1471832957,1.16594321804398,553,66978.3538099903,52252.0805667663,48390.5787674837,57500.5904353553,38841.2348285442,41966.4777097498,2.07714321356791,24,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",5,17173.6102567275,11185.0072614291,19173.7046404979,15190.3044598385,3713.88981105213,2014.75914376634,NA,42,15209.5486558663,12670.1874315551,10424.9220453519,12064.0920173857,-1539.29314860226,633.876983850553,0.357142857142857,31,17535.5796748624,14586.6750292079,14749.5475108277,19603.478243856,12464.6079678734,16898.643790489,0.598123918760476,2,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",9,24687.2540223968,19135.4936983603,18088.0527052342,35019.8211118839,5416.23762376528,4472.85409942111,2.13881347034805,49,13157.8652611578,9599.68680040889,11412.8132129376,6496.17681625443,-1477.65606987639,-2741.32172460246,1.03881496962139,26,15179.1841087527,10970.5399305548,12500.020684642,14562.4089456917,-977.141140320064,-1947.41835905818,0.669887350845105,5,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",3,38928.0530789965,37735.8490566038,11675.7448096499,21428.5714285714,-225.124208703589,-363.295441228174,1.22857142857143,12,105679.586563307,70000,109865.307413234,150000,77988.2197044988,79202.5509948379,0.423801369863014,19,95989.1390979026,68430.3375,75239.8744412857,148571.428571429,24241.7837006498,13688.849031936,1.74545454545455,3,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",125,6431.05073729895,5022.51643229097,5303.1623189089,5033.01080659147,-503.650276526393,-934.138621970059,1.28014889673664,369,7457.85112236821,5208.6573650436,6999.74848789702,7720.3197440476,1143.09867231314,267.622668855351,1.2,529,7334.87506962213,5218.94927594149,6631.54246519694,6262.85540528505,-896.987915720272,974.507760233633,1.81818181818182,121,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",7,56966.6852388998,54545.4545454545,27595.740180404,35606.0606060606,6085.74212507231,2155.88712362906,2.5486138292164,23,53889.805097398,46998.4870973908,41679.8503617207,33333.3333333333,3413.04589992513,3370.00440836932,0.878869557678792,34,55101.4825451785,52083.3333548572,30424.3199625631,38888.8888888889,3349.64007787123,4071.47940857401,0.363176699423534,4,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",12,22858.094824324,24911.2237629535,15558.0726526387,20499.3235053672,1726.20958510683,1313.07851628725,0.412830744459042,34,18830.892051769,13974.3487133027,16548.5077793722,15982.5234109642,-199.938276943863,-1896.57041722611,0.806451612903226,51,49338.6557405168,37239.5253642867,47918.5736878676,76098.4303084366,-13160.5017671765,-1281.24264835868,0.161528063001043,5,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",NA,NA,NA,NA,NA,NA,NA,NA,23,39042.8271865898,41453.3651256214,16821.1931267489,23783.0996884735,-1078.17121122076,-1598.54744109112,2.20476947940348,44,34067.9787679573,31166.4552304444,19965.4353406736,33333.3333333333,12782.6604444821,13429.0283378566,2.90791354957002,5,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",22,5237.93540198406,3043.15985781406,4929.09311979837,7762.4792717383,610.153684339641,838.088774911458,0.791526482160458,17,13147.8586729993,13226.1340780752,10989.2702774471,16973.4414628522,-2076.47146103029,-1613.10089348696,1.41454812330591,28,11042.6141089525,8894.78260979995,8998.3509833926,8572.80493686125,2990.24227797148,2802.94675889765,0.666354765663687,13,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",9,36763.5235117904,39746.5346629692,17722.4647249504,33536.0001746252,-7522.15364284098,-5706.28682942786,1.93568981059817,56,52272.4641609728,46059.3511251633,34457.4246271816,38616.8970939965,-13689.7451525307,-10249.8253403085,1.62671590187452,32,66011.2421936358,43904.8282676073,62489.5616175698,77084.6481197185,-13465.4903341723,-15027.2245991888,0.352237164810154,6,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Bolivia","Bolivia2010",2,23497.7501099382,23497.7501099382,4941.34717810306,6988.12019566737,2206.64132510245,2030.14559044092,1.79214961660253,19,8442.91459825386,8680.50227899865,5999.75648560692,5035.61253561254,3109.4861532824,866.894302853407,0.803758247263541,61,14037.4855729636,11196.370156005,17009.7543473179,6957.26495726497,8209.65599747337,6343.56988065876,0.912871275732814,19,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",2,24412.0311501189,24412.0311501189,35882.9020463711,50746.0867312833,16303.4165600329,15772.4323624259,2.54831489659211,36,18860.3118679983,15288.8352307177,15385.2076001762,16433.2850852378,-738.566038584714,-1389.15658665702,0.922065040061481,31,23406.7160210252,18834.5530129894,18064.7600011725,18771.6478978981,4944.79998667844,4379.59061897594,1.70779710374297,7,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",10,25983.002085739,19766.5409641654,33864.5593834783,35017.0616367848,6210.61104568041,778.883279933892,0.963219906587803,428,44368.772844236,32448.0972666718,40473.4183036057,64069.3888023256,997.733402336924,7151.60662351141,0.833333333333333,863,40737.9167405534,19786.1347771888,50387.6198951731,51515.9000016988,10168.3461014462,13366.4686094844,1.34959656261576,68,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",9,17575.0530864656,7427.46113597374,17655.3384357776,21656.9647167616,-7630.30253319765,-7772.2461241301,0.755817186362483,47,44274.3649610682,21707.4209609843,54415.7524141165,60102.1192932321,-5004.29621720006,-147.23372974697,0.281400557789068,47,26113.3234394756,19936.1664009941,23063.6573055957,29572.3172426872,2957.1135301471,-4140.49630819454,1.02296801715937,4,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Burkinafaso","Burkinafaso2009",3,84824.628674744,78774.9959655599,9602.73076379805,15524.156714092,105.67691954909,423.211211536586,0.94636843606344,39,16320.2918226064,7608.50749716981,21456.9547766626,12719.9452359973,1170.60409148726,3644.77673797689,1.72851180623246,35,10314.7506761684,4014.96585075185,15418.5159884265,8127.57894882762,5999.32644167735,5102.5714065165,0.916387199663488,16,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Burundi","Burundi2014",17,13865.8835037154,10187.1421176699,10713.1873760837,10327.7166669071,2169.1806985531,2174.77200973171,1.94572248053568,17,19330.6459474826,24193.6385717887,12853.0839064266,15612.4071420846,-83.4976190327724,413.13857602766,2.98897857157723,20,13080.5420359007,8941.11083477105,12090.0534799209,8712.74823801033,982.942045404648,1011.65384885955,1.08369391923519,4,"2014","Sub-Saharan Africa","Burundi","Low income"
"Cameroon","Cameroon2009",NA,NA,NA,NA,NA,NA,NA,NA,31,18187.7088602634,10045.6499629653,21066.9894287448,28696.6056731682,5916.79707152794,7976.14140250423,2.97917409409918,55,16197.1972601517,8377.83232135814,21089.5945906757,21187.6901433781,31645.453339108,35950.4095646195,1.97290438537306,15,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",8,45550.3699124624,35561.4547128355,29774.1696956475,19248.0415247194,-7057.65857313889,-1940.92129957559,0.487984989796763,109,49120.9113876509,41433.6879846682,32787.4480400859,35560.3488698543,6092.30540916993,5472.36628993453,1.05627878659453,541,56503.3145518337,37937.2347818424,48776.2584822239,46107.2876571179,35978.5360973785,27669.1248951097,1.3755252069688,52,"2010","Latin America and Caribbean","Chile","High income"
