"countryOnly","country","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",7,35565.0831134786,38744.7295505542,17506.9699812007,23432.5786523729,7960.26746544411,2971.36855783783,10.4008814233121,2,30682.4049009781,30682.4049009782,16167.6930040299,22864.5707185837,8342.47850542919,8342.47850542919,3.7,1,58807.4220361588,58807.4220361588,Inf,0,0,0,1,3,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",76,23572.9528937055,14020.7005471205,25328.2927023635,25868.9716282848,6307.39172546632,2848.22993621363,1.0037186030125,21,6926.76398011921,4691.73501424568,7593.95779917978,5252.20867543058,468.707646876737,1083.11212210012,0.791500795896198,11,25415.7329473363,13395.1447436546,33441.0976644782,27045.5196090465,-6459.37064701055,-8850.58456724581,1.21734249809512,5,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",73,24969.6801305622,18791.6555915903,20210.0438314736,27436.7735577018,11373.7232067094,8470.75129875437,2.38008215617473,47,14973.5233084702,9497.34469305063,14437.1535683226,15828.9078217511,-2187.78293687249,-1034.96673517192,1.08015004535162,1,3565.06932922321,3565.06932922321,NA,0,0,0,1,10,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",11,33028.0002147322,34895.0339588803,14969.5497766563,25218.4368385553,14041.6824789584,14133.8510170462,1.39917891114661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",5,56253.5133116519,41072.0914435337,38691.4263321664,64912.445123852,-30364.7507701044,-17164.614295249,0.0634098797473599,9,29383.5674620879,32369.7707848797,8705.57849365876,10280.2514902028,-1592.62384182845,-2795.18794996714,0.89973881519232,3,39566.970212272,43906.5831938919,43922.9361231699,70380.968018623,-25649.6961503102,-24885.6447072517,0.325549851064139,2,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",2,30889.1390378224,30889.1390378224,0,0,0,0,1,1,20592.7593585482,20592.7593585482,NA,0,0,0,1,1,56758.7929819986,56758.7929819986,NA,-7.27595761418343e-12,0,0,1,6,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Cotedivoire","Cotedivoire2009",1,3572.56449987037,3572.56449987037,NA,0,0,0,1,8,2077.72296695547,1975.6690415037,1940.29385960222,1727.07975250876,263.053752452283,410.679938845438,3.17086758895856,1,1286.12321995333,1286.12321995333,NA,0,0,0,1,2,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Egypt","Egypt2013",51,6546.01652903024,3607.6953178271,6726.75612953162,9027.53963137039,-540.34842963412,644.75605969852,0.827972317567679,25,18018.4076403406,10495.5313890868,22643.5677888647,19028.8722996479,3965.21918702171,-1444.20039305181,1.34836296491981,8,3438.52829870827,3499.78514574801,1483.09679837386,1869.0558243003,-618.50784944475,-334.950379179816,0.311292401926462,27,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ethiopia","Ethiopia2011",10,4559.58129872368,3750.73287689144,4370.27407096044,4745.69437405042,-2009.47827992693,-2102.60258390659,0.35,9,9756.22996206869,7035.46582263869,7854.18309468597,7674.18461433666,-959.706005027188,-870.657921891373,1.96416666666667,1,22419.3148015485,22419.3148015485,NA,0,0,0,NA,7,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Fyrom","Fyrom2013",2,15441.0593530101,15441.0593530101,9659.6784549945,13660.8482792164,1678.24093040143,1707.60603490205,1.35228021286355,3,6935.16209255947,7200.93077872969,2229.39556192647,0,326.352127508842,451.405205633808,2.34148215313877,3,13654.4366816731,3644.55916144436,15407.9040954328,24210.8454564927,-9525.54332089647,-7245.69177589283,0.899112776447103,1,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
