"countryOnly","country","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",104,149783.556848135,100490.800795552,175187.92586738,99966.5549801127,-2035.64440445017,9783.28981498238,2.30225557074083,104,149783.556848135,100490.800795552,175187.92586738,99966.5549801127,-2035.64440445017,9783.28981498238,2.30225557074083,104,149783.556848135,100490.800795552,175187.92586738,99966.5549801127,-2035.64440445017,9783.28981498238,2.30225557074083,-202,"2010","Latin America and Caribbean","Argentina","High income"
"Azerbaijan","Azerbaijan2013",5,21930.3889594122,12194.902448235,15484.3035493866,23730.2056492705,8577.10167883896,8768.48492802126,1.41402598206163,NA,NA,NA,NA,NA,NA,NA,NA,5,21930.3889594122,12194.902448235,15484.3035493866,23730.2056492705,8577.10167883896,8768.48492802126,1.41402598206163,-5,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",6,583972.027972028,158585.858585859,690095.66303479,1083333.33333333,333560.43956044,192808.356518034,0.91728624535316,NA,NA,NA,NA,NA,NA,NA,NA,6,583972.027972028,158585.858585859,690095.66303479,1083333.33333333,333560.43956044,192808.356518034,0.91728624535316,-6,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",106,13427.7711590035,9687.09540743146,12605.0981712797,13937.568387484,-1759.12367291529,-1222.4085387727,0.271693511134686,106,13427.7711590035,9687.09540743146,12605.0981712797,13937.568387484,-1759.12367291529,-1222.4085387727,0.271693511134686,106,13427.7711590035,9687.09540743146,12605.0981712797,13937.568387484,-1759.12367291529,-1222.4085387727,0.271693511134686,-199,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",3,122475.694375547,123649.6158551,54371.974326071,66666.6666666667,2756.59503055565,-8369.40836940837,0.401224043219395,3,122475.694375547,123649.6158551,54371.974326071,66666.6666666667,2756.59503055565,-8369.40836940837,0.401224043219395,3,122475.694375547,123649.6158551,54371.974326071,66666.6666666667,2756.59503055565,-8369.40836940837,0.401224043219395,-3,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",6,25844.3535670296,24321.2312775543,9227.72714747794,1621.4154185036,-497.580428019119,-3568.76742532626,0.959697454949638,6,25844.3535670296,24321.2312775543,9227.72714747794,1621.4154185036,-497.580428019119,-3568.76742532626,0.959697454949638,6,25844.3535670296,24321.2312775543,9227.72714747794,1621.4154185036,-497.580428019119,-3568.76742532626,0.959697454949638,-12,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",5,81090.1412358108,66666.6666666667,55186.9573510976,61111.1111111111,16773.129313529,16776.8281101614,0.706040427249848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bolivia","Bolivia2010",6,49359.0921315138,17820.8605413128,47762.4799905924,95283.3175055397,-11890.3135225316,-19403.4044103082,0.980619668202088,NA,NA,NA,NA,NA,NA,NA,NA,6,49359.0921315138,17820.8605413128,47762.4799905924,95283.3175055397,-11890.3135225316,-19403.4044103082,0.980619668202088,-2,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",5,32900.0950191522,35666.7583938156,22157.9042779202,34991.6914262197,8489.16826163551,8092.44826991197,3.26569560678487,NA,NA,NA,NA,NA,NA,NA,NA,5,32900.0950191522,35666.7583938156,22157.9042779202,34991.6914262197,8489.16826163551,8092.44826991197,3.26569560678487,-4,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",123,138272.153937972,136717.391583226,120851.327497376,191119.405551513,-6366.96246927281,30564.0378223953,0.172410250196826,NA,NA,NA,NA,NA,NA,NA,NA,123,138272.153937972,136717.391583226,120851.327497376,191119.405551513,-6366.96246927281,30564.0378223953,0.172410250196826,-109,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burkinafaso","Burkinafaso2009",8,150925.506966152,38864.0600680642,200133.581886187,263085.274247756,49339.5717900262,49480.1274032405,1,NA,NA,NA,NA,NA,NA,NA,NA,8,150925.506966152,38864.0600680642,200133.581886187,263085.274247756,49339.5717900262,49480.1274032405,1,-8,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Burundi","Burundi2014",6,16681.5200161362,16710.408580638,6238.60187870364,10026.5311922914,-1005.02969414963,-1302.46088816461,6.70048044148174,6,16681.5200161362,16710.408580638,6238.60187870364,10026.5311922914,-1005.02969414963,-1302.46088816461,6.70048044148174,6,16681.5200161362,16710.408580638,6238.60187870364,10026.5311922914,-1005.02969414963,-1302.46088816461,6.70048044148174,-12,"2014","Sub-Saharan Africa","Burundi","Low income"
"Cameroon","Cameroon2009",6,55170.9282010376,32158.8716341462,73037.6546992443,16921.0046877784,42694.1897061664,41790.1844339376,0.912174391830412,NA,NA,NA,NA,NA,NA,NA,NA,6,55170.9282010376,32158.8716341462,73037.6546992443,16921.0046877784,42694.1897061664,41790.1844339376,0.912174391830412,-6,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",71,120833.852747776,74275.1769238194,116606.273200602,102794.05205253,81996.7211827682,62727.3855948191,1.12411811222988,71,120833.852747776,74275.1769238194,116606.273200602,102794.05205253,81996.7211827682,62727.3855948191,1.12411811222988,71,120833.852747776,74275.1769238194,116606.273200602,102794.05205253,81996.7211827682,62727.3855948191,1.12411811222988,-133,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",137,60090.8231385161,31610.1173754238,66078.1514122778,82100.7996758779,-362.148920515409,-6845.41812688695,1.26886219815468,137,60090.8231385161,31610.1173754238,66078.1514122778,82100.7996758779,-362.148920515409,-6845.41812688695,1.26886219815468,137,60090.8231385161,31610.1173754238,66078.1514122778,82100.7996758779,-362.148920515409,-6845.41812688695,1.26886219815468,-266,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",37,194105.289353172,65885.5346758855,351474.511709368,0,-94580.9420407481,170176.777867992,25.6743147859772,37,194105.289353172,65885.5346758855,351474.511709368,0,-94580.9420407481,170176.777867992,25.6743147859772,37,194105.289353172,65885.5346758855,351474.511709368,0,-94580.9420407481,170176.777867992,25.6743147859772,-1,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",16,49976.61753715,47014.3542668372,20272.5636301809,15049.0706791644,4939.83134517117,5258.08697180574,0.914057465574977,16,49976.61753715,47014.3542668372,20272.5636301809,15049.0706791644,4939.83134517117,5258.08697180574,0.914057465574977,16,49976.61753715,47014.3542668372,20272.5636301809,15049.0706791644,4939.83134517117,5258.08697180574,0.914057465574977,-28,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",20,41566.9337709931,18662.688275727,50772.6695126329,64630.939588564,28208.3633175311,21720.619063387,4.83603090515963,20,41566.9337709931,18662.688275727,50772.6695126329,64630.939588564,28208.3633175311,21720.619063387,4.83603090515963,20,41566.9337709931,18662.688275727,50772.6695126329,64630.939588564,28208.3633175311,21720.619063387,4.83603090515963,-39,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Czech","Czech2013",NA,NA,NA,NA,NA,NA,NA,NA,5,205694.700514216,179642.963775437,168917.401427409,155411.930212686,6074.62017072199,-11757.4045979911,1.29652829972868,5,205694.700514216,179642.963775437,168917.401427409,155411.930212686,6074.62017072199,-11757.4045979911,1.29652829972868,-5,"2013","Europe and Central Asia","Czech Republic","High income"
"Dominica","Dominica2010",5,47500.1493302147,19814.8148148148,54812.2414234033,109576.71957672,-8706.4985365639,-8107.30712037902,0.0980392156862746,5,47500.1493302147,19814.8148148148,54812.2414234033,109576.71957672,-8706.4985365639,-8107.30712037902,0.0980392156862746,5,47500.1493302147,19814.8148148148,54812.2414234033,109576.71957672,-8706.4985365639,-8107.30712037902,0.0980392156862746,-8,"2010","Latin America and Caribbean","Dominica","Upper middle income"
"Dominicanrepublic","Dominicanrepublic2010",11,17865.313112046,14032.8833439247,7594.69937489647,12952.5881479213,2613.81629469146,4351.24793313717,1.28742270590776,NA,NA,NA,NA,NA,NA,NA,NA,11,17865.313112046,14032.8833439247,7594.69937489647,12952.5881479213,2613.81629469146,4351.24793313717,1.28742270590776,-8,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
