"countryOnly","country","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",5,37936.8881961974,5549.42318391749,64461.446283596,131582.779204113,-18849.9179101873,-16392.7974622756,1,5,37936.8881961974,5549.42318391749,64461.446283596,131582.779204113,-18849.9179101873,-16392.7974622756,1,5,37936.8881961974,5549.42318391749,64461.446283596,131582.779204113,-18849.9179101873,-16392.7974622756,1,-5,"2014","South Asia","Afghanistan","Low income"
"Argentina","Argentina2010",107,71136.0732793066,48113.4032717091,64505.4721358339,50313.0166309359,2005.21417363637,13060.40286783,4.32216864962866,107,71136.0732793066,48113.4032717091,64505.4721358339,50313.0166309359,2005.21417363637,13060.40286783,4.32216864962866,107,71136.0732793066,48113.4032717091,64505.4721358339,50313.0166309359,2005.21417363637,13060.40286783,4.32216864962866,-203,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",7,5716.95821291048,4325.65677454511,4412.78842184456,2502.48111384223,-1264.41006179205,-1576.34401010665,1.02846927054358,NA,NA,NA,NA,NA,NA,NA,NA,7,5716.95821291048,4325.65677454511,4412.78842184456,2502.48111384223,-1264.41006179205,-1576.34401010665,1.02846927054358,-5,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",5,12834.6389021047,12233.2945922278,8241.16868247851,15251.1320942254,-4407.50636350105,-4904.9387930828,0.237465945273519,NA,NA,NA,NA,NA,NA,NA,NA,5,12834.6389021047,12233.2945922278,8241.16868247851,15251.1320942254,-4407.50636350105,-4904.9387930828,0.237465945273519,-4,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bangladesh","Bangladesh2013",25,4444.02685882512,3324.8661042261,3469.39294796513,5785.10636848439,121.04906140556,-284.094126058815,1.23315812870403,25,4444.02685882512,3324.8661042261,3469.39294796513,5785.10636848439,121.04906140556,-284.094126058815,1.23315812870403,25,4444.02685882512,3324.8661042261,3469.39294796513,5785.10636848439,121.04906140556,-284.094126058815,1.23315812870403,-48,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",4,58053.5217956119,60303.1452237236,28958.6852510352,29185.4775330652,-13077.2419686433,-8583.43815035737,0.236569076834637,NA,NA,NA,NA,NA,NA,NA,NA,4,58053.5217956119,60303.1452237236,28958.6852510352,29185.4775330652,-13077.2419686433,-8583.43815035737,0.236569076834637,-2,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Brazil","Brazil2009",138,50753.1120716346,45364.1034824187,50362.1221377584,49245.4910010033,-910.190164200535,-17189.8616376413,0.66631415491427,138,50753.1120716346,45364.1034824187,50362.1221377584,49245.4910010033,-910.190164200535,-17189.8616376413,0.66631415491427,138,50753.1120716346,45364.1034824187,50362.1221377584,49245.4910010033,-910.190164200535,-17189.8616376413,0.66631415491427,-253,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",14,24240.1155604405,18973.9986896722,17171.3575853555,15730.1075576616,8855.84942507884,8900.16464128506,0.696742062980042,NA,NA,NA,NA,NA,NA,NA,NA,14,24240.1155604405,18973.9986896722,17171.3575853555,15730.1075576616,8855.84942507884,8900.16464128506,0.696742062980042,-14,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Chile","Chile2010",19,103200.36826923,43430.3240698506,137364.276130925,43698.1478167946,2846.26458650787,40335.8560164859,1.16487774424899,NA,NA,NA,NA,NA,NA,NA,NA,19,103200.36826923,43430.3240698506,137364.276130925,43698.1478167946,2846.26458650787,40335.8560164859,1.16487774424899,-17,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",134,50289.1031934262,37449.4875714531,46020.9169716912,51597.0717651132,3960.99379500399,-3976.22702668153,1.08260938955533,134,50289.1031934262,37449.4875714531,46020.9169716912,51597.0717651132,3960.99379500399,-3976.22702668153,1.08260938955533,134,50289.1031934262,37449.4875714531,46020.9169716912,51597.0717651132,3960.99379500399,-3976.22702668153,1.08260938955533,-249,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",20,42482.0022635699,28681.3352809056,38270.9535514577,34453.2704652634,23254.4863326261,13380.0460181292,2.26434445828742,NA,NA,NA,NA,NA,NA,NA,NA,20,42482.0022635699,28681.3352809056,38270.9535514577,34453.2704652634,23254.4863326261,13380.0460181292,2.26434445828742,-16,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",18,36516.6270876575,29512.7082799187,21446.9829654515,26771.5829483199,735.091435123071,-3384.00725499661,1.11217282057081,NA,NA,NA,NA,NA,NA,NA,NA,18,36516.6270876575,29512.7082799187,21446.9829654515,26771.5829483199,735.091435123071,-3384.00725499661,1.11217282057081,-17,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",6,83002.9316895575,42861.5434354445,119309.801330958,90385.8818467204,-31192.5948221817,-38862.9549011129,2.10382626109833,6,83002.9316895575,42861.5434354445,119309.801330958,90385.8818467204,-31192.5948221817,-38862.9549011129,2.10382626109833,6,83002.9316895575,42861.5434354445,119309.801330958,90385.8818467204,-31192.5948221817,-38862.9549011129,2.10382626109833,-10,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Croatia","Croatia2013",12,92646.8822815779,50142.054026737,98619.6886517699,100869.922549466,-8387.36714843353,-6404.46039922556,1.98053379981332,12,92646.8822815779,50142.054026737,98619.6886517699,100869.922549466,-8387.36714843353,-6404.46039922556,1.98053379981332,12,92646.8822815779,50142.054026737,98619.6886517699,100869.922549466,-8387.36714843353,-6404.46039922556,1.98053379981332,-22,"2013","Europe and Central Asia","Croatia","High income"
"Czech","Czech2013",18,73159.363260397,61777.8888148914,45629.0232331821,60178.794274883,-3325.65365093714,7209.1849667592,0.84906587724488,18,73159.363260397,61777.8888148914,45629.0232331821,60178.794274883,-3325.65365093714,7209.1849667592,0.84906587724488,18,73159.363260397,61777.8888148914,45629.0232331821,60178.794274883,-3325.65365093714,7209.1849667592,0.84906587724488,-34,"2013","Europe and Central Asia","Czech Republic","High income"
"Egypt","Egypt2013",29,16458.2819611666,10534.5133641307,31594.835698138,2717.31962148274,25480.6579218215,28147.4675071387,0.0511370308332948,29,16458.2819611666,10534.5133641307,31594.835698138,2717.31962148274,25480.6579218215,28147.4675071387,0.0511370308332948,29,16458.2819611666,10534.5133641307,31594.835698138,2717.31962148274,25480.6579218215,28147.4675071387,0.0511370308332948,-36,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Estonia","Estonia2013",6,209877.338930153,180863.268904012,151500.397520261,337343.44932684,-36890.293169975,-19658.5102955747,0.975893701389017,6,209877.338930153,180863.268904012,151500.397520261,337343.44932684,-36890.293169975,-19658.5102955747,0.975893701389017,6,209877.338930153,180863.268904012,151500.397520261,337343.44932684,-36890.293169975,-19658.5102955747,0.975893701389017,-12,"2013","Europe and Central Asia","Estonia","High income"
"Ethiopia","Ethiopia2011",5,39795.8043391808,40503.6986767472,28271.6885532346,0,2159.28494227055,2790.434967059,1.20689655172414,5,39795.8043391808,40503.6986767472,28271.6885532346,0,2159.28494227055,2790.434967059,1.20689655172414,5,39795.8043391808,40503.6986767472,28271.6885532346,0,2159.28494227055,2790.434967059,1.20689655172414,-6,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Hungary","Hungary2013",4,140004.254649486,171872.910006425,130386.78677824,206568.309179493,-42591.8393378371,-21223.1988062754,0.79092666826225,4,140004.254649486,171872.910006425,130386.78677824,206568.309179493,-42591.8393378371,-21223.1988062754,0.79092666826225,4,140004.254649486,171872.910006425,130386.78677824,206568.309179493,-42591.8393378371,-21223.1988062754,0.79092666826225,-4,"2013","Europe and Central Asia","Hungary","High income"
"India","India2014",653,24376.9927341419,18168.2271197746,21449.559437722,21878.3703421286,1173.59035978689,4221.26932000689,0.833333333333333,653,24376.9927341419,18168.2271197746,21449.559437722,21878.3703421286,1173.59035978689,4221.26932000689,0.833333333333333,653,24376.9927341419,18168.2271197746,21449.559437722,21878.3703421286,1173.59035978689,4221.26932000689,0.833333333333333,-1239,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",5,1759.86542307523,818.109040228943,3027.18622215426,0,1572.01514781532,1529.05251908684,0.176323356161114,NA,NA,NA,NA,NA,NA,NA,NA,5,1759.86542307523,818.109040228943,3027.18622215426,0,1572.01514781532,1529.05251908684,0.176323356161114,-1,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",4,20914.0900726915,17312.3159428193,50586.1655147587,0,-2556.94194364671,-9443.64299667134,1,NA,NA,NA,NA,NA,NA,NA,NA,4,20914.0900726915,17312.3159428193,50586.1655147587,0,-2556.94194364671,-9443.64299667134,1,-2,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Israel","Israel2013",9,139775.344564082,139517.568808417,108154.316194036,96465.49427438,49986.9429625379,63504.5818233669,3.64908062918651,9,139775.344564082,139517.568808417,108154.316194036,96465.49427438,49986.9429625379,63504.5818233669,3.64908062918651,9,139775.344564082,139517.568808417,108154.316194036,96465.49427438,49986.9429625379,63504.5818233669,3.64908062918651,-18,"2013","Middle East and North Africa","Israel","High income"
"Jordan","Jordan2013",7,129151.617363677,91145.9564645458,113507.720455548,229889.552204448,-56212.4043768842,-9079.50088252861,NA,7,129151.617363677,91145.9564645458,113507.720455548,229889.552204448,-56212.4043768842,-9079.50088252861,NA,7,129151.617363677,91145.9564645458,113507.720455548,229889.552204448,-56212.4043768842,-9079.50088252861,NA,-12,"2013","Middle East and North Africa","Jordan","Upper middle income"
"Kazakhstan","Kazakhstan2013",15,26591.5948444603,18033.0829875046,23827.2910611172,15183.3908817435,13731.1387915344,6887.02834373695,1.55372331976401,15,26591.5948444603,18033.0829875046,23827.2910611172,15183.3908817435,13731.1387915344,6887.02834373695,1.55372331976401,15,26591.5948444603,18033.0829875046,23827.2910611172,15183.3908817435,13731.1387915344,6887.02834373695,1.55372331976401,-22,"2013","Europe and Central Asia","Kazakhstan","Upper middle income"
"Kenya","Kenya2013",16,34787.1517540276,26369.4191721846,30008.3519143621,33984.927064466,19951.9326623928,26039.6150436533,0.812249023341048,NA,NA,NA,NA,NA,NA,NA,NA,16,34787.1517540276,26369.4191721846,30008.3519143621,33984.927064466,19951.9326623928,26039.6150436533,0.812249023341048,-11,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
