"countryOnly","country","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","outliersOut","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",5,0.971088267799609,0.88238913167753,0.826633398876631,1.34568375,0.0580863449018121,0.00829545306417527,1.05463207443829,1,0.0594,0.0594,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Albania","Upper middle income"
"Argentina","Argentina2010",8,0.303750104998904,0.332350219999568,0.147179003412805,0.255192863405347,-0.12194548753935,-0.0582622597680193,1.01900103004604,41,0.250802077648553,0.241737679573548,0.167219194601834,0.236881591642546,-0.0352463917684267,-0.0264277683986749,0.899329712375336,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",65,0.268427648598361,0.219344577925315,0.18078540172897,0.256,-0.0881533426484744,-0.0587352130813143,0.558275531880753,70,0.220225201155591,0.125,0.185177569597415,0.193333333333333,-0.0915027563155671,-0.0748026389938064,1.04589246346624,0,25,0.253853701918758,0.20275275030494,0.1595823885215,0.22037037037037,-0.0752823668341303,-0.0452222073033655,2.42992815194418,"2013","South Asia","Bangladesh","Lower middle income"
"Bolivia","Bolivia2010",2,0.465249360031853,0.465249360031853,0.343603827226193,0.485929192546584,0.132337619347996,0.186958507442483,0.709904873813148,7,0.202160907097944,0.0954202885210789,0.209041358796361,0.336775223950967,-0.133065806854798,-0.0850036047845907,7.27470536442614,0,1,0.12,0.12,NA,0,0,0,1,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",6,0.295962977408173,0.282814316214995,0.164245192065891,0.31875,-0.0819364845881081,-0.0839858151770478,1.07988028864449,2,0.118918111177525,0.118918111177525,0.0338549032713942,0.0478780633592349,0.0201779099295289,0.0201779099295289,0.542626728110599,0,2,0.190626968719537,0.190626968719537,0.194132952653034,0.274545454545455,-0.0882044153240841,-0.0853316953316953,2.54831489659211,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",37,0.222308717949126,0.173615785588453,0.191162133952178,0.229,-0.0104479319961083,-0.0488639884015271,0.887390890609468,5,0.2,0.2,1.62815968537205e-17,0,3.31100149766721e-19,3.56857400772372e-18,1,92,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",3,0.150854840783733,0.142199152135522,0.122337905914203,0.121003939393939,0.0564368731240601,-0.0343330443685318,0.0517079720219204,4,0.348910779195265,0.4,0.18094519012538,0.371794871794872,-0.213980183414284,-0.221781156827668,1.47695397847992,2,1,0.319228800545982,0.319228800545982,NA,0,0,0,1,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Chile","Chile2010",6,0.435652237521532,0.430742603649391,0.240710374337962,0.225269838509301,-0.00837805491142037,-0.000701027538463399,0.859966877754988,49,0.23631225976259,0.235663054982014,0.146562930447675,0.201990632318501,-0.00410717343514102,0.00262211900719213,1.59508961868598,0,1,0.257142857142857,0.257142857142857,NA,0,0,0,1,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",103,0.159861749858683,0.138709852455727,0.0856569373339757,0.102898550724638,-0.0331178646756044,-0.033699984533798,0.491999570333855,28,0.245938444972384,0.2,0.177407080524138,0.325,0.0079548408631158,-0.0137911632790059,0.226619675653438,3,20,0.240413319224921,0.21317973288729,0.177898352180869,0.166666666666667,-0.0404143481690435,-0.0453019834404237,1.60797406367934,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",19,0.27319530822049,0.226405046728198,0.163945063912216,0.210042020714899,0.0301361505463816,0.026844224221509,0.794096848158205,29,0.265609839457511,0.301805647765018,0.122148636088275,0.118173758865248,-0.0994619255927133,-0.0635850158787962,1.51572190581802,1,1,0.156344379283489,0.156344379283489,NA,0,0,0,1,"2010","Latin America and Caribbean","Colombia","Upper middle income"
