"countryOnly","country","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",10,0.287659768498154,0.261538268657451,0.271994899120947,0.385959680844606,0.0431135113430276,0.0137888680825804,1.54270807716842,10,0.287659768498154,0.261538268657451,0.271994899120947,0.385959680844606,0.0431135113430276,0.0137888680825804,1.54270807716842,10,0.287659768498154,0.261538268657451,0.271994899120947,0.385959680844606,0.0431135113430276,0.0137888680825804,1.54270807716842,-18,"2013","Europe and Central Asia","Albania","Upper middle income"
"Argentina","Argentina2010",81,0.246299017038125,0.225338315130388,0.162706658581117,0.168772934392163,-0.0127162768866556,-0.00278914174039418,1.68256341369946,81,0.246299017038125,0.225338315130388,0.162706658581117,0.168772934392163,-0.0127162768866556,-0.00278914174039418,1.68256341369946,81,0.246299017038125,0.225338315130388,0.162706658581117,0.168772934392163,-0.0127162768866556,-0.00278914174039418,1.68256341369946,-162,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",179,0.141910989217044,0.107952265784616,0.110749996974839,0.117509061367329,-0.0153752688214563,-0.00518456748271799,1.649108460148,179,0.141910989217044,0.107952265784616,0.110749996974839,0.117509061367329,-0.0153752688214563,-0.00518456748271799,1.649108460148,179,0.141910989217044,0.107952265784616,0.110749996974839,0.117509061367329,-0.0153752688214563,-0.00518456748271799,1.649108460148,-351,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",5,0.270211352499238,0.285714285714286,0.0235366688751449,0.042857142857143,0.00914980140064628,0.00658602711157455,0.35702711130395,NA,NA,NA,NA,NA,NA,NA,NA,5,0.270211352499238,0.285714285714286,0.0235366688751449,0.042857142857143,0.00914980140064628,0.00658602711157455,0.35702711130395,-5,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",6,0.342530695296171,0.33468875615661,0.0741471611643087,0.0782444174757281,0.0076499751300908,-0.029838446772461,0.887992605502168,NA,NA,NA,NA,NA,NA,NA,NA,6,0.342530695296171,0.33468875615661,0.0741471611643087,0.0782444174757281,0.0076499751300908,-0.029838446772461,0.887992605502168,-2,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bih","Bih2013",3,0.569650761659907,0.566511162307213,0.239665790027719,0.423469387755102,0.0152290943409926,0.0118891593334582,0.987790948599093,3,0.569650761659907,0.566511162307213,0.239665790027719,0.423469387755102,0.0152290943409926,0.0118891593334582,0.987790948599093,3,0.569650761659907,0.566511162307213,0.239665790027719,0.423469387755102,0.0152290943409926,0.0118891593334582,0.987790948599093,-4,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Brazil","Brazil2009",143,0.2653356600672,0.249914651112475,0.177425182433953,0.22008547008547,-0.0263553593736372,-0.0913384400763153,1.01946268326636,NA,NA,NA,NA,NA,NA,NA,NA,143,0.2653356600672,0.249914651112475,0.177425182433953,0.22008547008547,-0.0263553593736372,-0.0913384400763153,1.01946268326636,-141,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",13,0.436978782820266,0.464144444832965,0.14692350855264,0.0599290780141845,0.0494732037557002,0.0488047789230834,0.421982132599008,13,0.436978782820266,0.464144444832965,0.14692350855264,0.0599290780141845,0.0494732037557002,0.0488047789230834,0.421982132599008,13,0.436978782820266,0.464144444832965,0.14692350855264,0.0599290780141845,0.0494732037557002,0.0488047789230834,0.421982132599008,-24,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Burkinafaso","Burkinafaso2009",5,0.204415335834689,0.18923296205787,0.089317120964776,0.166666666666667,0.00054382308296336,-0.0042764705882353,0.454545454545455,NA,NA,NA,NA,NA,NA,NA,NA,5,0.204415335834689,0.18923296205787,0.089317120964776,0.166666666666667,0.00054382308296336,-0.0042764705882353,0.454545454545455,-5,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Cameroon","Cameroon2009",14,0.297232221365682,0.317443643909317,0.124754444634623,0.130555555555556,-0.032182113528385,-0.034523305159655,1,NA,NA,NA,NA,NA,NA,NA,NA,14,0.297232221365682,0.317443643909317,0.124754444634623,0.130555555555556,-0.032182113528385,-0.034523305159655,1,-14,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
