"countryOnly","country","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",8,0.10867509153136,0.0392017395071697,0.141530212559411,0.221586885245902,-0.0653599852235377,-0.0512490565245688,3.1061924042061,8,0.10867509153136,0.0392017395071697,0.141530212559411,0.221586885245902,-0.0653599852235377,-0.0512490565245688,3.1061924042061,8,0.10867509153136,0.0392017395071697,0.141530212559411,0.221586885245902,-0.0653599852235377,-0.0512490565245688,3.1061924042061,-14,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",8,0.108114397557564,0.0116724002540754,0.177579219764293,0.338062968890667,-0.0781024604004327,-0.0757624458515296,1.2523892546885,8,0.108114397557564,0.0116724002540754,0.177579219764293,0.338062968890667,-0.0781024604004327,-0.0757624458515296,1.2523892546885,8,0.108114397557564,0.0116724002540754,0.177579219764293,0.338062968890667,-0.0781024604004327,-0.0757624458515296,1.2523892546885,-16,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Bangladesh","Bangladesh2013",18,0.200355043228205,0.0886663460035043,0.219357684605492,0.216666666666667,0.0334166920531357,0.0339133716573475,1.18830297827979,18,0.200355043228205,0.0886663460035043,0.219357684605492,0.216666666666667,0.0334166920531357,0.0339133716573475,1.18830297827979,18,0.200355043228205,0.0886663460035043,0.219357684605492,0.216666666666667,0.0334166920531357,0.0339133716573475,1.18830297827979,-35,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",10,0.447588881952191,0.379817546121095,0.203306021022893,0.441729323308271,0.0251200674661408,0.0933760571530955,0.865508873451927,10,0.447588881952191,0.379817546121095,0.203306021022893,0.441729323308271,0.0251200674661408,0.0933760571530955,0.865508873451927,10,0.447588881952191,0.379817546121095,0.203306021022893,0.441729323308271,0.0251200674661408,0.0933760571530955,0.865508873451927,-20,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bhutan","Bhutan2015",14,0.264683327622357,0.196416426221493,0.227012175809476,0.11,-0.0206652129006627,-0.0285447628949676,1.2858981064051,14,0.264683327622357,0.196416426221493,0.227012175809476,0.11,-0.0206652129006627,-0.0285447628949676,1.2858981064051,14,0.264683327622357,0.196416426221493,0.227012175809476,0.11,-0.0206652129006627,-0.0285447628949676,1.2858981064051,-26,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",21,0.210724764114511,0.165147118584903,0.189966154698662,0.236924264705882,0.0339299749923395,0.0251437956851496,NA,21,0.210724764114511,0.165147118584903,0.189966154698662,0.236924264705882,0.0339299749923395,0.0251437956851496,NA,21,0.210724764114511,0.165147118584903,0.189966154698662,0.236924264705882,0.0339299749923395,0.0251437956851496,NA,-42,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Brazil","Brazil2009",15,2.41613697448375,0.243938508980297,4.65109960259694,0.466666666666667,0.469567750904241,0.24496833744491,NA,15,2.41613697448375,0.243938508980297,4.65109960259694,0.466666666666667,0.469567750904241,0.24496833744491,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Cameroon","Cameroon2009",11,0.222057387039007,0.274726196526428,0.192889690921327,0.312280701754386,0.0133121278485599,0.0109338007322486,0.656673876177005,11,0.222057387039007,0.274726196526428,0.192889690921327,0.312280701754386,0.0133121278485599,0.0109338007322486,0.656673876177005,NA,NA,NA,NA,NA,NA,NA,NA,-11,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",12,0.170699260198743,0.153488781595349,0.0497868619535856,0.0733976498529061,-0.024060026319595,-0.0408047060661146,1.4485670592468,12,0.170699260198743,0.153488781595349,0.0497868619535856,0.0733976498529061,-0.024060026319595,-0.0408047060661146,1.4485670592468,NA,NA,NA,NA,NA,NA,NA,NA,-6,"2010","Latin America and Caribbean","Chile","High income"
"Costarica","Costarica2010",11,0.392950523251924,0.362253459365616,0.179899906885221,0.246153846153846,-0.0744295531500661,-0.0951957653750547,0.726186201603113,11,0.392950523251924,0.362253459365616,0.179899906885221,0.246153846153846,-0.0744295531500661,-0.0951957653750547,0.726186201603113,NA,NA,NA,NA,NA,NA,NA,NA,-11,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
