"countryOnly","country","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","outliersOut","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",9,0.230368175186375,0.224604167175292,0.0870040268366623,0.131216765558877,-0.0586844302211254,-0.0635627411350539,2.69844918040696,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",8,0.356019225016909,0.233121173737967,0.306816304905546,0.385,-0.129505043061611,-0.1400468870843,1.11111111111111,0,17,0.169335836770222,0.0566721817615248,0.193587228754957,0.188095238095238,0.198981547763007,0.244789966071336,1.6242868143668,3,0.208982456140351,0.2,0.165656432277591,0.330947368421053,0.020231884057971,0.020231884057971,0.769230769230769,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",4,0.341756939735921,0.357830406374522,0.0751789352790441,0.0458333333333334,-0.0157223771267844,-0.0165751527883881,0.570131892046853,1,1,0.35,0.35,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"China","China2012",2,0.05,0.05,5.57946662917264e-18,0,-1.99512068228597e-18,-1.96462658725084e-18,1.59185929266264,3,11,0.186540363781925,0.150546885956179,0.0951207567318282,0.122196796338673,-0.00386630266847755,-0.000802610707816851,3.85314292129355,1,0.1,0.1,NA,0,0,0,1,"2012","East Asia and Pacific","China","Upper middle income"
"Egypt","Egypt2013",26,0.139698165206294,0.156729212476943,0.0937086485285409,0.1,-0.0131725820992357,0.00350099963844563,0.797779451220893,2,27,0.165395124978656,0.119840933369444,0.168472662195519,0.304081632653061,-0.0119104436584436,-0.0242034016446578,4.32809822492611,14,0.102518956574056,0.0867577078027069,0.0645493801505047,0.0807792207792208,0.023746540165093,-0.00480449895614362,0.525357958430066,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ethiopia","Ethiopia2011",2,0.136316595143602,0.136316595143602,0.0494623589217915,0.0699503388141634,0.0241918283690931,0.0249822638622012,0.601275917065391,2,1,0.0826666666666667,0.0826666666666667,NA,0,0,0,1,1,0.205516566534443,0.205516566534443,NA,0,0,0,1,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Guatemala","Guatemala2010",1,0.294117647058824,0.294117647058824,NA,0,0,0,1,5,1,0.0867642328723062,0.0867642328723062,Inf,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Honduras","Honduras2010",1,0.3,0.3,NA,0,0,0,1,4,1,0.0833333333333333,0.0833333333333333,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Honduras","Lower middle income"
"India","India2014",59,0.138469453099628,0.105096258229271,0.0962505480368668,0.133333333333333,-0.00771528318039307,-0.0343092147542239,0.368218063731061,0,71,0.148365474300918,0.110923322116925,0.0983595431599103,0.139982308712959,0.00384049496560456,-0.00983591163149817,0.591936952199226,36,0.107887059054996,0.0984325693975508,0.0731323510724372,0.1125,0.000878862215410427,-0.0026707633728792,0.522882042431033,"2014","South Asia","India","Lower middle income"
"Jamaica","Jamaica2010",4,0.145345673665454,0.155430436254814,0.0378957749485301,0.0334070796460177,-0.00421909396052535,-0.00548128934714291,0.834535524148788,0,1,0.285714285714286,0.285714285714286,NA,0,0,0,1,1,0.12,0.12,NA,1.38777878078145e-17,0,0,1,"2010","Latin America and Caribbean","Jamaica","Upper middle income"
"Kenya","Kenya2013",4,0.0287885847162744,0.029726049658381,0.0181292765476892,0.0186274509803922,-0.00289529249071864,-0.00393694732795079,1.91145392955169,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
