"countryOnly","country","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",77,0.207560820940217,0.195512168154001,0.121461622194557,0.145442599938303,0.0122510344131863,0.0185976806594122,2.83881690015386,1,0.194736842105263,0.194736842105263,NA,0,0,0,1,21,0.181322098087529,0.140214516385532,0.147301401985728,0.214373540856031,0.053216273545971,0.0156479290269439,0.246646526093846,1,"2010","Latin America and Caribbean","Argentina","High income"
"Azerbaijan","Azerbaijan2013",1,0.06,0.06,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,4,0.349607160993519,0.404914575537817,0.126080991660009,0.253333333333333,-0.0744419022565666,-0.0703759398496241,1.70009965193186,0,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",3,0.278214285714286,0.33469387755102,0.154313793527807,0.276428571428571,0.00283049040511727,0.0264187866927593,2.33928571428571,NA,NA,NA,NA,NA,NA,NA,NA,3,0.160405773420479,0.0588235294117647,0.204899647965268,0.370106209150327,-0.0990062735798927,-0.0990062735798927,8.33333333333333,0,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",81,0.140146878475572,0.1,0.113960916163737,0.1375,0.043153294373896,0.0362455131447364,0.13963870807956,4,0.250526745779282,0.159554074932509,0.178343471019396,0.3,0.00067047650286869,0.00309187279151944,0.948008276394187,25,0.150769848877038,0.134425925102103,0.104928585339603,0.20125,0.0338735647839463,0.0314995725826602,1.04456026175896,1,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",3,0.148387256682461,0.151025719344356,0.0883213670884172,0.113333333333333,0.0572665862305129,0.0323720349563046,0.536128976736472,1,0.285714285714286,0.285714285714286,NA,0,0,0,1,1,0.2,0.2,NA,0,0,0,1,1,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",3,0.230866704519896,0.177797744785448,0.217684198992125,0.121860714285714,0.0508072454360116,0.0550020427489177,0.650144108759455,2,0.215258625856262,0.215258625856262,0.104298250225016,0.1475,0.036704804354008,0.0397115384615385,0.692752800673788,NA,NA,NA,NA,NA,NA,NA,NA,0,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",5,0.106605275981575,0.1,0.052884765427694,0.0482894736842105,0.00328437171685239,0.00289790728417468,0.513915179366484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Brazil","Brazil2009",84,0.0893133159916126,0.0238173557217949,0.107347359214764,0.117982456140351,0.0540922837591897,0.00667073117850572,0.589279723487013,NA,NA,NA,NA,NA,NA,NA,NA,33,0.199202810696901,0.163503278613704,0.154305082821609,0.17,-0.0109172843036643,-0.0195401326083704,1.18881166993483,4,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burkinafaso","Burkinafaso2009",4,0.0830799052119152,0.0801907106708237,0.0638606450493857,0.0674901505369345,-0.0256750261955913,-0.0256750261955913,0.702702702702703,NA,NA,NA,NA,NA,NA,NA,NA,3,0.136475332812069,0.133886203990132,0.112538612547729,0.137503174159111,-0.0376965570356321,-0.0311115343323259,1.16711302914647,0,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Burundi","Burundi2014",3,0.0636900185579256,0.0782256924794489,0.0581471412374874,0.10625598214809,0.021286972854791,0.0163258768587631,2.74074074074074,1,0.496969696969697,0.496969696969697,NA,0,0,0,1,1,0.048,0.048,NA,0,0,0,1,0,"2014","Sub-Saharan Africa","Burundi","Low income"
"Cameroon","Cameroon2009",1,0.235439052073827,0.235439052073827,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,3,0.171626614467874,0.169926564985328,0.0936384485703265,0.100880850582709,0.0577492523247928,0.0460555644101182,0.177589055306557,1,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",63,0.169649915470497,0.15,0.113107807878596,0.14,-0.0397148332133382,-0.0352354676104424,1.17224145993407,1,0.203076923076923,0.203076923076923,NA,0,0,0,1,7,0.160349860806976,0.150033829401337,0.0868779321734191,0.173034934462477,0.00542621130893973,-0.0179285149737233,0.591382933237177,0,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",38,0.157652526589196,0.176600358843123,0.0678082872365707,0.059166666666667,-0.0277385411209893,0.0312707371253349,0.180356824432196,6,0.101999452089563,0.0895175689692647,0.0576792426004366,0.0366666666666667,-0.0139817556583386,-0.00914307164307165,0.659574903217914,93,0.141712824399198,0.120245981575844,0.0907774847876331,0.125,-0.00149592490095809,-0.0253262849669419,0.307957365392341,5,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",2,0.3,0.3,0,0,0,0,1,2,0.320057044811643,0.320057044811643,0.0708173307251685,0.100150829562594,0.0320039280374888,0.0396118952747574,0.65674811687659,32,0.203702353297907,0.0995770007138937,0.248014796554757,0.42,-0.0859848166616718,-0.0835308564386125,0.660954921544296,62,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",9,0.179131183010109,0.171200381909019,0.0524609088560991,0.0503968253968254,0.0119616711498765,0.00859991244045985,0.376856228702036,1,0.2,0.2,NA,0,0,0,1,1,0.185,0.185,NA,0,0,0,1,3,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",6,0.119030850874361,0.114899360795503,0.014670054880225,0.0126178861788617,-0.00405939022018677,-0.00439794022281678,NA,4,0.0959275774909236,0.0959345955992992,0.0854975784683994,0.0946666666666667,-0.0103074072208783,-0.0110854288984897,1.01015034825573,8,0.184879881355425,0.170350469287691,0.0660757072131748,0.0898122653316646,-0.00151543267321598,-0.00466345894654503,1.07683111120091,3,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Dominica","Dominica2010",3,0.272671906812894,0.307624113475177,0.179754274550999,0.326071532001158,0.0785807223497205,0.0732173211239168,0.228758169934641,1,0.342857142857143,0.342857142857143,NA,0,0,0,1,1,0.271875,0.271875,NA,0,0,0,1,0,"2010","Latin America and Caribbean","Dominica","Upper middle income"
"Dominicanrepublic","Dominicanrepublic2010",12,0.221262073791114,0.238375574043949,0.0555380584018159,0.0657894736842106,-0.0194880073355106,-0.00479785680185441,0.728898504849319,NA,NA,NA,NA,NA,NA,NA,NA,1,0.11268349564326,0.11268349564326,NA,0,0,0,1,0,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Drc","Drc2013",5,0.251050260304028,0.164601025010073,0.150913696729122,0.218019792410295,-0.0756683652805241,-0.0886413759274335,5.73131378269625,9,0.225237577833576,0.299907633883619,0.142318438773292,0.128903377430727,-0.0318511777629556,-0.0284330792546916,1.09782186522187,4,0.108972796841648,0.109165791364087,0.0672559234490424,0.0116546046704637,-0.0325785229168855,-0.0499941883313847,2.28013296937329,1,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Ecuador","Ecuador2010",8,0.117154626042639,0.125139702816819,0.037276731775506,0.0250756593169044,-0.00757526024203515,-0.0196410585342623,0.116705908385817,1,0.125706461538462,0.125706461538462,NA,0,0,0,1,1,0.0833333333333333,0.0833333333333333,NA,0,0,0,1,4,"2010","Latin America and Caribbean","Ecuador","Upper middle income"
"Egypt","Egypt2013",43,0.137696198054568,0.05,0.157244574228486,0.116666666666667,0.0258808211767548,0.0683416276961478,0.0124713111300497,53,0.180461876224597,0.130778505740783,0.164317554263776,0.172435897435898,-0.0164878867204883,-0.0153156039839504,0.148125133315815,52,0.117074458809193,0.110956680612636,0.0974158324125267,0.168765957446809,-0.00247888117848188,-0.0116009432674963,2.59583263895296,6,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Elsalvador","Elsalvador2010",9,0.159863238935538,0.160544030772318,0.0522350789408655,0.0434940835707502,-0.0216682262173574,-0.0277325241429432,1.35665069754394,1,0.6,0.6,NA,0,0,0,1,2,0.243923050908643,0.243923050908643,0.0792549011762023,0.112083356127925,-0.0472422777708463,-0.0540221581337294,31.2035636096035,4,"2010","Latin America and Caribbean","El Salvador","Lower middle income"
"Ethiopia","Ethiopia2011",1,0.0821965551184948,0.0821965551184948,NA,0,0,0,1,3,0.115444959558324,0.0833333333333333,0.102835501744976,0.19800780807868,0.00485844790343563,0.00485844790343563,1,1,0.159352941176471,0.159352941176471,NA,0,0,0,NA,11,"2011","Sub-Saharan Africa","Ethiopia","Low income"
