"countryOnly","country","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","outliersOut","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",3,0.0504166666666667,0.053,0.0471780757697189,0.09425,-0.0144951550387597,-0.0144951550387597,1,3,0.0504166666666667,0.053,0.0471780757697189,0.09425,-0.0144951550387597,-0.0144951550387597,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",4,0.0783854650239316,0.0796419560499955,0.0669948544258911,0.122212121212121,-0.00403855924351455,0.000257641592213213,0.971153769471821,4,0.0783854650239316,0.0796419560499955,0.0669948544258911,0.122212121212121,-0.00403855924351455,0.000257641592213213,0.971153769471821,-2,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Albania","Upper middle income"
"Argentina","Argentina2010",NA,NA,NA,NA,NA,NA,NA,NA,13,0.14153862065383,0.132749605044755,0.0952952134727029,0.0994908333333333,-0.00397627880312041,-0.0161175375003959,1.22064985038187,-11,13,0.14153862065383,0.132749605044755,0.0952952134727029,0.0994908333333333,-0.00397627880312041,-0.0161175375003959,1.22064985038187,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",5,0.221327180831635,0.179098528458793,0.118042449972099,0.12407960199005,-0.0186430788310098,-0.0193938804306228,1.71646687616402,5,0.221327180831635,0.179098528458793,0.118042449972099,0.12407960199005,-0.0186430788310098,-0.0193938804306228,1.71646687616402,-10,5,0.221327180831635,0.179098528458793,0.118042449972099,0.12407960199005,-0.0186430788310098,-0.0193938804306228,1.71646687616402,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",15,0.28488308680885,0.275619537372,0.171577916973357,0.3963133640553,0.00351501590637923,-0.0128276893594702,0.704433619976044,15,0.28488308680885,0.275619537372,0.171577916973357,0.3963133640553,0.00351501590637923,-0.0128276893594702,0.704433619976044,-30,15,0.28488308680885,0.275619537372,0.171577916973357,0.3963133640553,0.00351501590637923,-0.0128276893594702,0.704433619976044,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bangladesh","Bangladesh2013",42,0.180664640199687,0.17395364404629,0.108420173342473,0.14,-0.108830330822245,-0.0779306665198492,2.3781668058526,42,0.180664640199687,0.17395364404629,0.108420173342473,0.14,-0.108830330822245,-0.0779306665198492,2.3781668058526,-84,42,0.180664640199687,0.17395364404629,0.108420173342473,0.14,-0.108830330822245,-0.0779306665198492,2.3781668058526,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",5,0.218651282439047,0.258301061996523,0.219266922307577,0.235,0.0608898438520497,0.0102261297376093,1.7,5,0.218651282439047,0.258301061996523,0.219266922307577,0.235,0.0608898438520497,0.0102261297376093,1.7,-10,5,0.218651282439047,0.258301061996523,0.219266922307577,0.235,0.0608898438520497,0.0102261297376093,1.7,"2010","Latin America and Caribbean","Barbados","High income"
"Bhutan","Bhutan2015",12,0.211444167066882,0.211083251445917,0.16598124921901,0.375654255565436,-0.0318381016792067,-0.0575749489596468,0.72911412779269,12,0.211444167066882,0.211083251445917,0.16598124921901,0.375654255565436,-0.0318381016792067,-0.0575749489596468,0.72911412779269,-24,12,0.211444167066882,0.211083251445917,0.16598124921901,0.375654255565436,-0.0318381016792067,-0.0575749489596468,0.72911412779269,"2015","South Asia","Bhutan","Lower middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,15,0.215103737769828,0.215822907621035,0.146940159576569,0.227443540811662,-0.059233152201554,-0.086752428847586,0.110124131634049,-12,15,0.215103737769828,0.215822907621035,0.146940159576569,0.227443540811662,-0.059233152201554,-0.086752428847586,0.110124131634049,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",7,0.150150080052248,0.123952403305219,0.0827377176426067,0.124329460809858,0.0267979159903263,0.0252442735503309,0.258396863989065,7,0.150150080052248,0.123952403305219,0.0827377176426067,0.124329460809858,0.0267979159903263,0.0252442735503309,0.258396863989065,-14,7,0.150150080052248,0.123952403305219,0.0827377176426067,0.124329460809858,0.0267979159903263,0.0252442735503309,0.258396863989065,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
