"countryOnly","country","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",4,0.101285333477555,0.108523002033614,0.0316811195846893,0.02,-0.000427606110808833,0.00225336385067498,1,1,0.0933333333333333,0.0933333333333333,NA,0,0,0,1,1,0.117307692307692,0.117307692307692,NA,0,0,0,1,2,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",5,0.0157768067829442,0.00363647954216703,0.0194303896394533,0.0351470588235294,0.0132431480710881,0.0134108433381736,0.967498624181237,1,0.12280701754386,0.12280701754386,NA,0,0,0,1,1,2.25e-05,2.25e-05,NA,0,0,0,1,0,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Argentina","Argentina2010",14,0.275045156493131,0.253036746547939,0.146153098111285,0.130701666666667,-0.0447086158881967,-0.031044693604157,0.944164241869412,41,0.371015493878617,0.337104623271376,0.28859527871939,0.286673185483871,-0.0156629274544712,0.0133451626472959,1.14272897886289,1,0.379746835443038,0.379746835443038,NA,0,0,0,1,2,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",7,0.177286165067931,0.140801553451962,0.182975941681959,0.389492753623188,0.0417207647729788,-0.0492135149661212,0.275490797694948,2,0.186678512323296,0.186678512323296,0.317019621931192,0.448333448873484,0.0480759453908986,0.051730782562325,0.738653001464129,NA,NA,NA,NA,NA,NA,NA,NA,0,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Bangladesh","Bangladesh2013",9,0.210483436044854,0.193386709556238,0.133930057010567,0.283333333333333,-0.0699058399430555,-0.083410568019943,5.99531969714033,17,0.122396923544238,0.108332197122981,0.0951306007309107,0.076515151515152,-0.0371648420440073,-0.0428150866474988,2.94012293528629,3,0.0818088255924724,0.0237549235579226,0.125377108020512,0.202194724396795,-0.00101119303194188,-0.0249167299028407,0.762942968068818,2,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",1,0.125,0.125,NA,0,0,0,1,2,0.328909615305251,0.328909615305251,0.306412938514171,0.433333333333333,0.144550689212869,0.177272727272727,0.64465843178783,3,0.0988833780278759,0.106418256369396,0.0789765423505081,0.15475,0.016985796136101,0.0156479166666667,0.967036619888323,1,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bhutan","Bhutan2015",2,0.245366994750889,0.245366994750889,0.177295704250663,0.250733989501777,-0.0381551723154879,-0.0381551723154879,1.4375,1,0.315315315315315,0.315315315315315,NA,0,0,0,1,1,0.1425,0.1425,NA,0,0,0,1,1,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",4,0.167597887356633,0.169871846441136,0.0635021436830812,0.079540445263321,-0.0127664951647858,0.0113993553690767,1,1,0.1,0.1,NA,0,0,0,1,4,0.468669045024657,0.504448855118685,0.406206878225008,0.739654545454545,-0.191198840957483,-0.126674460431655,1.12399082411735,2,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Botswana","Botswana2010",6,0.279644954455425,0.147295039623223,0.298536873320389,0.489864705882353,-0.140410356785693,-0.146014003577113,2.55017677920262,4,0.167689278021087,0.17286007477961,0.0226704364997336,0.0408333333333333,-0.00716911910290579,-0.00503511974707627,2.13097616207099,NA,NA,NA,NA,NA,NA,NA,NA,1,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",26,0.326533378113852,0.28316817803267,0.226121794336037,0.233333333333333,-0.109120026209745,-0.0457338785130004,1.77777777777778,1,0.291666666666667,0.291666666666667,NA,0,0,0,1,1,0.637254901960784,0.637254901960784,NA,0,0,0,1,68,"2009","Latin America and Caribbean","Brazil","Upper middle income"
