"countryOnly","country","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","outliersOut","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",12,0.220589685531892,0.173912560061257,0.129763077858783,0.224143850500919,-0.0319282991008858,-0.0262154090293477,0.975221879674839,12,0.220589685531892,0.173912560061257,0.129763077858783,0.224143850500919,-0.0319282991008858,-0.0262154090293477,0.975221879674839,-12,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",13,0.152033771187533,0.122584906499283,0.154021717761477,0.110644444444444,-0.0161039084928702,0.0729164837727969,2.20703640809491,13,0.152033771187533,0.122584906499283,0.154021717761477,0.110644444444444,-0.0161039084928702,0.0729164837727969,2.20703640809491,-26,13,0.152033771187533,0.122584906499283,0.154021717761477,0.110644444444444,-0.0161039084928702,0.0729164837727969,2.20703640809491,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",21,0.19516420152286,0.107758161554333,0.162462054083385,0.145833333333333,0.0744756998509371,0.0278133740287954,0.259078591709029,21,0.19516420152286,0.107758161554333,0.162462054083385,0.145833333333333,0.0744756998509371,0.0278133740287954,0.259078591709029,-42,21,0.19516420152286,0.107758161554333,0.162462054083385,0.145833333333333,0.0744756998509371,0.0278133740287954,0.259078591709029,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",2,0.199161792177209,0.199161792177209,0.00404061017820883,0,-0.00348038788581999,-0.0025563909774436,3.49366827280393,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",100,0.144971148456693,0.125,0.0956163449125949,0.120559129143988,0.0487540001169289,0.0403105513552601,0.663257948227868,100,0.144971148456693,0.125,0.0956163449125949,0.120559129143988,0.0487540001169289,0.0403105513552601,0.663257948227868,-200,100,0.144971148456693,0.125,0.0956163449125949,0.120559129143988,0.0487540001169289,0.0403105513552601,0.663257948227868,"2012","East Asia and Pacific","China","Upper middle income"
"Cotedivoire","Cotedivoire2009",4,0.266258593988149,0.246883312986733,0.17536202631425,0.202425811716155,-0.0251517354470182,-0.0055683771624406,3.52033369378261,4,0.266258593988149,0.246883312986733,0.17536202631425,0.202425811716155,-0.0251517354470182,-0.0055683771624406,3.52033369378261,-7,4,0.266258593988149,0.246883312986733,0.17536202631425,0.202425811716155,-0.0251517354470182,-0.0055683771624406,3.52033369378261,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Egypt","Egypt2013",28,0.190936640051823,0.125480630825577,0.187757768066307,0.156,-0.0647921510331595,0.0259117139384734,2.15633385267402,28,0.190936640051823,0.125480630825577,0.187757768066307,0.156,-0.0647921510331595,0.0259117139384734,2.15633385267402,-41,28,0.190936640051823,0.125480630825577,0.187757768066307,0.156,-0.0647921510331595,0.0259117139384734,2.15633385267402,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ghana","Ghana2013",5,0.192336563607399,0.18200921800029,0.0789000995543802,0.072,-0.0480083066967722,-0.0549319727891157,1.08841444508859,5,0.192336563607399,0.18200921800029,0.0789000995543802,0.072,-0.0480083066967722,-0.0549319727891157,1.08841444508859,-5,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"India","India2014",523,0.137492094306582,0.125854268499113,0.099650767560227,0.1315,-0.0081748541736913,-0.0107328821854836,0.875,523,0.137492094306582,0.125854268499113,0.099650767560227,0.1315,-0.0081748541736913,-0.0107328821854836,0.875,-1042,523,0.137492094306582,0.125854268499113,0.099650767560227,0.1315,-0.0081748541736913,-0.0107328821854836,0.875,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",6,0.210787551881472,0.243534986890275,0.162830205153755,0.278740157480315,-0.0276220330111408,0.0136769183713555,1,6,0.210787551881472,0.243534986890275,0.162830205153755,0.278740157480315,-0.0276220330111408,0.0136769183713555,1,-6,NA,NA,NA,NA,NA,NA,NA,NA,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",3,0.303979445224147,0.307282690759542,0.101408375209648,0,-0.00391769367519062,-0.0059015059015059,1.02693958557121,3,0.303979445224147,0.307282690759542,0.101408375209648,0,-0.00391769367519062,-0.0059015059015059,1.02693958557121,-2,3,0.303979445224147,0.307282690759542,0.101408375209648,0,-0.00391769367519062,-0.0059015059015059,1.02693958557121,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Israel","Israel2013",7,0.0651539550286141,0.0398067757693849,0.14080990857736,0,0.00108895478843366,-0.00812990879418669,0.945653333817904,7,0.0651539550286141,0.0398067757693849,0.14080990857736,0,0.00108895478843366,-0.00812990879418669,0.945653333817904,-13,7,0.0651539550286141,0.0398067757693849,0.14080990857736,0,0.00108895478843366,-0.00812990879418669,0.945653333817904,"2013","Middle East and North Africa","Israel","High income"
"Kenya","Kenya2013",8,0.0403239909566667,0.0339444901663827,0.0254517561535378,0.00833333333333333,-0.00736654990699267,-0.0119843665988732,5.79888505640684,8,0.0403239909566667,0.0339444901663827,0.0254517561535378,0.00833333333333333,-0.00736654990699267,-0.0119843665988732,5.79888505640684,-16,8,0.0403239909566667,0.0339444901663827,0.0254517561535378,0.00833333333333333,-0.00736654990699267,-0.0119843665988732,5.79888505640684,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Lebanon","Lebanon2013",3,0.191051767587711,0.180552001333053,0.256841996270619,0.383241379310345,-0.0424277266434857,-0.0858228598596079,1.3091733541212,3,0.191051767587711,0.180552001333053,0.256841996270619,0.383241379310345,-0.0424277266434857,-0.0858228598596079,1.3091733541212,-4,3,0.191051767587711,0.180552001333053,0.256841996270619,0.383241379310345,-0.0424277266434857,-0.0858228598596079,1.3091733541212,"2013","Middle East and North Africa","Lebanon","Upper middle income"
"Mexico","Mexico2010",15,0.111754217070848,0.0841269178519501,0.137998648616502,0.02,-0.0308473272958395,-0.0901394543456408,19.8823883983993,15,0.111754217070848,0.0841269178519501,0.137998648616502,0.02,-0.0308473272958395,-0.0901394543456408,19.8823883983993,-12,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Nepal","Nepal2013",5,0.11084401937637,0.125273932327225,0.122319593381542,0.183989189189189,-0.0188756524140572,-0.0141775328347098,1.18647106078238,5,0.11084401937637,0.125273932327225,0.122319593381542,0.183989189189189,-0.0188756524140572,-0.0141775328347098,1.18647106078238,-7,5,0.11084401937637,0.125273932327225,0.122319593381542,0.183989189189189,-0.0188756524140572,-0.0141775328347098,1.18647106078238,"2013","South Asia","Nepal","Low income"
"Nigeria","Nigeria2014",4,0.120287248398708,0.0391945939658007,0.146576592029934,0.27,-0.055689250024698,-0.0593141945773525,0.962533111733135,4,0.120287248398708,0.0391945939658007,0.146576592029934,0.27,-0.055689250024698,-0.0593141945773525,0.962533111733135,-6,4,0.120287248398708,0.0391945939658007,0.146576592029934,0.27,-0.055689250024698,-0.0593141945773525,0.962533111733135,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Pakistan","Pakistan2013",7,0.127656238997661,0.0459122687316127,0.211221837515003,0.13,-0.0235123025675576,0.042882712585034,1.20880510375102,7,0.127656238997661,0.0459122687316127,0.211221837515003,0.13,-0.0235123025675576,0.042882712585034,1.20880510375102,-4,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Pakistan","Lower middle income"
"Peru","Peru2010",11,0.183073788493304,0.151012410671777,0.125809895079255,0.118170196209216,-0.0586231332835677,-0.0556733104334789,1.97641953873299,11,0.183073788493304,0.151012410671777,0.125809895079255,0.118170196209216,-0.0586231332835677,-0.0556733104334789,1.97641953873299,-22,11,0.183073788493304,0.151012410671777,0.125809895079255,0.118170196209216,-0.0586231332835677,-0.0556733104334789,1.97641953873299,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",92,0.139756498981358,0.0883840672213173,0.14395146666666,0.15246316262354,-0.000630852428978482,-0.00776252987107163,0.965168847262619,92,0.139756498981358,0.0883840672213173,0.14395146666666,0.15246316262354,-0.000630852428978482,-0.00776252987107163,0.965168847262619,-183,92,0.139756498981358,0.0883840672213173,0.14395146666666,0.15246316262354,-0.000630852428978482,-0.00776252987107163,0.965168847262619,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Russia","Russia2012",70,0.274613552472284,0.239915013458664,0.191657674174083,0.252881946666667,0.00904510654659752,-0.0108944924957128,1.05868746699055,70,0.274613552472284,0.239915013458664,0.191657674174083,0.252881946666667,0.00904510654659752,-0.0108944924957128,1.05868746699055,-138,70,0.274613552472284,0.239915013458664,0.191657674174083,0.252881946666667,0.00904510654659752,-0.0108944924957128,1.05868746699055,"2012","Europe and Central Asia","Russian Federation","High income"
"Serbia","Serbia2013",6,0.162901225908955,0.163688238602621,0.0972828814356035,0.1176299024775,-0.0342769479255454,-0.0318730418450636,11.9104548434561,6,0.162901225908955,0.163688238602621,0.0972828814356035,0.1176299024775,-0.0342769479255454,-0.0318730418450636,11.9104548434561,-6,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Serbia","Upper middle income"
"Sweden","Sweden2014",11,0.300531716285193,0.286808845447275,0.170625521332822,0.302077272727273,-0.0387172356954844,-0.0440279470802874,1.79592887462932,11,0.300531716285193,0.286808845447275,0.170625521332822,0.302077272727273,-0.0387172356954844,-0.0440279470802874,1.79592887462932,-22,11,0.300531716285193,0.286808845447275,0.170625521332822,0.302077272727273,-0.0387172356954844,-0.0440279470802874,1.79592887462932,"2014","Europe and Central Asia","Sweden","High income"
"Tunisia","Tunisia2013",10,0.19484728288912,0.144073411737767,0.160280530855993,0.23517241967683,-0.0497664626659046,-0.0234834168079171,1.58448828156157,10,0.19484728288912,0.144073411737767,0.160280530855993,0.23517241967683,-0.0497664626659046,-0.0234834168079171,1.58448828156157,-17,10,0.19484728288912,0.144073411737767,0.160280530855993,0.23517241967683,-0.0497664626659046,-0.0234834168079171,1.58448828156157,"2013","Middle East and North Africa","Tunisia","Upper middle income"
"Uganda","Uganda2013",NA,NA,NA,NA,NA,NA,NA,NA,2,0.0184813001010864,0.0184813001010864,0.230047919186561,0,-0.00170029132890471,-0.0147880403322429,1,1,2,0.0184813001010864,0.0184813001010864,0.230047919186561,0,-0.00170029132890471,-0.0147880403322429,1,"2013","Sub-Saharan Africa","Uganda","Low income"
