"countryOnly","country","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","outliersOut","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",6,0.0682120775038644,0.0776702167805412,0.0711863010110526,0.104146469988653,-0.0262526454135684,-0.0636533971809065,0.903987884906613,6,0.0682120775038644,0.0776702167805412,0.0711863010110526,0.104146469988653,-0.0262526454135684,-0.0636533971809065,0.903987884906613,-5,NA,NA,NA,NA,NA,NA,NA,NA,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",8,-0.152292991712468,0.247233014255006,3.22153552285605,1.244993491539,-0.235598129549233,0.25411032928204,1.06705403653738,8,-0.152292991712468,0.247233014255006,3.22153552285605,1.244993491539,-0.235598129549233,0.25411032928204,1.06705403653738,-16,8,-0.152292991712468,0.247233014255006,3.22153552285605,1.244993491539,-0.235598129549233,0.25411032928204,1.06705403653738,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",19,0.0757126570774134,0.00486319582613336,0.149192960306193,0.0537698776275126,0.00366473576671775,0.0204737221862752,1.875,19,0.0757126570774134,0.00486319582613336,0.149192960306193,0.0537698776275126,0.00366473576671775,0.0204737221862752,1.875,-36,19,0.0757126570774134,0.00486319582613336,0.149192960306193,0.0537698776275126,0.00366473576671775,0.0204737221862752,1.875,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",NA,NA,NA,NA,NA,NA,NA,NA,10,0.391453859809988,0.431049437798517,0.145539280854884,0.210144927536232,-0.0804850000425789,-0.0830200480960705,1.25,-10,10,0.391453859809988,0.431049437798517,0.145539280854884,0.210144927536232,-0.0804850000425789,-0.0830200480960705,1.25,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",115,0.512947349845133,0.536548592834036,0.339597153087082,0.531638573746602,-0.052629061011142,-0.0239024962430218,1.11604905214068,115,0.512947349845133,0.536548592834036,0.339597153087082,0.531638573746602,-0.052629061011142,-0.0239024962430218,1.11604905214068,-222,115,0.512947349845133,0.536548592834036,0.339597153087082,0.531638573746602,-0.052629061011142,-0.0239024962430218,1.11604905214068,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",12,0.864354308444359,0.79771813948441,0.730624168921282,1.55831471780702,0.140897224139535,-0.17787946201006,0.377311493079983,12,0.864354308444359,0.79771813948441,0.730624168921282,1.55831471780702,0.140897224139535,-0.17787946201006,0.377311493079983,-24,12,0.864354308444359,0.79771813948441,0.730624168921282,1.55831471780702,0.140897224139535,-0.17787946201006,0.377311493079983,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",14,0.636904830136703,0.686775044144769,0.228070889420989,0.353158820127114,-0.0557968375983498,-0.0550109983648436,1.94186999848964,14,0.636904830136703,0.686775044144769,0.228070889420989,0.353158820127114,-0.0557968375983498,-0.0550109983648436,1.94186999848964,-28,14,0.636904830136703,0.686775044144769,0.228070889420989,0.353158820127114,-0.0557968375983498,-0.0550109983648436,1.94186999848964,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",17,0.57196827703896,0.561413508121972,0.30675143440547,0.408448967005859,0.0408132750331123,0.0372483509268416,0.258899676375405,17,0.57196827703896,0.561413508121972,0.30675143440547,0.408448967005859,0.0408132750331123,0.0372483509268416,0.258899676375405,-34,17,0.57196827703896,0.561413508121972,0.30675143440547,0.408448967005859,0.0408132750331123,0.0372483509268416,0.258899676375405,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",150,0.381670928001846,0.310277937043871,0.344344868203245,0.430622009569378,0.0574175434605063,0.093512263020352,0.916154305402263,150,0.381670928001846,0.310277937043871,0.344344868203245,0.430622009569378,0.0574175434605063,0.093512263020352,0.916154305402263,-298,150,0.381670928001846,0.310277937043871,0.344344868203245,0.430622009569378,0.0574175434605063,0.093512263020352,0.916154305402263,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",10,0.490257388376623,0.543132630255638,0.378572926814619,0.0449610712128331,-0.399881557103104,-0.420594645861407,0.381543177004648,10,0.490257388376623,0.543132630255638,0.378572926814619,0.0449610712128331,-0.399881557103104,-0.420594645861407,0.381543177004648,-19,10,0.490257388376623,0.543132630255638,0.378572926814619,0.0449610712128331,-0.399881557103104,-0.420594645861407,0.381543177004648,"2010","Latin America and Caribbean","Barbados","High income"
