"countryOnly","country","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","outliersOut","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",8,0.491980508283718,0.472709431509907,0.213888071145197,0.360976096419559,-0.213659370175462,-0.188442919549539,2.66309047156535,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",25,0.410883422755537,0.278426154558244,0.261978316079937,0.312409183376925,-0.0512543433343821,-0.0364961368057953,2.28779288047049,-49,25,0.410883422755537,0.278426154558244,0.261978316079937,0.312409183376925,-0.0512543433343821,-0.0364961368057953,2.28779288047049,25,0.410883422755537,0.278426154558244,0.261978316079937,0.312409183376925,-0.0512543433343821,-0.0364961368057953,2.28779288047049,"2013","South Asia","Bangladesh","Lower middle income"
"China","China2012",13,0.301126138112271,0.300895924343834,0.181166568078774,0.196222476332305,0.0156176097457318,-0.00363911530451729,2.9604301801756,-23,13,0.301126138112271,0.300895924343834,0.181166568078774,0.196222476332305,0.0156176097457318,-0.00363911530451729,2.9604301801756,13,0.301126138112271,0.300895924343834,0.181166568078774,0.196222476332305,0.0156176097457318,-0.00363911530451729,2.9604301801756,"2012","East Asia and Pacific","China","Upper middle income"
"Egypt","Egypt2013",58,0.277764682992566,0.275587869703406,0.264413122805015,0.488554401290116,0.0404625582819933,0.0266700442986539,1.85115852545282,-111,58,0.277764682992566,0.275587869703406,0.264413122805015,0.488554401290116,0.0404625582819933,0.0266700442986539,1.85115852545282,58,0.277764682992566,0.275587869703406,0.264413122805015,0.488554401290116,0.0404625582819933,0.0266700442986539,1.85115852545282,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Guatemala","Guatemala2010",5,0.223077833714091,0.206005067447789,0.136768220680864,0,0.0389582505471838,-0.0139360575923251,0.379103379036608,-4,5,0.223077833714091,0.206005067447789,0.136768220680864,0,0.0389582505471838,-0.0139360575923251,0.379103379036608,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"India","India2014",129,0.381454085249479,0.364821815456125,0.249180817332045,0.347222222222223,-0.0216768433579432,-0.0668600361851371,0.750427542855393,-256,129,0.381454085249479,0.364821815456125,0.249180817332045,0.347222222222223,-0.0216768433579432,-0.0668600361851371,0.750427542855393,129,0.381454085249479,0.364821815456125,0.249180817332045,0.347222222222223,-0.0216768433579432,-0.0668600361851371,0.750427542855393,"2014","South Asia","India","Lower middle income"
"Jamaica","Jamaica2010",5,0.387146299483594,0.367674023108489,0.114987825803165,0.0529987688339099,0.0435331216773132,0.0458981897998503,0.525183456170043,-10,5,0.387146299483594,0.367674023108489,0.114987825803165,0.0529987688339099,0.0435331216773132,0.0458981897998503,0.525183456170043,5,0.387146299483594,0.367674023108489,0.114987825803165,0.0529987688339099,0.0435331216773132,0.0458981897998503,0.525183456170043,"2010","Latin America and Caribbean","Jamaica","Upper middle income"
"Lebanon","Lebanon2013",6,0.353809571672889,0.270456540026278,0.234499681213613,0.25472434542202,0.260881410215435,0.27174110051838,0.163823470486412,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Lebanon","Upper middle income"
"Mexico","Mexico2010",6,0.46018066323566,0.449872148067755,0.224989842975101,0.203304752763126,-0.210556855392482,-0.118922165927403,6.42339261953212,-12,6,0.46018066323566,0.449872148067755,0.224989842975101,0.203304752763126,-0.210556855392482,-0.118922165927403,6.42339261953212,6,0.46018066323566,0.449872148067755,0.224989842975101,0.203304752763126,-0.210556855392482,-0.118922165927403,6.42339261953212,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Myanmar","Myanmar2014",6,0.265777084105609,0.236088656159677,0.225227376638653,0.251014198782961,0.000547832790979996,-0.0189288164293468,NA,-6,6,0.265777084105609,0.236088656159677,0.225227376638653,0.251014198782961,0.000547832790979996,-0.0189288164293468,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014","East Asia and Pacific","Myanmar","Lower middle income"
"Nigeria","Nigeria2014",5,0.503607525981169,0.175867467773418,0.959189759814641,0.0578411428400653,-0.493590931311817,-0.436380734372395,0.0966800177307765,-4,5,0.503607525981169,0.175867467773418,0.959189759814641,0.0578411428400653,-0.493590931311817,-0.436380734372395,0.0966800177307765,NA,NA,NA,NA,NA,NA,NA,NA,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Pakistan","Pakistan2013",6,0.344005455008965,0.269777760438068,0.199485920500684,0.281961183741998,-0.0838513671276992,-0.0998739623215647,1.09089828474111,-5,6,0.344005455008965,0.269777760438068,0.199485920500684,0.281961183741998,-0.0838513671276992,-0.0998739623215647,1.09089828474111,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Pakistan","Lower middle income"
"Peru","Peru2010",3,0.131724747603271,0.18691184424013,0.109070282281467,0.183113454347024,-0.0442739149224023,-0.0501940403414761,1.35061931024604,-1,NA,NA,NA,NA,NA,NA,NA,NA,3,0.131724747603271,0.18691184424013,0.109070282281467,0.183113454347024,-0.0442739149224023,-0.0501940403414761,1.35061931024604,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",8,0.569441754519239,0.41060470457768,0.49256842732847,0.806779059317884,0.0448962765127701,-0.0237168692060767,0.969754412607409,-16,8,0.569441754519239,0.41060470457768,0.49256842732847,0.806779059317884,0.0448962765127701,-0.0237168692060767,0.969754412607409,8,0.569441754519239,0.41060470457768,0.49256842732847,0.806779059317884,0.0448962765127701,-0.0237168692060767,0.969754412607409,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Serbia","Serbia2013",4,0.20149913397624,0.220266067280946,0.28348627786423,0.0416863644664998,0.0221564938595566,0.336585304035798,0.684485704922819,-3,4,0.20149913397624,0.220266067280946,0.28348627786423,0.0416863644664998,0.0221564938595566,0.336585304035798,0.684485704922819,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Serbia","Upper middle income"
"Sweden","Sweden2014",6,0.467800567693231,0.477718803176199,0.136066099024244,0.111987855331643,-0.0514054422134975,-0.0469286512217334,0.282453990443782,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014","Europe and Central Asia","Sweden","High income"
"Tunisia","Tunisia2013",5,0.250372269038749,0.216120736283706,0.221284862721275,0.166439976041818,0.344288316869542,0.254793487155213,0.0354278961627867,-5,5,0.250372269038749,0.216120736283706,0.221284862721275,0.166439976041818,0.344288316869542,0.254793487155213,0.0354278961627867,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Tunisia","Upper middle income"
"Uruguay","Uruguay2010",5,0.39358956540813,0.361676742787769,0.173723726905174,0.17576355159444,0.0231931887903855,-0.00263550219640798,0.63117521008347,-5,5,0.39358956540813,0.361676742787769,0.173723726905174,0.17576355159444,0.0231931887903855,-0.00263550219640798,0.63117521008347,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Uruguay","High income"
"Vietnam","Vietnam2009",16,0.321566299788602,0.295988119531266,0.297832195484517,0.190945343654703,0.0554341039347906,0.0639503645488892,0.121859557459701,-26,16,0.321566299788602,0.295988119531266,0.297832195484517,0.190945343654703,0.0554341039347906,0.0639503645488892,0.121859557459701,16,0.321566299788602,0.295988119531266,0.297832195484517,0.190945343654703,0.0554341039347906,0.0639503645488892,0.121859557459701,"2009","East Asia and Pacific","Vietnam","Lower middle income"
