"countryOnly","country","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",73,0.46501222813549,0.417744703597011,0.282005909990931,0.355875141971673,-0.0399217833126623,-0.00120484180371026,2.25665128819624,73,0.46501222813549,0.417744703597011,0.282005909990931,0.355875141971673,-0.0399217833126623,-0.00120484180371026,2.25665128819624,73,0.46501222813549,0.417744703597011,0.282005909990931,0.355875141971673,-0.0399217833126623,-0.00120484180371026,2.25665128819624,-146,"2010","Latin America and Caribbean","Argentina","High income"
"Bahamas","Bahamas2010",6,0.41554972130313,0.340154844718689,0.305946028929397,0.55231834254694,-0.147706670383097,-0.0852487518331568,5.03571428571428,NA,NA,NA,NA,NA,NA,NA,NA,6,0.41554972130313,0.340154844718689,0.305946028929397,0.55231834254694,-0.147706670383097,-0.0852487518331568,5.03571428571428,-6,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",109,0.393348377503954,0.345153493500642,0.292184498101003,0.391317855931448,0.0406423523504553,0.0360458239699059,0.538106765930162,109,0.393348377503954,0.345153493500642,0.292184498101003,0.391317855931448,0.0406423523504553,0.0360458239699059,0.538106765930162,109,0.393348377503954,0.345153493500642,0.292184498101003,0.391317855931448,0.0406423523504553,0.0360458239699059,0.538106765930162,-218,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",4,0.261624910715434,0.262188168652045,0.0767687328823213,0.113199105145414,0.0254701525585442,0.00960792224176782,0.705903055335284,4,0.261624910715434,0.262188168652045,0.0767687328823213,0.113199105145414,0.0254701525585442,0.00960792224176782,0.705903055335284,NA,NA,NA,NA,NA,NA,NA,NA,-3,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",5,0.207208788622877,0.185218236738545,0.0897685327116589,0.163264763903742,0.0506231682981577,0.0469599127511836,0.355787431869104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Brazil","Brazil2009",108,0.159738553625136,0.0867447130599791,0.175372631469291,0.225762039946709,0.100877279891353,0.0218165409726187,0.230367643953307,NA,NA,NA,NA,NA,NA,NA,NA,108,0.159738553625136,0.0867447130599791,0.175372631469291,0.225762039946709,0.100877279891353,0.0218165409726187,0.230367643953307,-102,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Cameroon","Cameroon2009",4,0.305086268411037,0.311442569427022,0.191729828002501,0.367765066926548,-0.00515558560837405,0.00939195907222315,1.8485826614455,NA,NA,NA,NA,NA,NA,NA,NA,4,0.305086268411037,0.311442569427022,0.191729828002501,0.367765066926548,-0.00515558560837405,0.00939195907222315,1.8485826614455,-3,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",67,0.324386047470498,0.305903298438945,0.19638393128646,0.354673865433907,-0.111680663216655,-0.0971481240221981,1.35878042185606,67,0.324386047470498,0.305903298438945,0.19638393128646,0.354673865433907,-0.111680663216655,-0.0971481240221981,1.35878042185606,67,0.324386047470498,0.305903298438945,0.19638393128646,0.354673865433907,-0.111680663216655,-0.0971481240221981,1.35878042185606,-134,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",114,0.269801138999756,0.228945150907615,0.16389552746628,0.167019027484144,0.047327081424995,0.0195864584665642,0.5,114,0.269801138999756,0.228945150907615,0.16389552746628,0.167019027484144,0.047327081424995,0.0195864584665642,0.5,114,0.269801138999756,0.228945150907615,0.16389552746628,0.167019027484144,0.047327081424995,0.0195864584665642,0.5,-225,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",30,0.364610856114736,0.378306697797186,0.261088142298312,0.0292911602152003,0.00387319499683774,-0.158072036006082,21.5001726794381,30,0.364610856114736,0.378306697797186,0.261088142298312,0.0292911602152003,0.00387319499683774,-0.158072036006082,21.5001726794381,30,0.364610856114736,0.378306697797186,0.261088142298312,0.0292911602152003,0.00387319499683774,-0.158072036006082,21.5001726794381,-5,"2010","Latin America and Caribbean","Colombia","Upper middle income"
