"countryOnly","country","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Angola","Angola2010",4,0.0198324032513386,0.0185258422482753,0.0217410397625153,0.0391564301068597,0.015708010526384,0.0154581577633176,0.0854482426749924,1,0.163265306122449,0.163265306122449,NA,0,0,0,1,1,2.25015160396432e-05,2.25015160396432e-05,NA,0,0,0,1,0,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Argentina","Argentina2010",11,0.484433859093031,0.534202465117519,0.265896067697267,0.230372773162783,-0.0378494903389269,-0.00648411303512151,1.26102648479044,31,0.498693164493797,0.585866415624505,0.386848255863644,0.370384378975249,0.0321605666492128,0.122403206921466,1.20481404469298,1,0.518492913930176,0.518492913930176,NA,0,0,0,1,3,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",7,0.329655551734034,0.250783900158005,0.40926582075278,0.528624856156502,-0.0109688749765857,-0.175628241488648,0.275490797694948,1,0.0681576728037414,0.0681576728037414,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Bangladesh","Bangladesh2013",8,0.492270839871313,0.518253444134166,0.156646321766367,0.131555555555556,-0.0837382040732164,-0.179133347179067,1.13732237141559,18,0.304686505761644,0.286829397797057,0.200381917091048,0.194921843579913,-0.0709695066752711,-0.0685971922439724,2.48426440232373,2,0.596231482776972,0.596231482776972,0.0020967994390102,0.00296532220422452,0.000508419235265632,0.000494220367370753,0.700679788056247,2,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",1,0.197368421052632,0.197368421052632,NA,0,0,0,1,2,0.378292702076193,0.378292702076193,0.360726937648789,0.510144927536232,0.170173386631873,0.208695652173913,0.64465843178783,3,0.205654872044759,0.190246988796556,0.149423306136108,0.295663185421623,0.0254246466235945,0.023039312288107,0.967036619888323,1,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bhutan","Bhutan2015",2,1.34001004642642,1.34001004642642,1.51960545330879,2.14904664152541,-0.327028836753866,-0.327028836753866,1.4375,1,0.69101678183613,0.69101678183613,NA,0,0,0,1,1,0.166350503429155,0.166350503429155,NA,0,0,0,1,1,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",4,0.266908357790937,0.27858140175924,0.085795724956118,0.0676847108040725,-0.0107056430236097,0.0157807481128881,1.61976290236033,1,0.109841827768014,0.109841827768014,NA,0,0,0,1,4,0.552795549341239,0.598065896621513,0.419642432004199,0.738562406283099,-0.214003135612007,-0.173058436586322,0.874215085424605,2,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Botswana","Botswana2010",4,0.298560135144945,0.262894424862991,0.210742416221648,0.226618865367929,-0.075291383123171,-0.0869593727137029,2.18999380512637,4,0.499882334350679,0.380354146402687,0.378842156079043,0.770471068734665,0.196108017387509,0.180850532562469,0.332965025323592,NA,NA,NA,NA,NA,NA,NA,NA,1,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",12,0.199546616011676,0.196489056252645,0.204478291406361,0.300277728020732,0.103472469056792,0.0689618358157512,0.427339004901006,41,0.337171808875509,0.26769324725541,0.29973761122741,0.400664116686716,-0.0682022040795822,-0.0812231587087957,2.54206636111337,1,0.865704772475028,0.865704772475028,NA,0,0,0,1,2,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",3,0.333130468710991,0.329359183218155,0.406065658942303,0.581657280772325,0.0385502183976156,0.0586146618594996,0.866432807320047,5,0.134774268108037,0.0642284589030445,0.160753083877441,0.315178113251906,0.167735201856022,0.136220998087947,0.0944791080114457,1,0.763195652837561,0.763195652837561,NA,0,0,0,1,0,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Cameroon","Cameroon2009",3,0.238394869466357,0.141784820683903,0.264515135359778,0.501869029489132,-0.092479791712429,-0.0924797917124291,1.5,3,0.427588852003962,0.430425869087979,0.157433635082026,0.169657888453357,-0.103309489213973,-0.0522180299534368,6.77593991503922,NA,NA,NA,NA,NA,NA,NA,NA,0,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",21,0.513319900121279,0.5674870069195,0.197479701380574,0.128075705736651,0.00655722751206963,0.0401479147209144,0.652303496830928,99,0.526709354026497,0.524100160521825,0.225455260056857,0.302315668398099,-0.0705532341173341,-0.05647819410045,0.857855088068307,3,0.15826854847152,0.148193784616801,0.165733141933527,0.172035133663772,0.0740194225415898,0.0118889314145669,1.44227748048698,6,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",96,0.339109537023644,0.296871309931068,0.230648284728236,0.314156065148691,-0.0263259581964182,-0.0188351004629479,2.36642923702686,34,0.266260554460278,0.297078493107373,0.204385794811127,0.273919619170406,0.0500679080233113,0.0240803586155593,0.237745033511274,15,0.216815913127249,0.291973778053863,0.153236412717108,0.259513396549759,-0.093835405504957,0.235715719944229,0.392670285728301,1,"2012","East Asia and Pacific","China","Upper middle income"
