"countryOnly","country","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","outliersOut","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",6,0.56558995251983,0.614080120293401,0.302718780383725,0.222188755583271,-0.0901569804014277,-0.191837254731827,0.852022206586848,1,0.316239316239316,0.316239316239316,Inf,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",7,0.346937423337755,0.350746268656716,0.136122909599311,0.237574447974674,-0.0290534206176589,-0.00527400789712651,1.20417805638277,4,0.448843022351244,0.48261869879779,0.301704202337037,0.26096256684492,-0.18053554903552,-0.0264952776920469,3.10216071820345,0,1,5.76501277438215,5.76501277438215,NA,0,0,0,1,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",10,0.256824400058329,0.156867131201575,0.269276903047208,0.193307316764887,0.0664229663855509,-0.01329858599675,0.916869115391359,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.141509433962264,0.141509433962264,NA,0,0,0,1,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",4,0.509503455732411,0.518888068973843,0.0908647510290909,0.0711305548065079,-0.0713053830597848,-0.0314858567477279,3.16975818315769,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",24,0.2040031135703,0.193545345689881,0.116122477866571,0.0887800114489679,0.00760644999244868,0.0379177785183046,0.170968797955676,54,0.289119000896881,0.258707586992892,0.178271541576302,0.168205386994924,0.00175612294888189,-0.00220062884720177,0.732536634571305,2,11,0.250148636922839,0.214317022858635,0.085375871400431,0.118368147494361,0.0665057091407158,0.0357780015769189,0.685844011051992,"2012","East Asia and Pacific","China","Upper middle income"
"Egypt","Egypt2013",1,0.5,0.5,NA,0,0,0,1,1,0.0130434782608696,0.0130434782608696,NA,0,0,0,1,17,14,0.325189161391419,0.379830776449596,0.172712762512856,0.125024238711366,-0.040483875957334,0.134017408338331,1.02019942772378,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",191,0.347491319706921,0.320146043059728,0.214169926579504,0.30625700077697,0.0190546758656906,-0.0052640844089815,0.829084679564529,112,0.365234868981642,0.330955159068348,0.2225629716762,0.30764760576476,-0.00813866303607682,0.0383472950876166,1.11257889689143,5,87,0.377923285771292,0.375884934638063,0.255706410795521,0.387426900584795,-0.112445242051607,-0.0576249893478711,0.825510206272357,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",4,0.397558341773766,0.354171961990498,0.275901448616629,0.492271695972774,0.121664276248214,0.126586411524565,0.335785263010314,1,0.172185430463576,0.172185430463576,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",NA,NA,NA,NA,NA,NA,NA,NA,1,0.334448160535117,0.334448160535117,NA,0,0,0,1,4,1,0.43613707165109,0.43613707165109,NA,0,0,0,1,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Kenya","Kenya2013",4,0.0306588864856506,0.0340202302978283,0.0158551705540048,0.0332228173085097,0.0040158568509884,0.00436040633147563,0.78387654448903,2,0.131177156793929,0.131177156793929,0.0768253487320195,0.108647450110865,0.0318200547370533,0.0332951863242972,0.645760862503818,0,1,0.034624145785877,0.034624145785877,NA,0,0,0,1,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Mexico","Mexico2010",4,0.273550307388591,0.272508759275326,0.0130745258978954,0,-0.000424632682818287,-0.00499500047570639,1,5,1.31360773595178,0.329985737921413,1.6590716246729,2.13188662760818,-0.862990870019457,-0.828934593874939,1.55985310289206,9,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Nepal","Nepal2013",3,0.153511273366325,0.113294388387325,0.139439872027314,0.279068775849571,-0.0287321610742305,-0.0315019764509585,1.675,1,0.378378378378379,0.378378378378379,NA,0,0,0,1,3,1,0.0263424518743668,0.0263424518743668,NA,0,0,0,1,"2013","South Asia","Nepal","Low income"
"Pakistan","Pakistan2013",1,-0.0011070110701107,-0.0011070110701107,NA,0,0,0,1,1,0.685714285714286,0.685714285714286,NA,0,0,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Pakistan","Lower middle income"
"Peru","Peru2010",5,0.460538765623867,0.460103524014768,0.234501074802551,0.309708159618821,-0.0866643483001074,-0.123007189848594,0.787499799642386,4,0.366518547821537,0.384206628245979,0.174834140767785,0.203115789264656,-0.0205684666975202,-0.016214004733405,0.891065803125094,0,1,0.0810810810810811,0.0810810810810811,NA,0,0,0,1,"2010","Latin America and Caribbean","Peru","Upper middle income"
