"countryOnly","country","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",13,0.311580769626438,0.230374200962436,0.35161194197897,0.233333333333333,0.0503991292163226,0.22216576499437,0.545743766122098,3,2.2538922309191,2.13707597173145,3.76908055778618,5.58333333333333,-0.911663591890669,-1.69644902634593,1.80323069156991,9,0.0922657464393453,0.025866043640078,0.160463883813483,0.04,-0.0427438249484184,0.0327200191628084,3.92326727784221,2,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",7,0.193997311231932,0.215261584092394,0.144823989863495,0.175094919383624,-0.064919235187204,-0.0546961852857515,1.2,9,0.581508816240951,0.67409688687767,0.37261580521968,0.63203589030709,-0.0203622613508003,-0.00755197865278507,0.450502935484844,15,0.47081721687986,0.471315701501876,0.238704661356333,0.375,0.0499473773769406,-0.0065436841693867,1.57072157927657,10,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",4,0.000734882862826137,0.000145411289312935,0.00147877228858664,7.47368421052632e-05,0.00162793315499288,0.00165738580308915,0.103322977785208,33,0.0408809561520207,0.0150927991230422,0.0464206200974317,0.089962791938897,0.000392416096109579,0.00115810325711917,0.265887208774303,78,0.0219151755576812,0.00494001909214949,0.0357804641138081,0.0212382857142857,0.00354894272799381,0.00476220919651371,1.01788989054316,6,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",2,0.426523297491039,0.426523297491039,0.0253443290747867,0.0358422939068101,-0.001194743130227,-0.001194743130227,1.07142857142857,16,0.390880619984037,0.393861020087024,0.113706322783324,0.182539682539683,-0.0131753897577373,-0.0131776323879034,1.20810679154052,13,0.414924101759012,0.418538996340676,0.109628592980478,0.139423076923077,0.0132859947135421,0.0133941347486281,0.774354188564362,0,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",16,0.649000466775613,0.800266665541495,0.270172628978357,0.522222222222222,-0.0769104978957858,-0.184720553913806,0.420989384331391,500,0.45073256674619,0.440527107415676,0.229529239633229,0.3791807718348,-0.0740298240297631,-0.0478902434450001,0.838989314312815,130,0.484559216809513,0.530742823251638,0.238557967689172,0.378205128205129,-0.0274181017075171,-0.0783223199410406,1.58699489703671,10,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",3,0.367599894116158,0.367102951867614,0.0544409005808323,0.0707542550759799,-0.0254456222503622,-0.0166484877569302,2.53929320504226,23,0.3517085837505,0.375,0.163833786973468,0.178881663194444,0.0215093038125805,0.030110948760736,2.32016342059331,32,0.407279549469482,0.4,0.223312250812519,0.35,0.0889732038158618,0.0339829277886085,0.192206979015281,8,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",6,0.360618081621477,0.355445602684364,0.120543741640094,0.0808823529411766,-0.032718905152859,-0.035562500583289,1.04121153090622,24,0.312476820376683,0.332995786528934,0.173609324358384,0.264705882352941,0.103052514082154,0.108447196404923,0.273229528469793,41,0.358148008758458,0.354249473418043,0.134070537365712,0.144721175278623,-0.0233280803606174,-0.0202690452221745,1.01935160844451,2,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",3,0.488675213675214,0.491111111111111,0.0744414291564832,0.0805555555555556,-0.048403247148017,-0.0489533011272142,0.955555555555555,19,0.463278399163297,0.461953846153846,0.0920803893622658,0.134315789473684,0.0286381404149136,0.0173279193841062,0.208108108108108,14,0.509297295769802,0.466666666666667,0.135405024659646,0.124521072796935,0.0124937919997438,-0.000859354196763993,0.441176470588236,0,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",136,0.430063693114321,0.434060308752193,0.251585346020727,0.35,0.0630210096111076,0.0728042221094784,0.764279304017042,580,0.485133726855867,0.5,0.240556160505041,0.366666666666667,0.016585258374538,0.0085968677993416,0.352523376226766,381,0.486652848364502,0.5,0.227770472853673,0.351457840819543,0.0426564558914871,0.0761576277752982,1.06055564017741,20,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",5,0.399963205122619,0.4,0.0151023650841749,0.034848484848485,0.00237705788840824,0.00122861265718409,1.105640554308,34,0.384054145612371,0.4,0.130463748192885,0.146666666666667,-0.0365570345780885,-0.0331427975814557,0.186724399720298,17,0.39953854094911,0.4,0.0233646079336438,0.00909090909090898,-0.00293971142638073,-0.00808147463585431,0.373605188289459,11,"2010","Latin America and Caribbean","Barbados","High income"
