"countryOnly","country","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","outliersOut","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",48,0.802456862601456,0.548085218821255,1.10216574560985,0.398611111111111,-0.13343305067582,0.0565872172076404,0.872807076741819,48,0.802456862601456,0.548085218821255,1.10216574560985,0.398611111111111,-0.13343305067582,0.0565872172076404,0.872807076741819,-47,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",156,0.443188949647752,0.438231378497798,0.202996431505068,0.3,0.158290304483429,0.106844010949353,0.0362814088827063,156,0.443188949647752,0.438231378497798,0.202996431505068,0.3,0.158290304483429,0.106844010949353,0.0362814088827063,-309,156,0.443188949647752,0.438231378497798,0.202996431505068,0.3,0.158290304483429,0.106844010949353,0.0362814088827063,"2013","South Asia","Bangladesh","Lower middle income"
"Bolivia","Bolivia2010",9,0.256670405731505,0.239552561123922,0.276420302591947,0.329414132484677,0.0506449575325649,-0.0736757009591688,0.414065192701729,9,0.256670405731505,0.239552561123922,0.276420302591947,0.329414132484677,0.0506449575325649,-0.0736757009591688,0.414065192701729,-18,9,0.256670405731505,0.239552561123922,0.276420302591947,0.329414132484677,0.0506449575325649,-0.0736757009591688,0.414065192701729,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",11,0.370792882201066,0.357536637575548,0.254669564792946,0.505,-0.094847661642806,-0.110433678122282,0.391830302292632,11,0.370792882201066,0.357536637575548,0.254669564792946,0.505,-0.094847661642806,-0.110433678122282,0.391830302292632,-22,11,0.370792882201066,0.357536637575548,0.254669564792946,0.505,-0.094847661642806,-0.110433678122282,0.391830302292632,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",127,0.328733553045249,0.297517269331138,0.201216295584704,0.328235294117647,0.0269246380037208,-0.0165078128952028,0.380393779637365,127,0.328733553045249,0.297517269331138,0.201216295584704,0.328235294117647,0.0269246380037208,-0.0165078128952028,0.380393779637365,-123,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",8,0.569933872331867,0.551826598460124,0.244091871632545,0.435897435897436,0.120402916504182,0.185707849259731,0.954027406463353,8,0.569933872331867,0.551826598460124,0.244091871632545,0.435897435897436,0.120402916504182,0.185707849259731,0.954027406463353,-15,8,0.569933872331867,0.551826598460124,0.244091871632545,0.435897435897436,0.120402916504182,0.185707849259731,0.954027406463353,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Chile","Chile2010",53,0.366066686569744,0.330059994271915,0.18881024883757,0.271812080536913,-0.0186832795176972,-0.0154877124858535,2.12627353100521,53,0.366066686569744,0.330059994271915,0.18881024883757,0.271812080536913,-0.0186832795176972,-0.0154877124858535,2.12627353100521,-103,53,0.366066686569744,0.330059994271915,0.18881024883757,0.271812080536913,-0.0186832795176972,-0.0154877124858535,2.12627353100521,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",145,0.350093871106045,0.373210698749187,0.160710190406268,0.191346153846154,-0.0648221781160025,-0.0660084821956641,0.950792821564308,145,0.350093871106045,0.373210698749187,0.160710190406268,0.191346153846154,-0.0648221781160025,-0.0660084821956641,0.950792821564308,-287,145,0.350093871106045,0.373210698749187,0.160710190406268,0.191346153846154,-0.0648221781160025,-0.0660084821956641,0.950792821564308,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",51,0.481472582634651,0.621759848188736,0.223171637562639,0.267857142857143,-0.144874094953146,-0.0686722357265442,1.4,51,0.481472582634651,0.621759848188736,0.223171637562639,0.267857142857143,-0.144874094953146,-0.0686722357265442,1.4,-102,51,0.481472582634651,0.621759848188736,0.223171637562639,0.267857142857143,-0.144874094953146,-0.0686722357265442,1.4,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",5,0.415592410133912,0.471242766484515,0.205523636095442,0.27860863538203,-0.0478953938064346,0.0460770045031956,3.33996837112485,5,0.415592410133912,0.471242766484515,0.205523636095442,0.27860863538203,-0.0478953938064346,0.0460770045031956,3.33996837112485,-5,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Croatia","Croatia2013",3,0.196449564558969,0.148142253457113,0.145897447517424,0.275921238785369,0.0059942033741678,0.0060053257101608,1,3,0.196449564558969,0.148142253457113,0.145897447517424,0.275921238785369,0.0059942033741678,0.0060053257101608,1,-4,3,0.196449564558969,0.148142253457113,0.145897447517424,0.275921238785369,0.0059942033741678,0.0060053257101608,1,"2013","Europe and Central Asia","Croatia","High income"
"Dominicanrepublic","Dominicanrepublic2010",9,0.370962779569339,0.330262095385283,0.12085369309461,0.1900000305537,-0.0201976395099658,-0.0229785452376171,3.79669115713454,9,0.370962779569339,0.330262095385283,0.12085369309461,0.1900000305537,-0.0201976395099658,-0.0229785452376171,3.79669115713454,-8,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Ecuador","Ecuador2010",7,0.542946082585084,0.557253334029308,0.0451330310296919,0.0496024667453282,-0.00588914819644208,-0.0186099062118043,2.86586389513704,7,0.542946082585084,0.557253334029308,0.0451330310296919,0.0496024667453282,-0.00588914819644208,-0.0186099062118043,2.86586389513704,-4,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Ecuador","Upper middle income"
"Egypt","Egypt2013",161,0.39170561638749,0.369083272746136,0.150012417295459,0.133333333333334,0.0435676816127563,0.0228729416555516,0.35,161,0.39170561638749,0.369083272746136,0.150012417295459,0.133333333333334,0.0435676816127563,0.0228729416555516,0.35,-307,161,0.39170561638749,0.369083272746136,0.150012417295459,0.133333333333334,0.0435676816127563,0.0228729416555516,0.35,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Elsalvador","Elsalvador2010",7,0.461735105697963,0.471240513057758,0.202961345171375,0.402787418655098,0.0805581739189934,0.0708457083845266,0.795282416660537,7,0.461735105697963,0.471240513057758,0.202961345171375,0.402787418655098,0.0805581739189934,0.0708457083845266,0.795282416660537,-7,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","El Salvador","Lower middle income"
"Estonia","Estonia2013",4,0.160698331663302,0.149493646925009,0.0864095941695068,0.102941176470588,0.00860480537086806,0.00426082719690749,0.829117741110154,4,0.160698331663302,0.149493646925009,0.0864095941695068,0.102941176470588,0.00860480537086806,0.00426082719690749,0.829117741110154,-3,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Estonia","High income"
"Ethiopia","Ethiopia2011",9,0.272186013448632,0.243700159489633,0.18275792189533,0.294396130674228,-0.0603262132957134,-0.0696951761555529,5.68083333333334,9,0.272186013448632,0.243700159489633,0.18275792189533,0.294396130674228,-0.0603262132957134,-0.0696951761555529,5.68083333333334,-18,9,0.272186013448632,0.243700159489633,0.18275792189533,0.294396130674228,-0.0603262132957134,-0.0696951761555529,5.68083333333334,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Fyrom","Fyrom2013",4,0.549927137679228,0.546802234084378,0.0226139792044328,0.0100574712643678,0.00662495545034936,0.0116198536181595,0.577559570445353,4,0.549927137679228,0.546802234084378,0.0226139792044328,0.0100574712643678,0.00662495545034936,0.0116198536181595,0.577559570445353,-3,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
"Guatemala","Guatemala2010",40,0.390197690564851,0.39613156946462,0.184780355826,0.25,0.00589109842577776,0.00477183976113724,1.39752574685042,40,0.390197690564851,0.39613156946462,0.184780355826,0.25,0.00589109842577776,0.00477183976113724,1.39752574685042,-40,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Honduras","Honduras2010",3,0.0843331977219459,0.0827885134489481,0.107572141646111,0,0,0,1,3,0.0843331977219459,0.0827885134489481,0.107572141646111,0,0,0,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Honduras","Lower middle income"
