"countryOnly","country","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Angola","Angola2010",6,0.0131688741090287,0.000179452663466769,0.0358417948250297,0.00157692307692308,-0.00375192747377137,-0.00453429579819086,0.512699104557375,6,0.0131688741090287,0.000179452663466769,0.0358417948250297,0.00157692307692308,-0.00375192747377137,-0.00453429579819086,0.512699104557375,6,0.0131688741090287,0.000179452663466769,0.0358417948250297,0.00157692307692308,-0.00375192747377137,-0.00453429579819086,0.512699104557375,-11,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Bangladesh","Bangladesh2013",18,0.39795921509356,0.401211314480047,0.290247058406444,0.371428571428571,0.0407691168356061,0.0487197612589072,1.05024625043396,18,0.39795921509356,0.401211314480047,0.290247058406444,0.371428571428571,0.0407691168356061,0.0487197612589072,1.05024625043396,18,0.39795921509356,0.401211314480047,0.290247058406444,0.371428571428571,0.0407691168356061,0.0487197612589072,1.05024625043396,-36,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",10,0.203902485155667,0.205174130069517,0.169740540135657,0.193496240601504,-0.0508289757233882,-0.0806398830812208,2.84833646721548,10,0.203902485155667,0.205174130069517,0.169740540135657,0.193496240601504,-0.0508289757233882,-0.0806398830812208,2.84833646721548,10,0.203902485155667,0.205174130069517,0.169740540135657,0.193496240601504,-0.0508289757233882,-0.0806398830812208,2.84833646721548,-20,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bhutan","Bhutan2015",14,0.46489701978557,0.490586945314759,0.22774258122614,0.305882352941176,-0.00161413217533604,0.00901255276102994,0.771201624911093,14,0.46489701978557,0.490586945314759,0.22774258122614,0.305882352941176,-0.00161413217533604,0.00901255276102994,0.771201624911093,14,0.46489701978557,0.490586945314759,0.22774258122614,0.305882352941176,-0.00161413217533604,0.00901255276102994,0.771201624911093,-26,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",19,0.436980607583056,0.5,0.148478186095349,0.226315789473684,0.0243015388367637,0.00799979581885455,0.486300669659687,19,0.436980607583056,0.5,0.148478186095349,0.226315789473684,0.0243015388367637,0.00799979581885455,0.486300669659687,19,0.436980607583056,0.5,0.148478186095349,0.226315789473684,0.0243015388367637,0.00799979581885455,0.486300669659687,-38,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,2,0.725694444444444,0.725694444444444,0.230791796637276,0.326388888888889,-0.0407986111111111,-0.0407986111111111,1.33333333333333,2,0.725694444444444,0.725694444444444,0.230791796637276,0.326388888888889,-0.0407986111111111,-0.0407986111111111,1.33333333333333,2,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Cameroon","Cameroon2009",NA,NA,NA,NA,NA,NA,NA,NA,10,0.180480301787814,0.23562118168883,0.148108967712285,0.288888888888889,-0.0921046427926161,-0.0719640338412288,0.694588209775473,10,0.180480301787814,0.23562118168883,0.148108967712285,0.288888888888889,-0.0921046427926161,-0.0719640338412288,0.694588209775473,-10,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,13,0.360532093378831,0.428571428571429,0.163321346327036,0.359111935567192,-0.00525522871767681,0.00350512643111563,NA,13,0.360532093378831,0.428571428571429,0.163321346327036,0.359111935567192,-0.00525522871767681,0.00350512643111563,NA,-8,"2010","Latin America and Caribbean","Chile","High income"
"Costarica","Costarica2010",NA,NA,NA,NA,NA,NA,NA,NA,11,0.373081241851427,0.432382065720559,0.254359652411185,0.471794871794872,0.0872818356052834,0.104194652641887,0.358526005468969,11,0.373081241851427,0.432382065720559,0.254359652411185,0.471794871794872,0.0872818356052834,0.104194652641887,0.358526005468969,-11,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",11,0.203092042790679,0.162114438033153,0.20189187955596,0.267272727272727,-0.0795205155043321,-0.146964598946786,1,11,0.203092042790679,0.162114438033153,0.20189187955596,0.267272727272727,-0.0795205155043321,-0.146964598946786,1,11,0.203092042790679,0.162114438033153,0.20189187955596,0.267272727272727,-0.0795205155043321,-0.146964598946786,1,-20,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
