"countryOnly","country","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","outliersOut","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","yearOnly","region","countryDes","incomeLevel"
"Angola","Angola2010",4,0.00315031290655413,0.00259615384615385,0.00337347176458601,0.00501770328777785,-0.00223963859558743,-0.00223963859558743,4.66666666666667,1,0.00408715447154472,0.00408715447154472,NA,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Argentina","Argentina2010",NA,NA,NA,NA,NA,NA,NA,NA,6,0.387680869667563,0.382871458281048,0.129256742417393,0.187286320616606,0.101332997026263,0.142732607349967,0.272674792896144,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",12,0.661761605873445,0.710271274149735,0.253118140333014,0.238888888888889,0.131175985707372,0.132042431653103,2.5,20,0.58567911217997,0.576226328153439,0.301320425254562,0.509920634920635,0.159877232970829,0.129857534026316,2.4131538277879,6,1,0.923076923076923,0.923076923076923,NA,0,0,0,1,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,7,0.448737183210274,0.5244002962939,0.229823203727551,0.157732412982817,0.0840937400849237,0.153981188294475,0.711318140891767,0,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burkinafaso","Burkinafaso2009",4,0.220296742764549,0.19643881080974,0.167780530105176,0.247666195190948,0.0215835720473894,0.0336925811876822,0.764876142351637,1,0.0633333333333334,0.0633333333333334,NA,0,0,0,1,0,1,0.332178443983402,0.332178443983402,NA,0,0,0,1,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Chile","Chile2010",1,0.532,0.532,NA,0,0,0,1,10,0.393319803004344,0.338690338103923,0.282699479524382,0.490010245901639,-0.124454690408883,-0.118411415846195,1.52678541148118,2,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",54,0.383297757973737,0.392283595148365,0.192689546378848,0.296969696969697,0.00123009096343675,-0.0149754855208258,0.319851151205158,18,0.373387046937538,0.334833744221169,0.20882102067072,0.45,0.0171912672212201,-0.00925847873027511,1,0,5,0.486812565899077,0.536290805259123,0.267544473083622,0.380952380952381,-0.0991557421122272,-0.0382817869415808,2.08874474421156,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",7,0.30989666253011,0.325539175727254,0.187733915411595,0.268393574297189,0.0016774392358601,-0.00532470341947938,0.11445007563901,6,0.630554321869791,0.638280916636701,0.193428414417234,0.32148361394632,0.0252069119543971,-0.0228593001408773,0.207344768644789,0,1,0.0983921285714286,0.0983921285714286,NA,0,0,0,1,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",2,0.409480542441834,0.409480542441834,0.00586577216211568,0.00829545454545455,-0.00235422189745508,-0.0028515625,3.68648488564648,3,0.550856829053303,0.533473381672143,0.0411746821530491,0.07375,-0.0119602110822596,-0.0117010233918129,0.87185596631846,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Egypt","Egypt2013",24,0.293827289976023,0.300549801040745,0.127265741259735,0.133333333333333,0.0954842877128656,-0.0446772204860655,0.0966857896138804,22,0.471671261506348,0.322689323686849,0.294844022754205,0.45,-0.0208179200165953,0.0501180057395533,1.38853271907076,8,12,0.629656303375599,0.627360349952005,0.0645675600219988,0.066666666666667,-0.00562467038274757,0.00459124338545718,1.04127347066522,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ethiopia","Ethiopia2011",8,0.425739953236503,0.379807692307692,0.279871732834576,0.286027783884017,0.0748754679582178,0.0748754679582178,1.2,2,4.3987814980163,4.3987814980163,5.61149900913889,7.9358580039674,0.857930595023503,0.857930595023503,0.822222222222222,1,3,0.629730774649723,0.7,0.268256572432296,0.522525657282501,0.06556338203622,0.06556338203622,1,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Ghana","Ghana2013",4,0.410037491284173,0.391150217037484,0.257941655052214,0.370833333333333,-0.106205774154522,-0.0976192146956088,3.4,1,0.301075268817204,0.301075268817204,NA,0,0,0,1,2,1,0.24,0.24,Inf,0,-3.33846653475847e-33,0,1,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Guatemala","Guatemala2010",1,0.233333333333333,0.233333333333333,NA,0,0,0,1,7,0.312077098854982,0.222158633883912,0.307465048763118,0.483333333333333,0.328798360073002,0.291673382465908,0.0666137389131386,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"India","India2014",250,0.563298976619175,0.583042990157442,0.192043373218009,0.215510142974774,0.0464788136759365,0.0135888373629707,0.698500061181417,262,0.596789019857359,0.625,0.182551204561373,0.211111111111111,0.0389996495457652,0.0111582792658462,0.656762161523389,14,114,0.612648896728921,0.633879560851808,0.157258978885013,0.147674418604651,0.0285507183570226,0.0144035899227204,0.639685024853503,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",3,0.22713365353365,0.193229495586503,0.238232097139545,0.465866666666667,-0.024761208064581,-0.0240498316498317,1.33333333333333,4,0.610108974330352,0.590356797235122,0.106992913093789,0.144444444444444,0.0217176087496881,0.0113286691148538,0.721951890644388,1,NA,NA,NA,NA,NA,NA,NA,NA,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Kenya","Kenya2013",2,0.00134375,0.00134375,0.000220970869120796,0.0003125,-7.05645161290323e-05,-7.05645161290323e-05,1.82352941176471,6,0.158136357537444,0.130370250132469,0.0961825450669969,0.177272727272727,-0.0190949543194375,-0.0163281213966145,1.22950819672131,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Mexico","Mexico2010",1,0.0816326530612245,0.0816326530612245,NA,0,0,0,1,1,0.5,0.5,NA,0,0,0,1,10,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Myanmar","Myanmar2014",5,0.447890308584402,0.603312193980918,0.271392041492601,0.446830265848671,0.10603765411604,0.0717474675417321,0.397192510230676,1,0.277777777777778,0.277777777777778,NA,0,0,0,1,0,5,0.330268946396117,0.315229201046971,0.29981034627401,0.627777777777778,0.00628229213020532,0.0152003968253968,1,"2014","East Asia and Pacific","Myanmar","Lower middle income"
"Nepal","Nepal2013",1,0.555555555555556,0.555555555555556,NA,0,0,0,1,11,0.380678299085684,0.351389554863953,0.134579532792141,0.228137651821863,-0.103566930644245,-0.0666533669148809,0.765532277424067,6,1,0.520833333333333,0.520833333333333,NA,0,0,0,1,"2013","South Asia","Nepal","Low income"
