"countryOnly","country","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Angola","Angola2010",1,0.000105279559341876,0.000105279559341876,NA,0,0,0,1,1,0.10816413889192,0.10816413889192,Inf,0,0,0,1,4,0.000486445337450441,0.000161593974503785,0.000757373302211858,0.00060467466354051,-0.000324171079720788,-0.000324171079720788,0.96875,1,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Bangladesh","Bangladesh2013",2,0.722167342316038,0.722167342316038,0.971216154398461,1.37350705754614,0.195067568655244,0.20198633199208,0.687429436677352,11,2.77334290673249,1.36542676257842,3.35822839448017,4.13882163034705,0.277467496712547,0.849471430740998,0.823484894725831,5,0.535223067164219,0.521396562915117,0.698859060874693,0.910449047907415,0.0627166129724314,-0.0720347236406464,1.0586862087999,0,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",3,0.151963275023018,0.0962020009018192,0.211131242406738,0.3026864169017,-0.0851316328173866,-0.0635686321094669,3.0396925539395,5,0.749062180264832,0.21125468992106,1.04594897238529,0.649885474879946,-0.36919929050039,-0.402230596702579,0.882819230501176,2,0.577052583903369,0.57705258390337,0.359913610318232,0.508994708994709,-0.14479622872479,-0.152698412698413,2.61965888697286,0,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bhutan","Bhutan2015",1,3,3,NA,0,0,0,1,7,0.769237711145733,0.400219115535414,1.1344353894376,0.855937358500799,-0.133173632402481,-0.134898354432726,1.21088791349173,4,0.904969045947956,0.964060364872373,0.19211068582863,0.22991854929626,0.0275583391545364,0.0251747729545237,1.65378547384705,4,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",1,0.946790380609733,0.946790380609733,NA,0,0,0,1,1,1.08695652173913,1.08695652173913,NA,0,0,0,1,14,1.11129588504114,1.11085582332972,0.600389279923951,1.11928614580826,-0.0162879951397653,-0.0848974359076262,1.13347491083149,2,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,1,1.42405063291139,1.42405063291139,Inf,0,0,0,NA,1,-3.07692307692308,-3.07692307692308,NA,0,0,0,1,4,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Cameroon","Cameroon2009",NA,NA,NA,NA,NA,NA,NA,NA,6,0.286310006690316,0.354394521491795,0.220223703997514,0.418792480240743,-0.109406117760093,-0.100159650209555,0.937287335123299,3,0.0242331064477966,0.0179276649189519,0.0269537023297049,0.0436942993067307,0.00100005295082714,0.000123337456453962,0.919078517972092,0,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,13,0.853814026404782,0.804883148312369,0.204571643744633,0.256094398340249,-0.0408500144552699,0.00565920987603099,0.243265877892684,1,0.170711582780892,0.170711582780892,NA,0,0,0,1,4,"2010","Latin America and Caribbean","Chile","High income"
"Costarica","Costarica2010",NA,NA,NA,NA,NA,NA,NA,NA,7,0.449046099045059,0.215309179590134,0.462459040907417,0.43218954248366,0.318355590310204,0.192693666646428,0.228340614953425,3,1.49810792095006,1.18964194666374,1.69373496078943,3.47130182704469,1.19285929512611,1.18673254936554,0.203265497359502,0,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",1,0.726744186046511,0.726744186046511,NA,0,0,0,1,3,0.0891485091587724,0.0389818195933384,0.122731062855999,0.207789366179742,-0.0342394449244821,-0.0284307529071571,1.74760147625597,4,0.145434709130671,0.142518411593412,0.176876555866103,0.203474794421775,-0.00840544781487327,-0.0198609727451143,1.26377451292862,4,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Croatia","Croatia2013",2,1.00379392508774,1.00379392508774,0.0393181445678745,0.0556042532952341,-0.00706692022644013,-0.0073397614349709,1.39593917753423,7,0.868458630681202,0.475121908728453,0.980264070125248,2.05092001614798,0.624736827662654,0.628094425755615,0.936330398501175,1,1.1969696969697,1.1969696969697,NA,0,0,0,NA,0,"2013","Europe and Central Asia","Croatia","High income"
"Drc","Drc2013",2,0.465528535361904,0.465528535361904,0.351509729375972,0.497109826589595,-0.041144427089793,-0.0414258188824663,1.206807271546,6,0.289280723447892,0.21864781632391,0.278350448121181,0.392899702691987,-0.0658936426636619,-0.067854126024401,1.75005808011462,3,0.361966743079073,0.184656830750038,0.475605115109891,0.822147766967453,-0.261658119439729,-0.227422463456135,3.01951748427154,0,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Egypt","Egypt2013",18,0.712174199179261,0.763095543544479,0.90373497560843,1.02424721087229,0.153099457794679,0.278667956367165,0.209747117527371,28,0.997543118782995,0.989224033141513,0.956001072741894,0.919471810253954,0.373123160469473,0.80108345256517,0.600042824019547,9,0.594379220384087,0.494167367699619,0.47331882040685,0.771396396396397,-0.183489415679772,-0.072611475589754,1.2033735448574,5,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Estonia","Estonia2013",NA,NA,NA,NA,NA,NA,NA,NA,5,0.789408007050117,0.732447671387407,0.900067553595285,0.916286561535705,0.201407324346064,0.102426064562419,0.429639493678741,2,0.312263102669255,0.312263102669255,0.220557467373415,0.311915361642145,-0.0444369687584072,-0.0458699061238449,1.45189551717418,1,"2013","Europe and Central Asia","Estonia","High income"
"Ethiopia","Ethiopia2011",2,0.105702620777049,0.105702620777049,0.0891355722408942,0.126056735152959,0.027012157532777,0.027012157532777,0.7,1,0.540941547401935,0.540941547401935,NA,0,0,0,1,3,0.311057358438525,0.182199143664025,0.284137552042147,0.522611974008826,-0.0592720622435829,-0.0592720622435829,1.71428571428571,0,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Fyrom","Fyrom2013",2,0.858276501771578,0.858276501771578,0.732928728211473,1.03651774768953,-0.0246926819580625,-0.0246789939926079,1.04862940524833,4,1.33061455291172,0.991906735415939,0.68097043416794,1.25185508172761,-0.154108698689136,-0.10758282031876,1.10271607902098,1,4.58715596330275,4.58715596330275,NA,0,0,0,1,0,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
"Ghana","Ghana2013",1,2.28524115090044,2.28524115090044,NA,0,0,0,1,2,0.245722404800717,0.245722404800717,0.241786232704401,0.341937369485661,0.147113506605121,0.157471156999975,1,3,1.19634577224672,0.828008065355085,0.908781274672225,1.56186168660636,-0.407069495360171,-0.33691453442436,1.15197004229247,0,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Guatemala","Guatemala2010",NA,NA,NA,NA,NA,NA,NA,NA,1,0.101050929668553,0.101050929668553,NA,0,0,0,1,3,0.409087755776602,0.353356890459364,0.181268024455823,0.338219895287958,-0.0661280871751859,-0.0614575817561776,1.66666666666667,4,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Guyana","Guyana2010",1,5.87653922293664,5.87653922293664,NA,0,0,0,1,5,0.749941289568805,0.761176974717897,0.560973960796265,0.724035391945828,-0.151983253185796,-0.151000146925253,1,3,0.584401021225609,0.664577986234993,0.173775491543084,0.315093070195111,-0.0332944804711576,-0.034955386478208,3.33333333333333,0,"2010","Latin America and Caribbean","Guyana","Lower middle income"
"Honduras","Honduras2010",NA,NA,NA,NA,NA,NA,NA,NA,1,0.0194564680012117,0.0194564680012117,NA,0,0,0,1,1,0.75187969924812,0.75187969924812,NA,0,0,0,1,9,"2010","Latin America and Caribbean","Honduras","Lower middle income"
"India","India2014",13,1.70237562717523,1.62024996823867,0.574400216906188,0.598234642694287,-0.192951951173473,0.0986655619925654,0.305822461048217,59,1.69491975493678,1.82813316716694,1.10505065071815,1.29363803399173,0.234041534828918,0.295852100611228,2.11984473310097,37,1.89890016819969,1.83272291644447,1.12807570695617,1.82273296165662,0.470799706080786,1.12962627723461,3.66544279647397,3,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,17,0.44940537248267,0.28025975865379,0.468237788584902,0.46808706244685,0.351691406854326,0.433456147512647,0.148594402631094,6,0.150713610576024,1.10643158171447,1.51062365007494,2.68350290697674,0.178528705042807,0.294759123421376,1,1,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",2,0.27445782361992,0.27445782361992,0.242731636733926,0.343274372686137,0.0294229441294254,0.0295926183350118,0.857155383364475,2,0.122736726236627,0.122736726236627,0.22679138021647,0.320731445731446,-0.0172829120384661,-0.0200457153582154,1.18875035369811,3,0.203005030805636,0.215712503480348,0.121499504723233,0.17722270176953,-0.0206472633701173,-0.0390808549072954,9,1,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Jordan","Jordan2013",2,1.60751859548671,1.60751859548671,0.0796497762461902,0.112641793807345,0.00655666156457766,0.00889277319531668,0.926040061633282,1,0.408163265306123,0.408163265306123,NA,0,0,0,1,1,0.378787878787879,0.378787878787879,NA,0,0,0,1,2,"2013","Middle East and North Africa","Jordan","Upper middle income"
"Laos","Laos2012",1,0.0526535729210196,0.0526535729210196,NA,0,0,0,1,5,0.129200349728448,0.174266569773883,0.58183982057579,0.268400278445502,-0.00992711659219511,0.0485022086672958,9.73816921848823,4,-0.386841302781601,-0.246648779104897,0.894363152958695,1.39861663308099,-0.0116276568926495,-0.0262197942877737,1.01579761003784,3,"2012","East Asia and Pacific","Lao PDR","Lower middle income"
"Lithuania","Lithuania2013",2,0.114629428389271,0.114629428389271,0.0986691118340137,0.13953919614297,0.00465283046774022,0.00465130653809899,0.933665755805024,1,0.794613496364226,0.794613496364226,Inf,0,0,0,1,4,1.03934447426757,0.7859124719836,0.9212830409714,1.95184078250238,-0.139033438770444,-0.137975978989145,NA,3,"2013","Europe and Central Asia","Lithuania","High income"
"Madagascar","Madagascar2013",6,0.565105490690173,0.523089538276157,0.901702161608563,0.919949106517701,-0.0837845790658427,-0.069898020690235,1,3,0.212301137837983,0.184919232624709,0.265086507502034,0.249925380559148,-0.034971021824535,-0.0751435705114799,4.38971707292404,15,0.667800980898882,0.465068595313145,0.854453369277287,0.528132847102172,0.865564802316378,0.686639502479176,1.00254290994757,4,"2013","Sub-Saharan Africa","Madagascar","Low income"
"Mexico","Mexico2010",NA,NA,NA,NA,NA,NA,NA,NA,1,0.50561797752809,0.50561797752809,NA,0,0,0,1,1,1.10803324099723,1.10803324099723,NA,0,0,0,1,4,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Mongolia","Mongolia2013",1,0.342465753424658,0.342465753424658,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,6,1.3008178004744,1.15117557796436,0.625520595653375,1.08571183189717,-0.152597204734719,-0.0901799909498652,0.970714925328445,0,"2013","East Asia and Pacific","Mongolia","Upper middle income"
"Myanmar","Myanmar2014",1,-3.33262486716259,-3.33262486716259,NA,0,0,0,1,3,0.450925929731134,0.421565002107039,0.260653700310526,0.399290596830743,-0.0500588126845138,-0.0115468780164798,1.39119448134142,5,1.47044381362572,0.152623864067451,2.1065192384467,3.68744713777604,2.04112065021773,2.35046235065718,0.228568478529382,0,"2014","East Asia and Pacific","Myanmar","Lower middle income"
"Nepal","Nepal2013",1,1.72413793103448,1.72413793103448,NA,0,0,0,1,7,0.851845628607389,0.807502943631598,0.491503157328084,0.572496975001931,-0.167949377223632,-0.0457141535757584,0.733129816438723,5,1.35236331666,1.23826405043584,0.854473648187461,1.29090909090909,0.0447105552250539,0.00326030590330132,1.1271857125299,0,"2013","South Asia","Nepal","Low income"
