"countryOnly","country","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","outliersOut","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",8,1.06495430803157,0.942550428560011,0.697321645173334,1.32007185786794,-0.578035882731408,-0.405357347465777,0.801041088220112,1,6.01398601398601,6.01398601398601,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",8,1.44255687594472,0.696951313097136,1.61091032856298,2.56582215598609,1.63262184134142,1.85501575142654,0.297291786087592,3,0.877712910964768,0.197368421052632,1.31396583440773,2.34891868337364,0.0424274983816407,0.0424274983816407,1,0,15,2.03895926065483,2.33085873541486,1.51680567604262,1.7911714770798,0.0396922858228213,0.503079599248884,0.909365599501404,"2013","South Asia","Bangladesh","Lower middle income"
"China","China2012",4,0.28689530091807,0.267139297593887,0.309903492646925,0.319438082149947,0.234897235767064,0.14142556579483,0.387427284063058,1,0.441176470588235,0.441176470588235,NA,0,0,0,1,1,10,0.894501713729437,0.692669126085375,0.516148538298531,0.496755664291033,0.0472078847820418,-0.0422304657048907,1.02611116405813,"2012","East Asia and Pacific","China","Upper middle income"
"Egypt","Egypt2013",24,0.736342198342855,0.473483163756546,0.943600759105459,1.22195909793508,0.00623504095242974,0.155497910523478,2.67489292070931,12,3.55386134729552,3.18915934555737,3.1365869496445,5.35656247479919,-1.10029373290673,-0.433896373018323,1.13217745948194,3,24,0.350715962900337,0.0282600933291036,1.67009474843782,2.50373382011284,1.19857604413992,0.159705893621006,4.38602168884877,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Guatemala","Guatemala2010",4,0.70633700831939,0.675618430877243,0.165122890257078,0.169293757892459,0.0617717439492616,0.0372974529269874,0.513669772595695,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1.14047784985436,1.14047784985436,NA,0,0,0,1,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"India","India2014",46,1.53269254081172,1.29875379176719,1.05051908815324,0.983479607640682,0.0346242307493699,0.536561834989985,1.06192958453171,26,1.83668867529305,1.5687631175679,1.18807221944718,1.61792622338298,0.0718575993787913,-0.0947079424988811,0.422296080124325,7,52,1.71302035757948,1.49685851993504,1.00405285237012,1.35561005518087,-0.0410734043841855,-0.130614845332322,0.918894226890707,"2014","South Asia","India","Lower middle income"
"Jamaica","Jamaica2010",3,1.722444728692,1.11344177979132,1.3200203980075,2.48100039964381,0.17790154851344,0.203532530086147,0.76762841931903,1,1.62689804772234,1.62689804772234,NA,0,0,0,1,0,1,1.04808877928483,1.04808877928483,NA,0,0,0,1,"2010","Latin America and Caribbean","Jamaica","Upper middle income"
"Lebanon","Lebanon2013",6,1.00553213949368,0.719446955101039,0.954230728821559,2.17063608217616,0.78679629972673,0.800793232035392,1.04251299400444,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Lebanon","Upper middle income"
"Mexico","Mexico2010",3,1.367456616242,1.42476290948399,0.570607579974644,0.472810649402822,-0.0774565871144697,0.169638868853315,1.79161492607643,1,0.207612456747405,0.207612456747405,NA,0,0,0,1,0,2,1.10378860537011,1.10378860537011,1.00127894966657,1.41602227033715,0.73027776476931,0.67830437425241,0.47128682656047,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Myanmar","Myanmar2014",1,0.420168067226891,0.420168067226891,Inf,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1.01515002079646,0.992375838215153,0.22658006098464,0.199705644160396,0.0890954040805794,0.049024467671861,0.723140461177874,"2014","East Asia and Pacific","Myanmar","Lower middle income"
