"countryOnly","country","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","outliersOut","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",17,0.473410169485372,0.409024469853612,0.317638081667504,0.39629829075171,0.0519080586790373,-0.145138273642579,0.487253356092211,17,0.473410169485372,0.409024469853612,0.317638081667504,0.39629829075171,0.0519080586790373,-0.145138273642579,0.487253356092211,-17,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",10,0.888015530855356,0.636215488277845,0.90106490639586,0.674530462666056,-0.0859899920959184,-0.0947613502471805,1.3412371252985,10,0.888015530855356,0.636215488277845,0.90106490639586,0.674530462666056,-0.0859899920959184,-0.0947613502471805,1.3412371252985,-6,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Bangladesh","Bangladesh2013",51,0.628063774411694,0.348450740540837,0.614324923816174,0.89840178299299,0.10787815484157,0.150792208924919,1.71022060741922,51,0.628063774411694,0.348450740540837,0.614324923816174,0.89840178299299,0.10787815484157,0.150792208924919,1.71022060741922,-99,51,0.628063774411694,0.348450740540837,0.614324923816174,0.89840178299299,0.10787815484157,0.150792208924919,1.71022060741922,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",4,0.77466704967415,0.803185391796746,0.272040468026232,0.474854457459494,0.0192143151874612,-0.0218029077043705,1,4,0.77466704967415,0.803185391796746,0.272040468026232,0.474854457459494,0.0192143151874612,-0.0218029077043705,1,-3,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",6,1.24624195064272,0.560798172661941,1.57517667379926,3.19357256628877,-0.350408085963206,-0.153726600714013,1.83389134163727,6,1.24624195064272,0.560798172661941,1.57517667379926,3.19357256628877,-0.350408085963206,-0.153726600714013,1.83389134163727,-10,6,1.24624195064272,0.560798172661941,1.57517667379926,3.19357256628877,-0.350408085963206,-0.153726600714013,1.83389134163727,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",7,0.520462966103034,0.531888139301776,0.26473444711773,0.354443752200883,0.0564655596549185,0.0574889034922741,0.8,7,0.520462966103034,0.531888139301776,0.26473444711773,0.354443752200883,0.0564655596549185,0.0574889034922741,0.8,-7,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",11,0.582797219863624,0.353476623622736,0.703411318420064,0.720753345856683,0.0599078008006014,0.0748775780361299,0.76,NA,NA,NA,NA,NA,NA,NA,NA,-10,11,0.582797219863624,0.353476623622736,0.703411318420064,0.720753345856683,0.0599078008006014,0.0748775780361299,0.76,"2015","South Asia","Bhutan","Lower middle income"
"Botswana","Botswana2010",9,0.566566825264186,0.485568152034109,0.323038464940868,0.480769620831132,0.141206048822131,0.104686036821865,0.331427523131984,9,0.566566825264186,0.485568152034109,0.323038464940868,0.480769620831132,0.141206048822131,0.104686036821865,0.331427523131984,-9,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Burundi","Burundi2014",11,1.01236226965104,1.07233827070048,0.659849216911045,1.28548306815577,0.200722746564506,0.209722185801216,0.420221804092873,11,1.01236226965104,1.07233827070048,0.659849216911045,1.28548306815577,0.200722746564506,0.209722185801216,0.420221804092873,-22,11,1.01236226965104,1.07233827070048,0.659849216911045,1.28548306815577,0.200722746564506,0.209722185801216,0.420221804092873,"2014","Sub-Saharan Africa","Burundi","Low income"
"Cameroon","Cameroon2009",8,0.635857730235439,0.745532661357019,0.381397691710292,0.655468458983903,-0.132281795788808,-0.133190070543425,0.975263987409869,8,0.635857730235439,0.745532661357019,0.381397691710292,0.655468458983903,-0.132281795788808,-0.133190070543425,0.975263987409869,-5,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",24,1.08464833635809,0.991763688757333,0.852030256952557,0.663825390675449,0.201488899711221,0.0712523418485721,0.154436029089674,24,1.08464833635809,0.991763688757333,0.852030256952557,0.663825390675449,0.201488899711221,0.0712523418485721,0.154436029089674,-24,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",22,0.983533864628268,0.514943786424888,0.982783790700666,1.53079710144928,-0.463752185313205,-0.476801547539432,2.95327960170873,22,0.983533864628268,0.514943786424888,0.982783790700666,1.53079710144928,-0.463752185313205,-0.476801547539432,2.95327960170873,-43,22,0.983533864628268,0.514943786424888,0.982783790700666,1.53079710144928,-0.463752185313205,-0.476801547539432,2.95327960170873,"2012","East Asia and Pacific","China","Upper middle income"
