"countryOnly","country","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","outliersOut","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",4,2.07656998856643,1.35998821327618,2.02237735661811,4.07370201966797,-0.203679534050907,-0.120828864484358,1.33381796243679,2,0.278106249976221,0.278106249976221,0.316788723605853,0.448006909330259,-0.0344620699484815,-0.0344620699484815,1.18181818181818,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",4,0.0862879746442524,0.0746126360026239,0.0834888674648905,0.100881774578317,-0.0288979498380727,-0.0288979498380728,0.96875,2,0.0455103572866537,0.0455103572866537,0.0579684694016668,0.081979795617847,-0.0072899267962372,-0.00723351137804533,1.19300163710801,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",6,1.15488305679307,1.00833143830414,0.451229830399862,0.333250743310208,-0.00247198598347306,-0.00493955625618725,0.950343776874444,2,0.841269841269841,0.841269841269841,0.381613183497502,0.53968253968254,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Bangladesh","Bangladesh2013",23,0.612437311140343,0.543377070642684,0.454892409987169,0.53050024625343,0.35489752058654,0.410092170772028,0.606347735116205,45,1.14148996734154,0.72881458792083,1.19564505016803,1.39829728485964,-0.0420179343393099,-0.31154322765585,0.705543503102109,10,8,1.0994072194673,0.745996813615043,1.1051560517958,0.916156982670744,0.249813087081232,0.0806219622121597,0.330885824034753,"2013","South Asia","Bangladesh","Lower middle income"
"Belize","Belize2010",2,0.602778052529713,0.602778052529713,0.194887044676012,0.275611901711627,0.0153117723173126,0.0153117723173126,0.9,10,1.20823258623432,0.8962578010279,0.80992708086817,0.834386852085967,0.0359287514969311,0.01335537169994,0.8,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",3,0.354485874644005,0.374476215970322,0.197660403637593,0.171871239607125,-0.155545737636742,-0.135279240940252,1,6,0.627394871812073,0.653160419473222,0.355978354885475,0.71198797844718,0.13371695294228,0.14224686131802,0.942846666339922,0,1,0.503018108651912,0.503018108651912,NA,0,0,0,1,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",6,0.876224722036735,0.794912939633004,0.674221430351163,0.975300999448698,-0.283085712791335,-0.279260765004551,6.98172352154522,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Botswana","Botswana2010",4,0.278487353990643,0.283868772468274,0.203172924172433,0.328395191902151,0.135324114079985,0.155489980602867,0.251959868477259,1,0.940364988756271,0.940364988756271,Inf,0,-1.70484978982845e-32,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",42,0.525286912474705,0.438380692428082,0.581026809472239,0.888936263381694,0.116570436325378,0.0178272536528163,0.825038981265386,92,0.69960920490148,0.684740633199047,0.394459496017906,0.425120772946861,0.129489133089798,0.120973365098055,0.789335902842049,10,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",3,1.32683752331272,1.64830197010137,0.950565808509968,1.86441798941799,0.355108062304476,0.386187269520603,0.416024206061219,3,1.02239633576439,0.783194979775128,0.691578755373496,1.37535014005602,0.324095351929721,0.360899950066089,0.534327231005597,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"China","China2012",5,0.387938017895639,0.376541765447067,0.117941606194354,0.168257211799743,0.056313087018163,0.0322657657819497,0.340228340281421,4,0.379678746074195,0.331787644344277,0.728121419571433,0.574186431329288,1.31853096207027,1.07219379575645,0.0803625159601419,2,3,0.55078501246107,0.252903081296433,0.793892559034751,1.31318351159716,0.205313417958206,0.112649688688676,0.716071313867856,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",3,2.03171624038069,2.37585371930437,0.870124301148616,1.34810580955044,-0.555836174947431,-0.535806092691719,0.9893920126905,5,0.59907973565005,0.36124144145415,0.515083255236627,0.558508457802595,0.171864699533322,0.209262483271968,0.540083506749134,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",1,0.431748800697776,0.431748800697776,NA,0,0,0,1,8,0.473484081023889,0.366599182584301,0.693906317205137,0.726354772920094,0.172820590298661,0.140002878646149,3.20916833311425,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
