"countryOnly","country","N_0 to 10","mean_0 to 10","median_0 to 10","sd_0 to 10","iqr_0 to 10","OPcov_0 to 10","OPcovNoWeights_0 to 10","indAlloc_0 to 10","N_more than 20","mean_more than 20","median_more than 20","sd_more than 20","iqr_more than 20","OPcov_more than 20","OPcovNoWeights_more than 20","indAlloc_more than 20","N_11 to 20","mean_11 to 20","median_11 to 20","sd_11 to 20","iqr_11 to 20","OPcov_11 to 20","OPcovNoWeights_11 to 20","indAlloc_11 to 20","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",12,5569.37223007015,4171.77002956598,9194.39970948511,7373.13200697112,-331.560545365253,-612.851016041062,1.14972604271497,3,-3702.67212633514,2995.11165785739,20529.2216387591,30738.0057583648,3926.88469692737,5770.54021941168,1.84187783947501,9,55035.5819702274,38766.9288102336,55806.7509938743,116309.778046493,-24582.8048684369,-12257.6864824645,0.250825274217981,1,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",6,38078.8531046031,27174.0500165471,43210.563605921,74731.6597930572,10732.9809630789,11619.9310727778,1,12,21594.5705263496,15317.6133121551,24680.2337927094,32354.6027939942,-5706.8967897347,-4428.32356961582,0.814449195403231,16,12509.3593401483,7832.11764161364,11049.5715901034,17229.5328611464,-3436.32810280219,-2600.53338315811,0.835793224272423,1,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",5,4029163.72592611,1011362.27482967,5617617.65360747,10061419.361345,-2242759.35056909,-2643648.89104647,1.25,23,32323.0635981848,3274.81816969776,63797.3503718655,25445.322692979,2008.37670255994,2407.22151622019,0.148853016715757,60,54167.7589377534,4407.82076136808,120435.611646598,55906.4771025004,-23150.0395685287,-24374.423624899,0.234151677139665,19,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",2,34738.7566137566,34738.7566137566,14100.0459343746,19940.4761904762,-664.68253968254,-664.68253968254,0.9375,15,26631.5102165107,23366.7128679872,18661.3556778302,18055.5555555555,189.335933890823,147.316905546049,0.825210094598044,13,16137.2944252393,12742.5044784594,9832.50606241558,9592.59259259259,942.723353983611,1055.91074085597,1,1,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",9,18294.4562696225,17877.6611989785,6010.23142720599,3580.95194898752,-789.921792955518,-1.90240619851937,0.76368598943004,411,32224.2894361803,24642.0652403743,27336.6928345671,27748.5271186867,19115.5998475601,10455.695811091,1.52229912998699,102,31378.1621798306,22437.9123474835,32247.427610919,15197.0980131871,14343.3636539854,18431.8727795208,0.732600491410322,37,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",3,11100.3481801342,3986.48844774995,17691.8533563488,29719.80175288,9392.49373688315,6540.18944445436,2.53929320504226,23,9524.03577177171,7301.15488531756,10873.5229081985,10461.5483100686,142.619443488673,-1071.62448307053,1.9047619047619,31,5668.7642104263,4531.92216286992,4965.6217685614,4384.54251786766,-1933.19890952204,-1251.66323949368,0.263193929939528,7,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",2,21986.2186697116,21986.2186697116,23037.8850822618,32580.4895317274,-2101.96706656306,-2101.96706656306,0.885714285714286,19,9725.15468730019,5889.52184250314,8130.57588140066,4830.78976782265,-905.000502029293,-413.129767800089,1.19538906973703,24,9569.18026894652,6636.18382911357,9176.5433994645,9097.53152802428,1790.4281957284,1984.470584189,0.907575529795346,3,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",3,15633.5614071463,15247.619047619,4158.20571665887,5523.80952380952,-2277.91287158146,-2314.96021980025,0.162264150943396,16,42517.1217217662,27326.8571428571,33249.1139717086,50809.7014925373,-2721.07162542708,-4755.81441045059,1.07058823529412,13,66718.0555555555,31630,76144.6682638524,76037.5,44347.7913121939,37295.6532356532,0.353365384615385,2,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",130,3057.32558426756,2263.85895571743,2221.50555146396,3428.79668519206,-10.9230613646688,-330.263824767439,1.32381289908516,527,2857.94864287639,2022.57715672514,2553.31977126127,2856.30808556324,-536.405389676485,20.4355383832487,0.0824411248179219,351,2868.90373687496,2073.6276333156,2471.43043490189,2342.0276953339,508.042260912316,4.0060665316182,0.51111529850469,97,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",4,27395.6097881113,22208.0578859938,25648.3018990857,36100,9651.12452302614,2513.97915168943,3.70136161234825,17,26415.7401512826,30439.9462139606,14881.4374528434,20012.5,-9656.78944431075,-8213.46621391037,0.478765899717985,13,23698.8131760632,22416.6666666667,8283.84529055066,12125,1568.51168220851,1318.48465978466,1.1537386161135,5,"2010","Latin America and Caribbean","Barbados","High income"
