"countryOnly","country","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",19,27869.8739627792,25869.3916664445,15489.6035346103,21014.7964028078,11036.1026857626,11170.8622492036,2.16403553293981,49,26356.296012277,17692.2130994217,27779.5030445569,21859.2717239613,-3699.00226715651,-2331.72134489846,0.869670110801927,1,8363.03289147317,8363.03289147317,NA,0,0,0,1,26,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",70,3580.74716712818,2469.55737557354,2727.75543925243,3615.77328805607,442.017622108205,101.932920429119,1.52808929966864,83,2844.91108322757,2149.71826687076,2124.68280106021,2516.0260689332,-487.170331871749,-272.129716053541,1.0914697600792,18,2272.91146080005,1753.81068875841,2182.27632080618,2336.75501734604,-535.607181178937,-589.292035157279,0.122480932591915,21,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",5,4531.05764300862,4129.89723971794,1182.24128967866,2220.87586180182,-252.601708740756,209.019108112515,1.06566305159119,1,6782.14906482657,6782.14906482657,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,6,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Brazil","Brazil2009",44,14452.0512168413,8469.03271293807,16122.0309579646,15318.8652363835,-979.924086444658,5368.72855742824,2.43599646830132,94,22205.5974768579,17113.6030281283,21164.1528338032,29638.9356458858,9643.28616398242,6796.905324835,1.22491539178768,NA,NA,NA,NA,NA,NA,NA,NA,24,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",6,6167.36511332131,5922.84357099862,2635.40942487428,5457.09347335543,871.439745572263,186.613273220281,1.33755900054273,5,6393.81719241859,6586.56570298633,4472.77772878074,3667.08132437986,-235.784214443892,-93.7570021928004,1.21646762427001,1,4129.15323388617,4129.15323388617,NA,0,0,0,1,5,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Cameroon","Cameroon2009",3,3805.50963991373,3872.66088175786,918.354183201076,966.330196087891,38.9810651951486,254.753692621793,0.995314175020262,2,9891.10842741201,9891.10842741201,4408.4418492422,6234.47825213145,-1069.3870741158,-1039.07970868858,0.703131175618111,NA,NA,NA,NA,NA,NA,NA,NA,9,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",1,35374.2533250928,35374.2533250928,NA,0,0,0,1,33,19730.1686803316,21547.4545368684,14353.7816156027,17404.0095327403,-758.438068977903,-533.349581638819,1.97847479167657,NA,NA,NA,NA,NA,NA,NA,NA,17,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",65,19850.4883905204,15707.1252458097,14039.4906453864,14823.9936949365,-619.355484764501,-1819.05316540239,0.845276015634683,22,18733.4007670699,16749.4412038326,10141.9227809283,11692.9645615359,2195.54617900384,4461.3473388481,0.939436591418739,11,19267.9697922744,7662.70059463699,16927.5787724711,19336.4187493936,-4171.51679089871,1002.81269822634,0.200035107094607,29,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",28,8701.5405694284,11552.8726897011,5596.98533738806,9318.35746267891,1273.39956884789,233.32133295595,2.11895467487751,53,15653.7813864065,16715.1980187757,8902.37462533985,7611.20266330034,-1632.57568740156,-1692.75069802527,3.4460155786172,1,21075.5563378647,21075.5563378647,NA,0,0,0,1,32,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",NA,NA,NA,NA,NA,NA,NA,NA,5,6305.22765638393,5369.67815843151,6483.43691614443,11137.1544819798,3044.6528133824,3476.40332671499,1.38610651104008,NA,NA,NA,NA,NA,NA,NA,NA,3,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",9,936.270629018623,968.387523754168,164.570280479447,2.67942337490274,18.6868791535294,10.8515228999237,4.43575203481064,6,1627.00360603066,1572.79524004274,861.852731467489,94.9281424251269,129.094142304887,363.954157813699,1.25673669193555,10,1966.37295468339,1918.4760305647,993.035595360958,1840.27084465723,126.484246535815,323.203137963612,1,16,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Dominicanrepublic","Dominicanrepublic2010",3,4522.76394541361,6331.5668701461,2747.47085355679,4431.5611505534,-501.17188687886,-593.568495931562,0.805494407633459,4,22927.5050484771,20912.5968484977,20222.9104220115,32366.7728041818,-10040.5824416325,-4987.15313269416,0.606604102003257,NA,NA,NA,NA,NA,NA,NA,NA,4,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Drc","Drc2013",11,1456.84431948177,638.398570628868,2040.57344439446,1397.24820993791,-55.2422663113521,-51.4075329367442,0.779015946722544,4,8343.54801574578,611.640678145384,15724.3767270995,7939.44674195138,4703.72972004327,4703.72972004327,0.928571428571429,17,448.605353400778,268.413321475548,511.066368756636,345.978426188784,-25.621157115541,-21.9949904272571,0.915883079049829,8,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Ecuador","Ecuador2010",1,9500,9500,NA,0,0,0,1,1,13063.7495621716,13063.7495621716,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"2010","Latin America and Caribbean","Ecuador","Upper middle income"
"Egypt","Egypt2013",42,6045.34155168313,2247.96870401039,8494.25589512156,13060.9621002105,1432.59621814327,2286.20592493458,3.89971936523564,50,15859.2806614289,13656.7093291796,12091.945462986,23393.1026969425,-828.335247789391,-1421.45878300588,1.65427907504825,35,3882.80263551604,3152.05480400233,2333.35390457189,3255.72533176527,-704.164803287033,-800.060901683724,0.266866487170023,79,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Elsalvador","Elsalvador2010",1,3130.0202247191,3130.0202247191,Inf,0,0,0,1,13,10658.4159387194,7039.68178717813,10181.357070055,11067.7692307692,-4615.07603156694,-5412.79431734178,7.30757235047224,1,17098.5555555556,17098.5555555556,NA,0,0,0,1,6,"2010","Latin America and Caribbean","El Salvador","Lower middle income"
"Estonia","Estonia2013",1,12866.6251506071,12866.6251506071,NA,0,0,0,1,1,8073.17656508678,8073.17656508678,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,5,"2013","Europe and Central Asia","Estonia","High income"
"Fyrom","Fyrom2013",6,3438.05464440342,2912.59978400357,2718.87286004294,1961.79163454499,483.550708759815,-428.323029026532,1.21513876098088,2,7671.47624531561,7671.47624531561,612.737115460703,866.541138853895,438.022999724101,349.303404809322,3.21960518894529,1,5512.89260532847,5512.89260532847,NA,0,0,0,1,4,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
"Ghana","Ghana2013",3,4711.2429266219,4504.39562674507,3168.3587689462,3273.80094782526,381.446104707025,472.448149446567,1,5,3257.74896117903,1235.03280352745,4636.46205566972,3939.57885794634,-1905.28610014645,-1492.9990740565,1.02376255900437,2,20714.9534367111,20714.9534367111,25648.8903275199,36273.0085609987,-6045.50142683313,-6045.50142683312,0.75,15,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Guatemala","Guatemala2010",4,8123.81491278559,3774.66762943152,13518.2686043687,10653.6065199582,-2525.88114076961,-6801.03904791523,13.5238531044982,15,4925.38608643642,4840.12567475662,4380.46852295721,5521.82327582268,1896.06472461123,878.907299855389,0.557824700447085,2,7163.37107515198,7163.37107515198,5278.76774928773,7465.3049436604,1916.76748553443,1916.76748553443,2.05555555555556,23,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Honduras","Honduras2010",1,2370.98507020339,2370.98507020339,NA,0,0,0,1,4,2642.38082889215,9057.02183811323,23728.9090169253,20520.5908762942,-18904.9556645785,-18904.9556645785,0.183333333333333,NA,NA,NA,NA,NA,NA,NA,NA,6,"2010","Latin America and Caribbean","Honduras","Lower middle income"
"India","India2014",92,11173.4348183636,5583.87413441598,12805.9285694029,12110.213468957,-48.0907157917054,-573.940424375752,1.23312330481619,67,8480.77185140042,7137.18057118781,5946.16550831977,7710.23222508996,3345.04683483435,2651.4587202205,1.67013503552343,36,8137.71898749289,4912.18167520312,8567.29906491229,9592.823919241,-2969.580780983,-1757.37038466403,1.01156308266781,52,"2014","South Asia","India","Lower middle income"
