"countryOnly","country","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","outliersOut","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",8,36065.95103778,18720.6634982038,37425.418095247,40415.2782788876,47053.3833800592,45091.2148859142,2.66309047156535,1,1541.73458104796,1541.73458104796,Inf,0,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",8,2486.20886255357,1700.87796776592,1222.01065561895,2195.16702102874,-289.278401835905,-306.95710357002,1.11111111111111,3,4038.69400841517,3837.88115017677,2663.47076436058,5315.57415885739,-238.686685378302,-238.686685378302,0.769230769230769,5,13,1188.21818627997,771.512959934987,1096.40322411063,994.296173357123,-672.75777510053,-1180.35003777012,0.0525567289714894,"2013","South Asia","Bangladesh","Lower middle income"
"China","China2012",4,61864.8876521411,58338.7414421515,19834.908241647,31015.8576553316,-12472.3586683013,-5708.50031284111,0.387427284063058,1,27163.3616518273,27163.3616518273,NA,0,0,0,1,4,8,13430.5111359919,10811.9210256475,6983.32405259183,7502.38067681443,-1082.41742178249,427.359853110445,3.11859229167331,"2012","East Asia and Pacific","China","Upper middle income"
"Egypt","Egypt2013",26,30915.1549167201,6270.79851473629,34206.412131974,58869.5640637033,7313.6383508068,5222.95041119397,3.04264427151546,10,12705.6182044863,13810.8931519267,4668.18502327858,3540.29957571347,133.130582525808,5102.42714922973,0.726143047521977,17,23,8416.57064940397,9088.41064085858,10823.4789328245,15813.1094203762,8024.48847676476,4305.63234746469,4.4,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Guatemala","Guatemala2010",3,4498.02393687198,3231.51681660197,3585.97188032444,6826.60588304595,256.400805929763,-261.39672902034,8.41839307427309,NA,NA,NA,NA,NA,NA,NA,NA,4,1,27425.6546176119,27425.6546176119,NA,0,0,0,1,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"India","India2014",46,6282.52368801556,5067.84122818102,5014.67399242431,6585.29597567155,272.740914045554,-81.4726252827922,0.927997079759486,26,4821.98720209236,3856.68538651482,5049.23870187856,4491.13480376006,1973.45010911551,3927.72527728888,1.18015838637558,51,52,4678.40168022963,3500.67949310778,3687.91825880643,3570.66223660637,132.976977969878,-130.811452544647,0.68027926294081,"2014","South Asia","India","Lower middle income"
"Jamaica","Jamaica2010",3,22874.5636852716,16864.3750366146,15935.0149682005,28765.67100029,-1972.72887199943,-1868.77682828261,0.959535524148788,1,17483.156665964,17483.156665964,NA,0,0,0,1,1,1,5272.57764713858,5272.57764713858,NA,0,0,0,NA,"2010","Latin America and Caribbean","Jamaica","Upper middle income"
"Lebanon","Lebanon2013",6,33664.9973122148,25141.0577220938,23144.1323096002,29226.4386911005,-8615.29298496407,-8885.77038241433,0.163823470486412,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Lebanon","Upper middle income"
"Mexico","Mexico2010",3,32444.571684331,32430.3060768983,7861.38733464576,10599.9211465944,-2757.04524515441,-699.67616632132,0.478572917325561,1,7128.68698342457,7128.68698342457,NA,0,0,0,1,0,2,38821.8035878114,38821.8035878114,54686.9525209951,77339.0299400449,39885.6537055701,37047.0178384131,21.9933852394886,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Myanmar","Myanmar2014",1,4415.2513517562,4415.2513517562,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,5,9124.07800754427,7321.68235607996,6737.39981010254,4997.32247113731,2165.16008029173,2189.60848212673,0.907599367504621,"2014","East Asia and Pacific","Myanmar","Lower middle income"
