"countryOnly","country","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",29,24363.0621482454,27636.0043990338,9489.8138686333,6386.15932522666,-506.388958906323,1975.75302099625,0.355127209504663,1,-5845.51900812547,-5845.51900812547,NA,0,0,0,1,1,16096.5715349973,16096.5715349973,NA,0,0,0,1,21,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",15,3899.20266403064,1948.09790434238,4478.49002457639,5944.37291726196,-643.724652983677,-987.907955476019,1.00128898618433,3,16774.9444293527,20855.1872707242,8577.34400098417,14182.1590484017,1888.72238073251,1801.93072039606,0.988784094286564,17,2431.45209143669,1751.76916118876,1658.01266248661,2934.63245492026,-739.733148773171,-550.9405358235,1.49700737765792,6,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",2,23074.0232805234,23074.0232805234,7729.04664906089,10930.5225953162,2790.89094089493,2784.18971767489,2.03352094811613,1,12549.755339218,12549.755339218,NA,0,0,0,1,2,12764.8315827666,12764.8315827666,19530.6756112125,27620.5463316861,-8818.81282794368,-13076.9843251788,0.676374006221915,5,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bih","Bih2013",2,64564.8628898449,64564.8628898449,8541.61038639323,12079.6612529442,2047.32342532152,2095.45144183726,1.56199659273964,NA,NA,NA,NA,NA,NA,NA,NA,6,50817.1311535841,32840.3377488286,41177.2726879282,57874.4896487191,28447.3165249738,59925.220640326,0.90438237208061,2,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Brazil","Brazil2009",4,20866.282228992,22950.3983821787,10316.7776309141,12142.3157075287,2888.4451805575,2994.39604232867,1.5680730236255,NA,NA,NA,NA,NA,NA,NA,NA,1,31082.2189954384,31082.2189954384,Inf,0,-4.29640822421525e-28,0,1,32,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",NA,NA,NA,NA,NA,NA,NA,NA,1,8815.74215434698,8815.74215434698,NA,0,0,0,1,1,17262.154491663,17262.154491663,NA,0,0,0,1,5,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Cameroon","Cameroon2009",3,11306.7813548029,8323.2686034544,16490.3424498849,11146.12316465,2861.62004046591,4776.67846338319,0.949699220731065,NA,NA,NA,NA,NA,NA,NA,NA,1,20012.1316053059,20012.1316053059,NA,0,0,0,1,1,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",55,34145.355522966,25533.8786897458,24299.8196320685,24655.7678659884,11998.2741649888,11270.0806272112,2.87914465680415,NA,NA,NA,NA,NA,NA,NA,NA,15,43228.7943718653,39741.6361938122,34906.6129279994,72718.425510512,15524.0629150235,23207.6300904625,2.84693070529155,15,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",29,27914.6684098036,22020.2986920144,15984.2642136469,28794.4948882728,-5837.67589305115,2831.35720661113,0.292863014423435,8,16826.969411048,15355.8869180218,10381.3925999557,19648.4978124891,-4642.66757182192,-3799.97436417304,0.382573583094553,82,18144.10689163,14931.3034522035,10854.7549792408,13391.9367555516,7723.996372798,6136.34308181437,0.736706914637615,27,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",32,25704.4973474084,17166.8018164125,21486.4566501329,26038.6616620546,11961.0479078325,11169.4127110824,2.74294089669746,2,8996.46174476576,8996.46174476576,13815.0141967514,19537.3804414226,-1953.73804414226,-1953.73804414226,0.833333333333333,13,22211.0795428021,16412.9980585374,12520.7639703753,17193.3700059756,2381.3682447499,-3460.34465826715,0.887559789428436,9,"2010","Latin America and Caribbean","Colombia","Upper middle income"
