"countryOnly","country","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","outliersOut","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",3,34997.7930113928,37715.6929414521,6624.05502182648,9611.30993295617,3675.24653445217,2458.75480824346,5.55555555555556,1,6341.45419584971,6341.45419584971,NA,0,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",10,2485.53516704882,1637.42212332986,1841.32421519504,3194.02608879843,2137.70496816931,1717.77097870352,0.560185017769819,8,3202.95885189919,1689.76939383109,3975.44650898727,3132.08134040961,7444.09629995705,6739.20862693462,0.857142857142857,3,2,10684.2194154842,10684.2194154842,8644.41872353264,12225.0541976518,-3773.09501209888,-3889.78997198011,0.628719970309273,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",56,56962.1348972023,75183.9082582587,41468.3910536796,68120.8354471786,14610.9100311274,28072.3180708549,17.7313904470496,1,18853.9879832412,18853.9879832412,NA,0,0,0,1,50,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"China","China2012",23,26194.204844817,19612.7485041464,18291.4605271548,29889.0400547698,5468.89879599167,-7432.83996189883,2.31498360389097,58,23871.1694305734,18610.9305500197,15142.5447585999,21720.7027914428,-1237.052374264,383.866794310723,0.20364391388095,33,13,17664.2564809121,15975.804427324,13500.6615454453,14166.6061556011,5694.30112070844,6335.99944920768,1.38870129926967,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",3,17642.4755686758,20191.2005510566,6585.84775959662,12794.281389466,-4586.23407904697,-4339.11773139737,0.282615100678756,1,12705.1906095043,12705.1906095043,NA,1.81898940354586e-12,0,0,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",5,17293.5274904406,16256.1578317241,10419.3168989873,15760.2525216649,-2234.61948140654,-1918.76559930698,0.539867419047725,NA,NA,NA,NA,NA,NA,NA,NA,12,3,12053.7933447246,13645.9345644881,13014.1744217171,23283.2022144736,6799.56562618582,5707.99119726833,1.15277777512868,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",179,9855.89230398545,7186.496190999,8671.8646847676,8360.9454476118,-467.098026503798,-927.435055256803,1.1475737260156,122,12746.5163879941,7851.43268472976,11787.3927231798,16012.7832604315,-1119.23935612727,533.94449968803,1.20330459468367,151,98,10014.0138416609,7944.39152986389,8353.18643955196,8939.97895807043,3284.19504807995,2632.19803651907,0.53404193687882,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",2,35414.6963590798,35414.6963590798,30014.4878884806,42446.8958395723,3070.98468984758,3745.31433878579,1.29102002044733,3,19383.1045672272,19382.0202902352,4467.28840546129,5769.2179539236,-121.151028659988,-297.764341313607,1.01019658472351,1,NA,NA,NA,NA,NA,NA,NA,NA,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Kenya","Kenya2013",8,13411.323637127,12672.9049577043,7625.0053312643,7324.90942615975,2657.24224315287,3532.51172434677,0.610090778809656,3,5474.0887123472,2230.94041350274,7364.86273550497,13623.9485292276,2433.74454936662,2270.6580882046,1.77555058898927,3,1,5810.63103589657,5810.63103589657,NA,0,0,0,1,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Peru","Peru2010",2,10262.1962956877,10262.1962956877,3441.59568157124,4867.15128908272,1576.3667516016,1548.63904652632,2.69936690876645,1,32095.3232184315,32095.3232184315,Inf,0,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",6,10210.7171817072,6500.38315294111,25465.5875013692,33174.1483289465,5882.52802129574,8597.18762928304,1.10411398365514,2,21380.1897249124,21380.1897249124,5478.91725931413,7748.35909524206,-3031.07530404848,-3256.21225781645,0.579939564688738,4,NA,NA,NA,NA,NA,NA,NA,NA,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Russia","Russia2012",1,15847.0811982317,15847.0811982317,NA,0,0,0,1,4,4308.32483241957,3114.83087047182,2854.42569066209,5156.11043678535,-46.2493618698757,-563.204822472607,1.85038495325028,9,NA,NA,NA,NA,NA,NA,NA,NA,"2012","Europe and Central Asia","Russian Federation","High income"
