"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",NA,NA,NA,NA,NA,NA,NA,NA,1,49,0.59015632286276,0.62502918251939,0.676449967590547,1.02846844844955,0.231173175877525,0.11269676831803,1.405424736374,10,0.671609598195482,0.519569780793714,0.619604473072928,0.768211456998481,-0.137334105619281,-0.0670858345201257,0.597822247789026,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,3,78,-1.58754513864957,-1.73839903153321,0.949522406556826,1.01765445163044,0.171455866600475,0.119944228276509,2.1195116594527,24,-1.65849170933086,-1.75304922541118,0.657941417630099,0.664549812722884,-0.214609355168348,-0.176217884240859,3.01622030488335,4,-2.30543693729809,-2.34912531817114,0.625126006323789,0.924713934635475,-0.102910621062255,-0.134989406741459,0.948008276394187,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,0,76,3.12105236586156,3.67724508365404,1.18305696129873,1.29021730067873,-0.366537099685924,0.345528876661699,0.550426900671926,29,1.75472810772221,1.86232109688364,0.970727759179633,1.13947643093123,0.274630844236769,0.196003527439005,2.75988196904801,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,0,56,-3.67508958589298,-3.8434216958354,0.867321130457066,1.0525125401896,0.427198483181274,0.287742971929027,1.79518932297653,7,-3.75761488129671,-3.86127676377296,0.632963510423509,1.23118275181911,-0.0656584405251576,0.187544898180366,0.632545309170818,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",NA,NA,NA,NA,NA,NA,NA,NA,3,29,1.04883353937087,0.92677242159302,0.747910431388472,0.900301317051669,0.446491794527108,0.194730832943573,0.449891350907909,62,1.08672293046461,1.05811480791611,0.721999105583186,0.649340329823142,-0.033323882811268,0.223013418088719,3.47037007973571,4,0.374489606793583,0.360952660027552,0.105859439316023,0.125751979005248,-0.00511166411422301,0.0227881074697263,1.72913136439715,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,26,-3.91446150371399,-2.92967354163787,1.3113198057158,2.07472694177808,0.668035954530361,1.3768116838568,3.8986965953254,2,-4.44852811228257,-4.44852811228257,0.307269958675164,0.434545342868237,-0.138862133672981,-0.171872411731467,NA,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,1,25,1.04902927752073,1.23057987549072,0.738503130536497,0.800213526290349,0.381921829925575,0.649386244875902,0.962718266657819,36,2.03518723392612,1.58671132649986,1.99643543971556,2.77706805355677,-0.120322971124384,0.314153246720852,0.895001311241703,41,0.987193056253889,0.824701996587343,0.950326412572069,1.70103969283639,0.131434997451686,0.265299443193469,1.27019849871956,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,0,79,-1.23743767679245,-1.1276336902441,0.863647503143317,1.28484096137676,0.0812312190422241,0.20295980605499,3.28109205426195,72,-1.03451141827628,-1.22861691969906,1.09288574207758,1.2729243085562,0.000586817040239471,-0.0283079447041607,1.12,25,-1.01886713134528,-0.827070937348425,0.668046023399592,1.02814228349953,-0.288679510444673,0.0463103695737549,0.398924648132821,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,4,38,-6.08389902065299,-6.18877979889175,0.579086542408177,0.6281707774484,0.501853177903026,0.272493634381393,1.03418768134277,16,-5.8500087886746,-6.12948902042871,1.00497114497824,1.4242862967935,0.434610807827252,0.263268829935423,0.624648631831884,NA,NA,NA,NA,NA,NA,NA,NA,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",NA,NA,NA,NA,NA,NA,NA,NA,0,10,-3.9384353840364,-3.86732583865302,0.420611703963826,0.528561369250749,-0.0871016963043114,-0.0874868084265577,0.405698246820051,22,-3.82592633522182,-3.91063857532611,0.426763302563059,0.518577285791212,-0.0171506975408128,-0.0145387516039741,0.590909090909091,2,-3.88265877211249,-3.88265877211249,0.559407880715838,0.791122211806728,0.0440788879660011,0.0439512339892627,1.11626793409457,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Jordan","Jordan2013",NA,NA,NA,NA,NA,NA,NA,NA,2,18,3.42210533756125,3.21848604509684,0.963524245696845,1.72330613762184,-0.252982288639208,-0.0986479334963909,1.8674603253908,3,2.17042056190463,2.10302433214373,0.434044428994593,0.260857037656864,0.0936711223717046,0.082772587319875,1.38240917782027,6,2.64870107226281,2.6185268425802,0.456183808994171,0.689339179250325,0.162642039248857,0.166095000591863,3,"2013","Middle East and North Africa","Jordan","Upper middle income"
"Kenya","Kenya2013",NA,NA,NA,NA,NA,NA,NA,NA,0,13,-0.825031229646335,-0.770509235154074,1.43277792095014,1.3055303675357,1.29115873144131,1.27646173066958,0.853936642617617,3,0.783457227048411,0.268700965344492,1.37179536111258,2.52493353382338,1.49428405983434,1.34515491105367,1.50103234628235,3,-2.60993041996759,-1.93572485438596,1.18611999220515,2.05623665534626,-0.237269292947247,-0.241282629153044,0.741720590198298,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Mexico","Mexico2010",NA,NA,NA,NA,NA,NA,NA,NA,0,99,0.425761178217804,0.310775413120633,0.841522293198741,1.13404515098734,0.552762884799335,0.512278626348464,3.83564358404689,22,-0.121146933455209,-0.256147329283424,0.574281710937055,0.827954505104726,0.591320883054683,0.460575476794569,2.2602190677921,7,0.268317970365652,0.292317233679867,0.823645021460006,1.29607234047566,-0.0104818307809244,0.0627306535230661,0.520899740393263,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Peru","Peru2010",NA,NA,NA,NA,NA,NA,NA,NA,1,37,1.41999058774515,1.44056793626572,0.660446544255024,0.702537777030145,0.284504818516616,0.243427513326954,2.5023595536786,34,1.55476102288536,1.5611275212449,0.646711927066856,0.861881322007713,0.485336986343973,0.427010195868905,1.81608822235617,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",NA,NA,NA,NA,NA,NA,NA,NA,0,33,0.242680925049157,0.584160457756685,1.0751888964262,1.44541568615922,0.0309199305696692,0.258092096467233,0.733333333333333,9,0.0225291233506849,0.0312598018663015,1.63865959797733,2.25728276654248,1.13820195564163,1.54820528046993,10.9217430387934,2,-1.13329843817244,-1.13329843817244,0.141780349326137,0.200507692895018,-0.0699888520670009,-0.0694065090790446,0.585904735835039,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Turkey","Turkey2013",NA,NA,NA,NA,NA,NA,NA,NA,0,8,2.73920943864548,2.4913330771964,0.710841163915251,1.0523357719611,0.392775991297829,0.412152789408517,1.02714137414304,9,2.36874949089598,2.61254049256825,0.570192786043183,0.870499470239814,0.0777145486424051,0.11434682649435,2.02962363286522,3,0.724375071723578,0.623839793165795,0.619428523020232,0.439036744644307,0.0196891213869893,0.0261195712709356,1,"2013","Europe and Central Asia","Turkey","Upper middle income"
