"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_more than 20","mean_more than 20","median_more than 20","sd_more than 20","iqr_more than 20","OPcov_more than 20","OPcovNoWeights_more than 20","indAlloc_more than 20","N_11 to 20","mean_11 to 20","median_11 to 20","sd_11 to 20","iqr_11 to 20","OPcov_11 to 20","OPcovNoWeights_11 to 20","indAlloc_11 to 20","N_0 to 10","mean_0 to 10","median_0 to 10","sd_0 to 10","iqr_0 to 10","OPcov_0 to 10","OPcovNoWeights_0 to 10","indAlloc_0 to 10","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",NA,NA,NA,NA,NA,NA,NA,NA,1,30,1.49612238069599,1.45361115739289,0.418267489146688,0.519534128228862,-0.0614376656590722,-0.0461913450373769,0.368111048511529,7,0.90216762710353,1.230031961845,0.796167750544339,1.53979804396441,0.510970541039388,0.344532121496758,0.967931071136227,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,3,63,0.96818447269867,0.957937748482384,0.279327639750619,0.389217821706607,-0.00878341356006073,0.0305581763573825,0.870245928134294,58,0.908162896476772,0.845771052013724,0.292062519706313,0.279324328137537,0.0242800436056621,0.0097494744282992,1.71408066055354,23,1.11327994993503,1.02672111349463,0.368260661720651,0.616102897784611,0.14865340407539,-0.130653911907551,1.77647144858882,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,6,83,1.20459608866468,1.21534313067273,0.427447418289091,0.447372219983276,-0.156614655711514,-0.167994181992782,0.775947439171451,33,1.49745877205334,1.33346153139627,0.69015064287863,0.967871233551401,-0.386929075348175,-0.382349449131663,2.15864293559791,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,1,46,1.65772514296025,1.56727304602536,0.463054318833964,0.523853027422351,-0.0655531161157847,-0.0664899492657137,1.32750388652284,5,1.344736626076,1.21509470664987,0.770956392922395,0.384502276818012,0.305750004753117,0.332328382651667,0.828721147751122,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",NA,NA,NA,NA,NA,NA,NA,NA,5,23,1.28764001799552,1.25914130398359,0.466456989865293,0.518199508524972,-0.0258659237126967,0.0215118436410819,0.450855485474218,84,1.26453448712335,1.2723249094711,0.353634616973308,0.349104264952722,0.093494204263575,0.0463386763090476,0.637193125588935,15,1.16515752042711,1.19730138471427,0.221342215125048,0.272308509244962,-0.0228045315953841,-0.00945225324286338,0.772739648167658,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",NA,NA,NA,NA,NA,NA,NA,NA,1,27,1.03589163601868,1.05363318311933,0.283273755737579,0.423099458083339,0.0198304383839789,0.0757054192101483,0.283723085717131,17,1.06958212834568,0.850786671922398,0.422081800388816,0.529470778724388,0.00687079008562524,0.0150870648984826,0.672087827553258,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,18,84,1.01548725033332,0.974505474721821,0.349990809971202,0.424165938057529,-0.00595041065835456,-0.117677280383209,1.64031446369224,35,1.55768712042492,1.55774164493001,0.590337326708499,0.863875706187736,-0.0347034658219564,0.301547029554227,1.1361221736919,22,1.2016579133381,1.27544484979634,0.127085780742242,0.159380986122866,0.0404621231953871,0.312630845077028,2.22739154820485,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Guatemala","Guatemala2010",NA,NA,NA,NA,NA,NA,NA,NA,1,28,1.04416917851811,0.971999557687421,0.358881086356677,0.401808334912001,-0.109105472919949,-0.0760976802951688,1.39044741339981,7,1.15851818321519,1.07869988552241,0.476999861325223,0.389825849705851,-0.0663384163612146,-0.058613212050041,1.13102598999455,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,1,131,1.31226915692234,1.11729429426241,0.581911317983077,0.802437425673452,-0.0918891328511784,-0.123185625687219,1.08958859171913,64,1.36685212341734,1.31786702763123,0.436358119600791,0.691693560732844,-0.00626483907467105,-0.0415558391321999,1.64063242278061,43,1.24136295026738,1.24166947941863,0.384053165638641,0.545669672706309,-0.0675601188242618,-0.0358720116273878,1.9160908061674,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,5,45,1.03161683413015,0.825899696820426,0.627200475500904,0.609088488128439,0.0475869258093818,0.194424546765233,0.502836846695777,49,0.899220311884444,0.872652224497776,0.371338566896455,0.322722618386919,0.0969827072194799,0.346899095026815,1.03597565198317,2,0.821374142638098,0.821374142638098,0.121226224485626,0.171439770782857,-0.00779586204778277,-0.00779271685376625,0.916276786167794,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Kenya","Kenya2013",NA,NA,NA,NA,NA,NA,NA,NA,3,20,1.98146279901535,1.95775324672098,0.879972526708234,0.769170410903566,0.102504556148935,0.178940859224583,0.135892508748246,2,1.00066100061048,1.00066100061048,0.109370176304807,0.154672786649394,-0.0361979203828622,-0.0386681966623485,0.703477389468119,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Madagascar","Madagascar2013",NA,NA,NA,NA,NA,NA,NA,NA,0,5,-0.0589708734751744,-0.112028348610089,0.375664912288746,0.21150863998475,-0.0216733730428681,0.00458276343670828,1.03361792874701,12,-0.451298436038704,-0.612653471390704,0.628485940538728,0.79581631383801,-0.101545364607721,-0.156901745412259,16.564242295348,15,-0.195557926009943,-0.159273854517055,0.642264045041887,0.728790461082433,0.201142191571754,0.170309851555196,0.394586865136115,"2013","Sub-Saharan Africa","Madagascar","Low income"
