"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","yearOnly","region","countryDes","incomeLevel"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,1,17,2.54463581188566,2.61936321257034,0.903146787943889,1.49272865966084,0.60084203808635,0.538647622139701,0.669388694571336,22,1.78389365458043,1.74874851369045,0.444282533220188,0.416433285016991,-0.0403001144122462,-0.0357572399424033,1.33738076274801,2,1.43185334989297,1.43185334989297,0.414225345032186,0.585803100823192,0.232420959983907,0.20354175537077,2.65792888094412,"2013","South Asia","Bangladesh","Lower middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,0,4,6.70488849069152,6.64333902482656,0.377164762254018,0.276575627708009,-0.120506233073774,-0.13392590225949,0.736625179946508,NA,NA,NA,NA,NA,NA,NA,NA,13,7.21524028947959,6.7906907970906,2.22477696764798,2.01761182429845,1.07597481358284,1.43588404395936,5.68998123168823,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",NA,NA,NA,NA,NA,NA,NA,NA,3,79,2.27367582359116,2.03172694585338,0.716572436518624,0.795253045549408,0.185462680402363,0.225397806253485,0.434603705064196,15,2.43973704504219,2.15476777205577,0.859501909140651,1.4081913690706,0.22804339517845,0.262817343347996,1.10451465911402,31,2.0275026933213,1.96501426169667,0.743267008028613,0.964860336320326,0.0208945790246395,-0.174152870604991,1.73197783968517,"2012","East Asia and Pacific","China","Upper middle income"
"Costarica","Costarica2010",NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,1.74164233406855,1.66657708203777,0.804445242431847,1.07661455138856,1.20566542878105,1.38599763907238,1.75959735962258,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,1,42,2.46011806549405,2.15908443315336,1.06030506464496,1.80703928672093,-0.144376296420673,-0.292113814644428,1.7969274240394,49,1.93799394614636,1.8107374992017,1.0287277190756,1.39647167453113,0.560643650021776,0.672448590563285,1.06458018617691,73,2.31392219957958,2.13007997815891,1.02800089208825,0.931032760193549,-0.184362247623895,-0.126049146991359,0.583984502925965,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,2,84,2.73021400706884,2.44393916919579,1.05277466112022,1.40204070495914,0.109817545168893,0.00884137694125416,1.21428571428571,45,2.44736083724386,2.4040018280044,0.396682181947491,0.372375238838927,-0.0774926915250692,0.112373858813489,1.37016278072678,83,2.3611539700736,2.27192122838645,0.76258058110477,0.919332752415194,0.234769405996489,0.652750892415627,1.24627939878321,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,2,46,1.45667593425909,1.4092859413929,0.495694511793956,0.823385855576944,0.360974623284129,1.48055689976989,0.906755015849927,2,2.4828303347909,2.4828303347909,1.41578624686524,2.00222411173813,0.063367682804729,0.0770086196822357,1.11586782884686,47,1.51580606334798,1.44557850554721,0.545450659648015,0.843008649075195,0.223683843465633,0.496941077848936,0.678998501756034,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",NA,NA,NA,NA,NA,NA,NA,NA,1,87,2.34073215430366,2.25992906255988,0.796460783795807,1.09483397671984,-0.0576104187538823,-0.0964316391247684,0.79161634104901,30,2.30906461624957,2.04426599016594,0.851158816921559,0.943473685068028,-0.138231368609243,-0.170332101661911,0.957894620061846,19,1.80556001812591,1.82267797446318,0.550541500915337,0.52252727313137,0.0923388232024,-0.0717858673872101,1.02630581578579,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Nigeria","Nigeria2014",NA,NA,NA,NA,NA,NA,NA,NA,6,28,2.67574743510245,2.20071378271449,1.48975500405959,1.87897986084299,-0.423175437953296,-0.575834637173525,1.57708333602915,8,2.1690184302072,2.02048438682445,0.943835371391054,1.35787076129979,-0.0582163678313429,-0.0103459560494774,0.652361781914372,15,1.45062769516984,1.29670110470429,0.353118155705602,0.102080691379991,0.21323012068395,0.0299945110984805,1.83891760135291,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Pakistan","Pakistan2013",NA,NA,NA,NA,NA,NA,NA,NA,0,9,3.20819364082152,3.11769021902523,1.52343289922197,2.06601680292453,-0.364297595193595,0.00779283703303728,0.549029845310222,NA,NA,NA,NA,NA,NA,NA,NA,9,2.54460245360421,2.55605539686311,2.19265336940988,3.59895085046229,0.415764011403867,0.563811602181644,1.22810575022886,"2013","South Asia","Pakistan","Lower middle income"
"Peru","Peru2010",NA,NA,NA,NA,NA,NA,NA,NA,0,6,2.42611946157962,2.44854287112145,0.338718808045687,0.276158280733355,0.0546484380597203,-0.0345776067420233,1.43964942678035,NA,NA,NA,NA,NA,NA,NA,NA,9,2.24233843240723,1.99383383227489,0.812026609713405,1.60672720125161,0.316842956640173,0.264448746534283,0.517002593740494,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",NA,NA,NA,NA,NA,NA,NA,NA,1,21,2.61759358233103,2.25040189154231,1.422675122297,2.70089173616145,-0.349379219606818,-0.903092394956335,2.06961352999279,NA,NA,NA,NA,NA,NA,NA,NA,39,2.30945096517742,2.20985364181213,1.03520503340141,1.45485187342757,0.32637206627802,0.284284019146116,5.61021769029581,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Russia","Russia2012",NA,NA,NA,NA,NA,NA,NA,NA,1,15,4.96583954846574,4.69699860825207,0.835363264332751,1.29105103911182,0.394850136110228,0.2823703737654,1.57700808654243,5,4.84623319023968,5.39085950443257,1.30204715103662,2.34680024867942,0.00822713989953672,0.00404196386431914,0.968248387732688,3,5.84337523528677,5.77152147881036,0.387420760683819,0.581566752934897,-0.00266454097007126,-0.0204265070168698,0.619901588347793,"2012","Europe and Central Asia","Russian Federation","High income"
"SriLanka","SriLanka2011",NA,NA,NA,NA,NA,NA,NA,NA,5,5,1.94149763791349,1.35979817198984,1.14685401885182,1.92051068179327,-0.317954334584486,-0.366423929982829,0.825418925627766,NA,NA,NA,NA,NA,NA,NA,NA,11,1.60382262459651,1.73836288092889,0.430455768184554,0.353845951297604,-0.241499490520507,-0.398897467233923,0.19837340494899,"2011","South Asia","Sri Lanka","Lower middle income"
"Turkey","Turkey2013",NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,6,1.9712565496471,2.04261202974305,0.753016680822129,0.844895709213997,0.0114941229773558,0.0205601153955716,1,29,1.78337908475417,1.59033547979628,0.671843977891372,0.775012216363882,0.303865656035098,0.450489519114788,1.29661841237093,"2013","Europe and Central Asia","Turkey","Upper middle income"
"Ukraine","Ukraine2013",NA,NA,NA,NA,NA,NA,NA,NA,5,22,2.148506192643,2.33216797827097,0.976611082061146,1.39064018756879,-0.105000139440972,-0.124619051832376,0.712644749091523,4,1.25517922370659,1.30797054967043,0.121311551154752,0.180221330447498,0.0452039777179028,0.0890503826359003,1.27233075089667,2,0.998618255276638,0.998618255276638,0,0,0,0,NA,"2013","Europe and Central Asia","Ukraine","Lower middle income"
"Vietnam","Vietnam2009",NA,NA,NA,NA,NA,NA,NA,NA,2,57,2.83099065431664,3.05785387547921,0.946646667052053,0.959592603440452,-0.097114531713061,0.217946020614327,1.35729780034342,7,1.67591431750935,1.68532684105864,0.364910903362023,0.33930100401842,-0.0742707381657884,-0.0158607310769005,1.46001703625327,26,2.05991215435587,1.9295446325908,0.733179772627821,1.1150778933066,0.512357145312403,0.416657572969025,7.60898847791186,"2009","East Asia and Pacific","Vietnam","Lower middle income"
"West Bank And Gaza","West Bank And Gaza2013",NA,NA,NA,NA,NA,NA,NA,NA,1,13,2.0615356740036,1.65842122277128,1.00327733090269,1.82426883608352,0.0340398413301167,-0.155066341792352,1.08962704651571,4,2.77251072053095,2.01648807244819,2.17749789037903,4.17355357099057,0.407407427725771,0.308247738742229,1,5,2.2642271586918,2.22531389965383,0.26056916894709,0.33532009425732,0.0373587553698959,-0.00891502455465173,1.56695881010057,"2013",NA,NA,NA
"Yemen","Yemen2013",NA,NA,NA,NA,NA,NA,NA,NA,1,7,2.00465547495114,2.13882958794662,1.33467138557383,1.70839294898174,0.27838384922139,0.470742344949558,1.36808124417359,2,2.1122385223429,2.1122385223429,0.388742130523285,0.549764393251841,0.121325274547263,0.173609808395318,3.34995421554288,16,2.72833609188878,2.73003462035883,0.935524051180805,1.64255276179029,-0.138491042913491,-0.150325520670481,0.92387138682489,"2013","Middle East and North Africa","Yemen, Rep.","Lower middle income"
"Zambia","Zambia2013",NA,NA,NA,NA,NA,NA,NA,NA,2,9,2.55564988671983,2.42034818929751,0.854514497719097,1.22723722123081,0.0452066612210923,0.0223941303345586,1.01221944344023,3,2.81595964871134,2.62053414845125,0.471088366986118,0.903185581464239,0.217064229817677,0.227723892927861,1,2,2.89415078233399,2.89415078233399,0.150216614108002,0.212438372965302,0.0869066071221689,0.0869066071221689,5.5,"2013","Sub-Saharan Africa","Zambia","Lower middle income"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
