"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_more than 20","mean_more than 20","median_more than 20","sd_more than 20","iqr_more than 20","OPcov_more than 20","OPcovNoWeights_more than 20","indAlloc_more than 20","N_11 to 20","mean_11 to 20","median_11 to 20","sd_11 to 20","iqr_11 to 20","OPcov_11 to 20","OPcovNoWeights_11 to 20","indAlloc_11 to 20","N_0 to 10","mean_0 to 10","median_0 to 10","sd_0 to 10","iqr_0 to 10","OPcov_0 to 10","OPcovNoWeights_0 to 10","indAlloc_0 to 10","yearOnly","region","countryDes","incomeLevel"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,1,50,3.09510560000128,2.9642454289922,0.952116352359107,1.34420274802244,0.548210963576792,0.457888734002575,1.10044092138538,29,2.58362857916009,2.42369213952801,0.897710931218607,0.796938335753769,1.15705223512191,1.20043689414795,0.47142578909707,8,2.58949470275776,2.49186706443719,0.396879834754856,0.585913338741829,0.0349418811830061,3.75764518150117e-05,2.31620076824327,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,3,93,2.34418011026019,2.33022263758582,0.59045771953437,0.81429639272182,0.366043114118399,0.446609547465611,1.56841781488446,43,2.38942909655032,2.27292189127799,0.831518680947126,0.786840789351573,0.820624286779037,0.810825293328757,0.823381580328414,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Drc","Drc2013",NA,NA,NA,NA,NA,NA,NA,NA,7,4,0.446761084318084,0.459358922242505,0.114027980424782,0.199805933862331,0.0382759884041407,0.0371471843792946,1.39757390253988,13,0.457142461191825,0.411691828007861,0.705173101532196,0.618690896932529,0.363971601153,0.351872518515131,1,10,0.0101025169532818,0.0337263976227966,0.391130124196699,0.306533262797153,-0.0559005517380623,-0.0662434092171344,0.468193397625717,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,0,32,2.03987602325182,2.1777751582204,0.903029616643371,0.913657015503565,0.0776498627744663,0.15777416217128,1.06698982142414,36,2.5297558797522,2.19120979538848,0.875895845083691,1.45281349984867,0.0384960570935215,-0.339051211551839,1.79062750564819,36,2.73836274782702,2.76316826201339,0.824551289942416,1.50585303110568,-0.116186249479631,0.0432554607911908,0.930561777019472,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ghana","Ghana2013",NA,NA,NA,NA,NA,NA,NA,NA,0,5,4.01010137072767,4.09195475356282,1.04313166299203,1.6492211293088,0.727365991119892,0.867756296933092,4.19487614776567,8,2.5702443819233,2.41029331450264,1.00879715026709,1.20525428620907,0.287569930553192,0.315022239952603,1.52804698485272,4,1.97112946621907,1.68242067774314,0.707971618439185,1.46607704336838,-0.0775665747600937,-0.0777857343382455,1.11271523959881,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,0,14,2.89460294949463,2.77010836687148,0.426160592280716,0.365272246350788,0.125207190233731,-0.0329222986449742,1.37114286425561,20,3.14430838752639,2.67210084290314,1.02134808559286,1.85321194185335,0.522357194899182,0.375928615581388,0.645388097700967,4,2.43872823263263,2.41257427128417,0.410369604227474,0.39264344542854,0.0363963873454981,0.114645740264969,0.934802283689121,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,1,8,2.41942600803763,2.36010046755259,0.421969848875966,0.361390580700288,0.661721304744248,0.480451187123364,0.937701575710091,9,2.16609701990197,1.92479385426651,0.787862020535975,0.871350915898137,0.342201472662378,0.58851447684657,1,NA,NA,NA,NA,NA,NA,NA,NA,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",NA,NA,NA,NA,NA,NA,NA,NA,0,11,2.9318510777618,2.85693643149882,0.547103120300152,0.581188472105108,0.00452857338767446,-0.0113450561256836,1.07359404634762,8,3.12146991434263,2.88175584273795,0.728826601380355,0.601286642111734,0.00948531646355871,0.00398394732487792,1.2,3,4.04531276870309,3.94539212214891,0.492090325469849,0.983461547758843,0.0603828382869444,0.0579059442972969,0.975709606539105,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Mexico","Mexico2010",NA,NA,NA,NA,NA,NA,NA,NA,37,56,2.60074023126503,2.64985100722827,0.599388984775244,0.47469883131212,0.331734286703437,0.341159784243877,2.6586238602786,8,2.19994762718998,2.19824089349986,0.0478876216915449,0,0.0067755760605421,0.0172973393183793,1,11,3.25678203063946,3.44084620820701,0.63629456764399,0.487677806720475,0.365764524544214,0.253909866073424,3.21343326871986,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Nepal","Nepal2013",NA,NA,NA,NA,NA,NA,NA,NA,3,8,1.00384125424706,0.900965899008764,0.438899704071567,0.269951610437124,0.116599359507273,0.0743800901728378,1.96977025380369,9,0.187619731686029,0.376094308872724,0.581113205131847,0.925544566379873,0.0914049724698584,0.454224892972463,1.2,6,0.581760561632457,0.794705013077249,0.32939273494397,0.5932540110955,0.0797805121015275,0.0506305443649128,1.6,"2013","South Asia","Nepal","Low income"
