"countryOnly","country","N","mean","median","sd","iqr","OPcov","OPcovNoWeights","indAlloc","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",13,24134.7760286755,16743.5382753652,17787.3751747851,20625.5543716397,1082.36299985515,-2837.35270637019,0.399298769261547,0,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",5,27569.123333842,2100.9771644792,44866.2122051036,26877.5007255875,-15488.370817885,-15488.370817885,0.14018691588785,1,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",8,41955.6233307886,37755.7085040108,21304.8000970522,24691.3580246913,3525.29866906181,3791.06493313321,NA,0,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",7,47805.1005543956,33766.1691256399,37767.2627628481,30803.8877332261,58210.7169538996,35411.47898957,0.980532281672622,0,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",7,19561.8284709052,17467.7574611452,10770.6358352576,17949.6103510396,-268.010996916328,361.296273456044,0.946541952646716,0,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",3,12256.9373891594,12256.9373891594,1.81031838066651e-12,0,-3.78698991306314e-13,-3.74118387963332e-13,1,2,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bangladesh","Bangladesh2013",85,5992.88719657814,3676.08514599842,5017.05840805903,6567.07482919049,2636.79222042289,2021.75276124035,0.655904182467771,3,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",7,44423.9909211952,39285.7142857143,24793.3098844171,26724.1379310345,1619.81806946945,-1032.77116780955,1.27909922674058,1,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",6,7053.00268312795,6749.75017044389,4070.21648440422,3840.0011949165,3295.27949358216,5696.67465564354,1.42213740153873,1,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",12,37844.4041389363,37904.6104119305,13711.0675069184,25000,200.937833882861,-655.414159284128,0.501083972591699,0,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",9,14950.1354704476,14915.8211956666,10915.8233627232,8406.41030077788,-1348.06704239564,-1555.23766648456,0.778090623019336,1,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",7,32728.0428246798,34789.6996385565,13324.7094616786,24280.8801952497,-856.682245044058,-489.300308325105,0.972868894450042,0,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Botswana","Botswana2010",6,14670.6067543278,15950.7482346534,8607.6001871016,18925.7946415852,1410.85522828553,1216.07591512574,3.54148806199282,2,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",153,24167.0004776261,17587.6753575012,25532.8295041645,31657.8156435021,8178.85870600299,16960.1261609317,1.40556375894774,8,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",6,14691.7938180525,16217.6789344949,6321.13955883878,8661.17200022134,1868.46497922289,2472.64348467684,2.95218434864081,0,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Burkinafaso","Burkinafaso2009",4,5772.34418478961,3487.47890474776,5109.71873162573,9628.05506245732,1095.42474474227,516.645084458222,1.16945245575459,1,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Chile","Chile2010",3,38363.5411734197,39548.2723144843,9090.91000126193,0,-2886.43202059108,-1589.7105444706,0.468964210080375,3,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",14,47133.4935712499,37449.4875714531,33582.4103222831,45803.6040297003,-5204.27006344885,-3782.88217953651,0.469793587058249,0,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",4,45876.0537712078,45103.7825632561,6047.01599419285,4639.82601343924,3914.92718134831,4656.40069810058,2.55707491645934,6,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",9,15263.3847622813,12119.772672122,10337.6320029826,8358.21965277457,301.162253338878,2252.09138083753,3.67939716827114,2,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Czech","Czech2013",5,49556.1445039177,43271.8145150338,29069.2403210754,58279.4738297574,6102.01946036684,5502.12607969577,1.17328518578592,0,"2013","Europe and Central Asia","Czech Republic","High income"
"Drc","Drc2013",44,1029.19672195192,549.196794273499,1322.37049499629,972.032999340417,-226.77872721514,-302.765039718326,0.363427834412025,6,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Ecuador","Ecuador2010",3,22346.8403854507,21868.5840771663,2738.84896326293,1767.67676767677,-1068.53742941713,-1467.7588207,0.195148886593531,2,"2010","Latin America and Caribbean","Ecuador","Upper middle income"
"Egypt","Egypt2013",115,13228.0100402684,8269.65047560687,11639.0254119742,13188.0578962629,-1560.52308643478,-2504.56643173821,3,6,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
