"countryOnly","country","N","mean","median","sd","iqr","OPcov","OPcovNoWeights","indAlloc","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",24,0.198124713924983,0.0533418034704946,0.400709976110981,0.391211840888067,0.0025308146461999,-0.00948951051743121,1.15014631877491,1,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",34,0.4506885383197,0.356534458035242,0.495853999083262,0.667309122534656,-0.0325464919293159,-0.0137743973573886,1.9567290305613,2,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",98,0.0468403885495563,0.00876365023490775,0.0746978614957642,0.0523537726463179,0.00403462137953923,0.00783200305273287,1.12925746435555,8,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",31,0.414212542344577,0.432566468876554,0.169186142576553,0.238675958188154,-0.0359015974030415,-0.0373296806033411,1,0,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",536,0.48758856896667,0.480591216108614,0.29384806120404,0.329442327826059,-0.0566654111475732,-0.0549338146007476,1.01088949488649,23,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",62,0.466702940000224,0.304618174120785,0.544535199652364,0.599872503253661,0.0222523682781572,-0.0525498321901052,0.210671192571204,1,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",48,0.577578234424474,0.635466413814175,0.250329445346967,0.351170468187275,-0.0395236991209331,-0.0366719556354125,1.14473170685968,0,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",34,0.496482161492226,0.468085244396543,0.293309794590974,0.440173204101784,-0.0743123212346499,-0.0809464500693225,0.333333333333333,0,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",1083,0.408137048551825,0.384743367828282,0.26384652498146,0.374493927125506,-0.0444779435303929,0.00847476185388045,0.526148944734707,20,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",38,0.465815131124489,0.50906966898651,0.185828013546739,0.272291593925918,0.0187483869877392,0.012805252634032,0.805399040824943,1,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",71,0.388840213726632,0.362158142616911,0.245282080919203,0.315540540540541,-0.171876980925628,-0.10907595993661,1.08002205250644,1,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",72,0.482918578971854,0.342780666249371,0.33211849729215,0.275059770694409,-0.123578431510913,-0.0663422569506917,2.4,0,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",69,0.626597325610348,0.557557733603072,0.549735477178328,0.573052538937348,-0.130973140974768,-0.13380676645843,1.47406604212734,2,"2015","South Asia","Bhutan","Lower middle income"
