"countryOnly","country","N","mean","median","sd","iqr","OPcov","OPcovNoWeights","indAlloc","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Angola","Angola2010",6,0.012124867846035,0.00127169112022602,0.0197467951486711,0.0263403806239201,-0.00647284019379595,-0.00643665676829126,1.02539820911475,1,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Bangladesh","Bangladesh2013",18,0.362718266791918,0.270659716318688,0.295231952387876,0.397223939019365,0.0127529474716415,-0.0201067573293109,1.44477898375992,0,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",10,0.644865407137696,0.737334887424796,0.200523351496775,0.30797667957898,-0.0269697725557121,0.0919608288514365,3.02136233583427,0,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bhutan","Bhutan2015",16,0.68206044501792,0.637728572318942,0.652982394014754,0.555232558139535,-0.0231452448554675,0.000554831439947265,1.18733041220937,0,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",17,0.452207361409083,0.355990635816629,0.461383979548127,0.661423113942777,0.115292721224631,0.0278620527524374,2.17934976732232,0,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Brazil","Brazil2009",5,-0.0503465180769437,-0.0495470170424542,0.109162344789787,0.122610722610723,-0.00160484956513772,0.0423996496227162,0.947838843555452,0,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Cameroon","Cameroon2009",9,0.232428515887797,0.179575427138394,0.21911613130754,0.415503129513722,-0.00416079459995574,0.03089828947501,0.44955400897302,0,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",16,0.312550738215768,0.340833203274531,0.154032881599343,0.219913417219108,-0.0363315154035852,-0.0605519088307254,1.42183074459176,2,"2010","Latin America and Caribbean","Chile","High income"
"Costarica","Costarica2010",10,0.778219355988994,0.831552729618599,0.210339305335815,0.174418604651163,-0.117405689811333,-0.0928742735665676,0.479280621386469,0,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",10,0.204490511951665,0.10780257461888,0.164026700160923,0.209194214876033,0.0690035189803854,0.0591989139404426,0.635385372745186,2,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
