"countryOnly","country","N","mean","median","sd","iqr","OPcov","OPcovNoWeights","indAlloc","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",10,0.452543994118896,0.447407718585511,0.176499389851721,0.356796273284972,-0.171124360806281,-0.0880415159442236,0.810094886441174,0,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",27,0.447016673998024,0.471292909443944,0.210554274891369,0.166666666666667,0.0120879990008564,0.0244507482320684,2.30070690551166,0,"2013","South Asia","Bangladesh","Lower middle income"
"China","China2012",16,0.34833720960686,0.342451350700365,0.166086918570248,0.233333333333333,0.0308948766243657,0.000989728722627918,0.902309453704648,0,"2012","East Asia and Pacific","China","Upper middle income"
"Egypt","Egypt2013",66,0.514616781661079,0.6,0.33522585651168,0.688819133509399,-0.0603066970025342,6.25118037992761e-05,1.07853912140648,1,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Guatemala","Guatemala2010",6,0.459409161373021,0.492963053410206,0.112647557777527,0.179854186769594,-0.0432654189516846,0.0045064627090104,1.73451326762292,0,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"India","India2014",164,0.568371256220113,0.557274358992693,0.169008067069318,0.198051724137931,0.00676083773976544,0.0209161429725864,1.80262614679157,1,"2014","South Asia","India","Lower middle income"
"Jamaica","Jamaica2010",6,0.530134443563073,0.506637168141593,0.126023790671035,0.114285714285714,0.00251369910161362,0.00394593990582873,0.63525683863806,0,"2010","Latin America and Caribbean","Jamaica","Upper middle income"
"Kenya","Kenya2013",5,0.176613154582169,0.200551722949626,0.110321285689443,0.197058823529412,-0.011809040641248,-0.00269360162130863,1.02921383718129,0,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Lebanon","Lebanon2013",6,0.379651504720342,0.400103136962621,0.206492363479787,0.445093771235357,0.113177622625012,0.124717378533682,1.04251299400444,0,"2013","Middle East and North Africa","Lebanon","Upper middle income"
"Mexico","Mexico2010",6,0.353626649338317,0.263212696503809,0.235911025945012,0.446618856102299,0.223673765178621,0.146909841095789,0.0757790039839849,0,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Myanmar","Myanmar2014",5,0.422855891952649,0.444475378027652,0.104229547977946,0.05,0.0235506129354526,0.00849785840262029,0.300458443581045,1,"2014","East Asia and Pacific","Myanmar","Lower middle income"
"Nigeria","Nigeria2014",5,0.176301593373772,0.190492710975637,0.143870065543633,0.280823333333333,0.0193525920168519,0.042160115942029,1.94975058759575,1,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Pakistan","Pakistan2013",10,0.228445404403954,0.230039984208131,0.146950525927456,0.308133333333333,-0.0473951221499605,-0.082495422326022,0.212819198218195,0,"2013","South Asia","Pakistan","Lower middle income"
"Peru","Peru2010",5,0.492231074784969,0.546832413454578,0.241561070516903,0.491289592760181,-0.0560317164672751,-0.0255786981138255,1.58237658962256,0,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",8,0.720215136688736,0.762297616465816,0.144493789476572,0.210405369104144,-0.0207320696152755,0.0136751839024827,1.23582487160851,0,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Russia","Russia2012",2,0.7,0.7,0,0,0,0,1,5,"2012","Europe and Central Asia","Russian Federation","High income"
"Serbia","Serbia2013",3,0.529633937147657,0.528123808487587,0.0542108160456025,0.0633348952709998,0.00819330008956435,-0.0482116914079611,0.685991886967055,2,"2013","Europe and Central Asia","Serbia","Upper middle income"
"Sweden","Sweden2014",7,0.368726144035403,0.404472993445206,0.272066320269216,0.587626262626263,0.0052099451187548,0.0214175103488819,2.06773001284745,0,"2014","Europe and Central Asia","Sweden","High income"
"Uruguay","Uruguay2010",5,0.605934459887202,0.608923075344916,0.128407264834368,0.0763052208835342,-0.0294317127584611,-0.0377772940427758,0.978566217183674,0,"2010","Latin America and Caribbean","Uruguay","High income"
"Vietnam","Vietnam2009",23,0.600877759087999,0.666666666666667,0.244781595225301,0.2125,-0.0129547589993345,-0.0307133002892234,0.903036637461559,0,"2009","East Asia and Pacific","Vietnam","Lower middle income"
