"countryOnly","country","N","mean","median","sd","iqr","OPcov","OPcovNoWeights","indAlloc","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Angola","Angola2010",5,2145558.30590425,15569.029526343,4592412.1365289,78632.85213953,-1619295.07377308,-1576746.03183616,0.507332232678323,2,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Argentina","Argentina2010",42,20476.5681231213,20227.6727036804,18097.8963768657,17488.9072605391,5433.03857815435,1327.47323395931,1.25,30,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",8,13638.0783514709,6880.76175612018,15486.5139567885,27706.5789555704,5186.11233866934,16884.6115519196,0.340379751703503,4,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Bangladesh","Bangladesh2013",28,2642.78660965886,2579.54891996194,2021.69207508893,2388.7443597438,1444.40372898274,1598.61876257455,3.03431163847094,3,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",8,37953.8545650647,15700.3625827091,55788.3375200858,54701.9236048307,-22664.876874439,-22189.5397472153,NA,5,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bhutan","Bhutan2015",5,5950.39921339708,7966.6482829139,4402.4948298253,8627.63885841985,520.356613825514,440.398205820705,1.58940058603593,1,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",11,58705.0963183577,60479.6916288151,42076.3963237057,52315.4046103132,15785.8183487469,30585.1953802724,1.83091527695784,8,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Botswana","Botswana2010",9,16645.5319490854,9863.90141898864,17334.2414502083,25960.3669268267,-2700.48266578384,-1769.42223060206,2.36972960564613,2,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",54,30547.2382088054,21469.3004554886,32087.7623244057,40793.5806716486,7576.02951879051,4212.40061587259,0.972807469392805,50,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",9,40826.310567857,18646.1806532904,48152.9703796116,45565.9908766459,-18153.8184785925,-15965.5050212902,2.32361548237995,1,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Cameroon","Cameroon2009",6,25888.7157701234,14541.1181048452,30561.3659508558,26495.907373178,-2291.64199283656,-6072.38477373677,1.24245218898443,5,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",117,20421.5824163145,18518.5810467777,12356.252014326,14154.7828129996,4324.27841863268,4585.85409144836,1.14042088930575,32,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",136,21394.4464389758,16586.2861735602,19144.9549662478,15358.0348530529,-3632.92498135051,-6102.47519575575,1.21547304441709,41,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",98,12193.6301864404,9442.60578172296,9763.20399376231,12380.7144291734,4952.13136465815,4380.67313719483,0.5565942563937,27,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",19,13175.4711669944,14614.8095465835,7481.70088185084,7723.08395529132,1159.43618481995,1195.25828602406,0.223900042753669,15,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",6,868.548523524046,928.480487217137,376.563940174402,250.079514990926,-298.033341244786,-138.98067936456,0.0606038761396593,1,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Croatia","Croatia2013",11,36325.9260418009,28977.0195296222,24052.1445540102,17330.4633926665,5531.92895632734,8587.75893113535,0.947368421052632,4,"2013","Europe and Central Asia","Croatia","High income"
"Czech","Czech2013",6,37934.2428356436,33964.1253869722,14853.8501031034,29117.8821121925,1895.75565556018,2064.77644458487,2.75047294779343,12,"2013","Europe and Central Asia","Czech Republic","High income"
"Dominicanrepublic","Dominicanrepublic2010",8,22790.9416098275,25146.5544109331,11105.5495790771,15205.1114930302,-9099.49491111809,-2534.52482515326,0.133529257143208,1,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Drc","Drc2013",23,7854.75345838665,818.553150110365,15816.9264827041,4229.88294896007,10958.726275877,10958.7055200935,0.349026504270333,7,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Ecuador","Ecuador2010",9,16578.6024699224,12544.995957469,12438.6830246383,11847.5982905983,11742.0665353609,22153.8541872578,0.965875279719368,3,"2010","Latin America and Caribbean","Ecuador","Upper middle income"
"Egypt","Egypt2013",67,6069.86633058523,5332.19621696701,5265.98055892297,6943.09381387777,-80.6935493487525,-1970.3336076887,3.77203735492241,24,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Elsalvador","Elsalvador2010",4,985.920238639232,707.713944545829,4863.84476283196,5194.28571428571,2515.91491418388,4309.11967418546,1.38968592212659,3,"2010","Latin America and Caribbean","El Salvador","Lower middle income"
"Estonia","Estonia2013",6,78774.9407604246,44357.5639528906,86914.2446666275,140631.032041694,-55550.2169793906,-58562.4490020337,0.116973503271631,4,"2013","Europe and Central Asia","Estonia","High income"
"Ethiopia","Ethiopia2011",1,12465.8836127438,12465.8836127438,Inf,0,-3.49875588683623e-28,0,1,16,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Fyrom","Fyrom2013",13,10432.3012378036,10041.139085478,6043.93469933989,9061.71998388545,1469.90358054875,559.989983788195,1,4,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
"Georgia","Georgia2013",5,20709.6763184251,10363.4982361518,24711.6507095726,31419.6683743034,-5816.25663407421,-6522.65470384859,0.75,4,"2013","Europe and Central Asia","Georgia","Lower middle income"
"Ghana","Ghana2013",40,3537.35590046083,2777.26825832569,3185.23879352198,4526.84605454006,653.020889246699,721.212509589253,1.06574793408691,30,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Guatemala","Guatemala2010",13,13847.4926400775,11652.3627958537,11300.1077192033,0,-472.258818065369,92.6326325041419,6.87784835032636,7,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Honduras","Honduras2010",2,898.645680626194,898.645680626194,285.909881835249,404.337632507898,0,0,1,13,"2010","Latin America and Caribbean","Honduras","Lower middle income"
"Hungary","Hungary2013",5,31810.8400467054,17925.2925973066,29531.2759215682,60444.6234282006,1758.34120944887,1357.66447029615,1.31238080398352,9,"2013","Europe and Central Asia","Hungary","High income"
"India","India2014",385,8710.01693846191,5686.89350672253,8329.64873859495,9191.12441762282,-550.172805815988,-150.110380586262,0.952268697356352,197,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",10,2431.55049158073,1741.59113776361,2404.25382220976,8.90712324825699,-1148.99814819056,-1057.64423446708,0.200597639597335,11,"2009","East Asia and Pacific","Indonesia","Lower middle income"
