"countryOnly","country","N","mean","median","sd","iqr","OPcov","OPcovNoWeights","indAlloc","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Bangladesh","Bangladesh2013",41,-2.56625863215143,-2.90249270287238,0.916687852450944,1.14250143680492,1.38930214636,1.08513969533758,1.0401016844573,0,"2013","South Asia","Bangladesh","Lower middle income"
"Chile","Chile2010",17,8.83373255468463,8.94574638314073,2.0241377119742,2.97297342322967,1.19067012328387,1.84524824509636,6.16943570709835,0,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",112,0.274873243016154,0.224051487654705,0.743347299905957,0.812573207783378,0.193409830473974,0.0903187194726936,0.988882562882068,3,"2012","East Asia and Pacific","China","Upper middle income"
"Costarica","Costarica2010",16,-5.62525960289962,-6.06721707881405,1.03655689098669,1.21578932224239,0.652565078315724,0.235467971163967,1.11566583618666,1,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Egypt","Egypt2013",145,0.147132940651353,0.0630548265771562,1.21565901192639,1.38221381665528,0.235431529445933,0.245425285785378,1.21109332424247,0,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",168,-1.80032749259478,-1.95803079321632,0.881856251679192,1.30153297578059,0.0613016464536956,0.348150779154241,1.71612312717049,0,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",74,-7.37316920548057,-7.53802477938541,0.606309023476859,0.886431032184165,0.230369429511664,1.35164387107291,0.686695960781615,2,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",133,-4.44815404581318,-4.61526226839247,0.902353702991129,1.17528375814601,0.0339658273274327,-0.0533074565870226,1.25,0,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Mexico","Mexico2010",24,-0.852628987894244,-0.801390853087873,0.618623552563428,0.529218397492068,-0.447224243844595,-0.215419884110068,0.00739296443109157,0,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Nigeria","Nigeria2014",47,-2.94378804348079,-3.60474836079208,1.57419212540928,1.96374788271499,0.186340759203942,0.000907469123359749,1.55639927380701,2,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Philippines","Philippines2009",48,-1.42334133050005,-1.98703189250978,1.39549482585053,1.6194546681434,0.359159681894376,-0.0279416595059917,2.3148786347634,0,"2009","East Asia and Pacific","Philippines","Lower middle income"
"SriLanka","SriLanka2011",20,-3.15097793700854,-3.30158566348388,0.764931223123394,0.676092079967106,0.0505330674274561,0.196713063830843,1.00943555834888,0,"2011","South Asia","Sri Lanka","Lower middle income"
"Turkey","Turkey2013",21,1.81594609940049,2.17702337595648,1.08618474537139,0.626253764497189,-0.0729607783159483,0.0793478381642321,0.994775080651518,4,"2013","Europe and Central Asia","Turkey","Upper middle income"
"Ukraine","Ukraine2013",25,-0.752313271316064,-0.841414948929055,0.492064517069509,0.493762045415812,-0.00791997970242836,0.00789350722865247,0.667437476685337,0,"2013","Europe and Central Asia","Ukraine","Lower middle income"
"Vietnam","Vietnam2009",88,-7.26247175946632,-7.49395150767655,0.936233353822735,1.66102856388034,0.0773626700853576,0.265072265355783,1.50542159736699,0,"2009","East Asia and Pacific","Vietnam","Lower middle income"
"West Bank And Gaza","West Bank And Gaza2013",18,0.76440496199054,0.194932251196181,1.48207108232968,1.3759520143796,-0.179830284494714,-0.40550048240404,1.02473241676827,0,"2013",NA,NA,NA
"Yemen","Yemen2013",16,-2.11156435025103,-2.2782179828198,0.875237269306097,0.896642261425606,-0.202072789748299,0.0308627620527145,0.400321085682385,2,"2013","Middle East and North Africa","Yemen, Rep.","Lower middle income"
