"countryOnly","country","N","mean","median","sd","iqr","OPcov","OPcovNoWeights","indAlloc","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",417,2.80342243205135,2.47038442602146,1.55085474000354,2.18250933025864,0.235387776605662,-0.308617683959725,2.37710842712841,0,"2010","Latin America and Caribbean","Argentina","High income"
"Bahamas","Bahamas2010",16,1.40343352523129,1.18551352433285,0.595261721785495,0.66392873052511,0.001168585186528,0.0228840011915825,0.381818181818182,0,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",1068,2.71339288897527,2.63334538668523,1.31762599665841,1.8095997898137,0.7506122078471,0.501476449973831,1.2,0,"2013","South Asia","Bangladesh","Lower middle income"
"Belize","Belize2010",25,2.15709855095457,2.15396466955082,0.427296424135379,0.503836974019398,0.157865542653562,0.176346120793024,1.13526233409112,0,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",16,2.5664842136434,2.75881531601449,0.646467013508449,0.579075148614731,0.053993812181529,0.0889439576861255,0.89906278060425,0,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",19,3.15192987461953,3.07445368813088,0.839980267092962,1.66996412578727,0.00651936960430551,0.196283734841228,1.18703119660016,0,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Brazil","Brazil2009",1020,2.15506552638674,2.05775211708021,1.2652900819988,1.25261921629687,0.307500859503769,0.51443814549162,0.694175092626057,13,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burundi","Burundi2014",15,3.65687837552352,3.589897960005,0.549464975825741,0.530964133473496,0.0362036879734842,0.0426101134505708,0.684992574992036,0,"2014","Sub-Saharan Africa","Burundi","Low income"
"Cameroon","Cameroon2009",18,2.64952962975418,2.61310502156386,1.18793249083978,1.44391111149489,0.261907812486025,-0.0408606458529978,1,0,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",558,4.0129795382018,3.18242526572531,2.46757851767723,4.30123272670828,-0.010983067376896,-0.0989109605027245,1.33333333333333,0,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",1260,2.40876389172333,2.19849139534831,1.89138319643445,2.02168277925508,0.00531407937592505,-0.166234535610588,2.77777777777778,1,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",510,2.66768431362341,2.92976252522183,1.62082859457834,2.23999696258505,0.862118858262207,0.958552168279143,3.67296861018615,1,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",127,1.46264573211803,1.67504244956208,1.28767817873429,1.8267109570432,0.837092753870149,0.767859418267735,1.99429742407192,0,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",55,2.48541049863429,2.24089190056264,0.799839353410951,1.01715880754072,-0.0743130156492294,0.0812352474809472,0.795714597223554,0,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Croatia","Croatia2013",17,1.49823752454026,1.405282349766,0.667963907481185,0.982376948940135,0.587389327943506,0.587902211838342,1.03926971622855,1,"2013","Europe and Central Asia","Croatia","High income"
"Dominicanrepublic","Dominicanrepublic2010",16,2.2266710420698,2.27908964517557,0.552897257906067,0.456662711295326,-0.174885421551974,-0.170667128494304,0.0888949066953877,1,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Drc","Drc2013",94,1.39007714371606,1.24504167281035,1.90754730005516,2.5963702698856,2.48645953817301,2.53148448007132,1.04772749469324,0,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Ecuador","Ecuador2010",24,2.68391035470913,2.83517420366582,0.550135880988486,0.7629355146482,0.0770421688388807,0.233197071106338,0.959687005754297,0,"2010","Latin America and Caribbean","Ecuador","Upper middle income"
"Egypt","Egypt2013",1420,2.37440135624996,2.199783546211,1.12633598363709,1.35464337655913,0.137546197908709,0.208851212569454,1.28571428571429,7,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Elsalvador","Elsalvador2010",41,2.04595337659013,2.20415186028397,0.827559375387858,1.1470255492229,0.264599882652792,0.177824876564352,0.84899422772109,0,"2010","Latin America and Caribbean","El Salvador","Lower middle income"
"Fyrom","Fyrom2013",22,2.29509871304075,2.25217981660194,0.846821222204791,1.5456181645769,0.102540912813218,0.153565838631484,1.5333809886198,0,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
"Georgia","Georgia2013",18,2.22664907116509,2.39879165915618,0.667905780621147,0.815513947585117,0.177340965498302,0.212837142233924,4,0,"2013","Europe and Central Asia","Georgia","Lower middle income"
"Ghana","Ghana2013",176,2.67126424413183,2.31043621947504,1.49089207185618,1.55597617861872,1.51659653127506,1.25587190793115,1.66666666666667,0,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Guatemala","Guatemala2010",124,2.02574556754791,1.99808098244033,0.665758265846681,0.93703542699091,0.504534635839308,0.510059815968367,0.80009630270357,0,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Guyana","Guyana2010",21,2.71378506844589,2.65626570360715,0.950198693058761,1.65390811692285,0.037451771636804,-0.0106031216270665,1.33101088700573,0,"2010","Latin America and Caribbean","Guyana","Lower middle income"
"Honduras","Honduras2010",17,2.44231841148644,2.6243042746885,0.588092320425835,0.698425049029501,0.068249141163689,0.230891213840088,1.853531770497,0,"2010","Latin America and Caribbean","Honduras","Lower middle income"
"India","India2014",2880,2.82659615218544,2.70988912846163,1.3881721243835,1.63600906800298,0.122722703356032,0.239272753580256,0.833333333333333,3,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",559,2.64490145588846,2.43003565880269,1.33151858621711,1.68633762803589,0.594105672971328,0.610938380623406,1.13186790316834,6,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",414,2.28411849919002,2.1587819409828,0.995632067943308,1.19831622054427,-0.0820210516078762,-0.12405561374481,0.91138321441353,4,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Israel","Israel2013",62,2.10739560136883,1.82985806736105,0.948096215516895,1.16965659205791,-0.257990641624679,-0.103566041751827,0.933609615150519,0,"2013","Middle East and North Africa","Israel","High income"
"Jamaica","Jamaica2010",49,2.19046798115748,2.01685885254322,0.529541163562884,0.661981810638149,0.391955988944422,0.377126491610781,0.852533163600798,0,"2010","Latin America and Caribbean","Jamaica","Upper middle income"
"Jordan","Jordan2013",145,2.69591197720098,2.51013439581722,1.06085163332392,1.46205874030665,0.295698084236746,0.36192351060189,0.8,0,"2013","Middle East and North Africa","Jordan","Upper middle income"
"Kenya","Kenya2013",159,2.71171429870777,2.75450324363693,1.39033466757541,1.68791329406381,0.347112720534655,0.440226196922893,0.611746656721496,1,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Lebanon","Lebanon2013",45,2.68807684815094,2.52061245955238,0.771771871886223,1.37053223413689,0.0717215896672999,0.0903218994853472,0.970472460631,1,"2013","Middle East and North Africa","Lebanon","Upper middle income"
"Madagascar","Madagascar2013",96,2.14925078771399,2.10676502933745,1.95387162260059,1.86876551067438,0.0968111899106603,0.329034603321963,4.74297663105508,0,"2013","Sub-Saharan Africa","Madagascar","Low income"
"Mauritius","Mauritius2009",76,2.08681772609935,1.86674626314414,0.820735758331505,0.77842582284903,0.0627929295185859,0.150120624932348,1.5414927087848,3,"2009","Sub-Saharan Africa","Mauritius","Upper middle income"
"Mexico","Mexico2010",971,2.38036734869104,2.29475177804131,1.22848946022494,1.4545379077561,0.688238868762343,0.637190635791894,1.0624851163805,0,"2010","Latin America and Caribbean","Mexico","Upper middle income"
