"countryOnly","country","N","mean","median","sd","iqr","OPcov","OPcovNoWeights","indAlloc","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",38,1.23135926123576,1.35973747789884,0.677562239311247,0.580972472023724,0.189267990927352,0.0655003273905394,1.61080580319526,0,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",145,0.980266197685595,0.904321632213646,0.311333421350117,0.398399161432739,0.0157671457900183,0.00703794605369348,1.18063909754132,2,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",118,1.368878133551,1.30476314284531,0.642469838434971,0.559631848877419,-0.254947664608073,-0.245797875332723,0.43104944643221,4,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",52,1.62106437339655,1.54025313735615,0.485188820840846,0.501362657467027,-0.0372777952358774,-0.0404266840086956,1.87375488640685,0,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",122,1.25684315150976,1.25811871081918,0.35629066287315,0.380294161618004,0.0293432980056026,0.0790188114586641,0.542201106999045,5,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",45,1.04643294834559,1.04740294754409,0.321813530575501,0.48818114167657,0.00982443763351179,0.0573284005033086,0.942213286867679,0,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",141,1.14286920225047,1.12385425274562,0.367091618962629,0.336864613201943,0.000856414398297557,-0.0575802654930033,2.45990538847692,18,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Guatemala","Guatemala2010",35,1.0696503853066,1.00906499722009,0.382068742514926,0.365737772386336,-0.114445680971968,-0.083173902394274,1.25763996363706,1,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"India","India2014",238,1.30809821754788,1.2095181916778,0.491952057779275,0.726493656655885,-0.0705747005802668,-0.13858360531586,1.67072199796996,1,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",96,0.899891202674785,0.847828641573007,0.383407316585554,0.35287495751221,0.140633103707015,0.241765383438195,0.8,5,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Kenya","Kenya2013",25,1.8442522841295,1.9469153214778,0.911127512488129,1.03489953470997,0.242008781239515,0.261665378996393,0.271302669390997,0,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Madagascar","Madagascar2013",32,-0.271416684502852,-0.30420405081146,0.605792799092306,0.729360353010616,0.032327851248729,-0.00160450968545562,0.568820283240122,0,"2013","Sub-Saharan Africa","Madagascar","Low income"
"Mauritius","Mauritius2009",23,1.24742648789824,1.238356776843,0.4345693052919,0.430768633310285,-0.0693420317454223,-0.0611741294580981,1.5802786126549,3,"2009","Sub-Saharan Africa","Mauritius","Upper middle income"
"Mexico","Mexico2010",16,0.906872424665779,0.937280583285145,0.134679193850732,0.130400228976065,-0.0892077929617825,-0.0335617895560761,0.0591352715143256,5,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Nepal","Nepal2013",17,0.67368837264538,0.607575798645746,0.556575809578137,0.914626051125886,-0.0435898685521302,0.423595507577631,0.605395945376319,0,"2013","South Asia","Nepal","Low income"
"Pakistan","Pakistan2013",24,2.1827579227992,2.08386777135738,1.07462927986384,1.77730633006096,-0.338404525961755,-0.0942191633393261,0.133337642625894,1,"2013","South Asia","Pakistan","Lower middle income"
"Peru","Peru2010",36,1.09897462642877,1.00163269996845,0.438910459585431,0.566110146505272,-0.0211675709095522,-0.0263787398689858,0.528550625557623,0,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Tunisia","Tunisia2013",16,0.867035450055799,0.917963410822,0.327035729978642,0.327413648911357,-0.0754182674169664,-0.151636012476903,0.929515780368053,2,"2013","Middle East and North Africa","Tunisia","Upper middle income"
"Turkey","Turkey2013",31,1.52782995529614,1.37786681603857,0.99410091509951,1.63774333979433,0.194735847171027,0.192880378896109,1.13351553880417,1,"2013","Europe and Central Asia","Turkey","Upper middle income"
"Uruguay","Uruguay2010",21,1.3885882908148,1.45761632526924,0.391204102180898,0.356593951883566,-0.104052995384244,-0.129776519681584,0.938513712196252,1,"2010","Latin America and Caribbean","Uruguay","High income"
"Vietnam","Vietnam2009",68,1.18498014683506,1.03072161304605,0.695027798904127,0.675553427053458,0.119895456910443,0.0750658128011261,1.05575499831505,2,"2009","East Asia and Pacific","Vietnam","Lower middle income"
