"countryOnly","country","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",13,47414.9133676858,26850.290191573,43636.897459402,18603.498448839,73490.7394542338,65656.9333041815,0.701554316202843,13,47414.9133676858,26850.290191573,43636.897459402,18603.498448839,73490.7394542338,65656.9333041815,0.701554316202843,-13,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",22,3178.94127446294,3276.10158800594,1769.71152409753,1493.31089865901,-879.079781896716,-1251.22122915708,2.77354132027291,22,3178.94127446294,3276.10158800594,1769.71152409753,1493.31089865901,-879.079781896716,-1251.22122915708,2.77354132027291,-15,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",6,54845.8569555429,34161.4790985092,58021.2321219126,108691.833709357,-20670.2934214702,-18797.7163047616,0.267633794806737,6,54845.8569555429,34161.4790985092,58021.2321219126,108691.833709357,-20670.2934214702,-18797.7163047616,0.267633794806737,-5,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",5,183461.753804697,86674.862482378,189117.94115383,359308.520691193,146817.204491284,115547.832369194,2.23247053143364,5,183461.753804697,86674.862482378,189117.94115383,359308.520691193,146817.204491284,115547.832369194,2.23247053143364,-3,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",13,39894.1515659087,34346.0929838522,25398.4311097531,24834.9233368584,-2863.16052083319,2089.03686841255,0.740513019615105,13,39894.1515659087,34346.0929838522,25398.4311097531,24834.9233368584,-2863.16052083319,2089.03686841255,0.740513019615105,-9,"2012","East Asia and Pacific","China","Upper middle income"
"Egypt","Egypt2013",69,43256.4791938,22498.0624272836,43134.6604318155,86724.1902475337,6020.18560158576,7936.96901736377,2.9881203451429,69,43256.4791938,22498.0624272836,43134.6604318155,86724.1902475337,6020.18560158576,7936.96901736377,2.9881203451429,-62,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ethiopia","Ethiopia2011",1,10887.0647345823,10887.0647345823,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,6,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Guatemala","Guatemala2010",2,28127.9549591741,28127.9549591741,42483.8779495348,60081.2763784354,10816.1454310411,10554.8188232386,1.49152978575206,2,28127.9549591741,28127.9549591741,42483.8779495348,60081.2763784354,10816.1454310411,10554.8188232386,1.49152978575206,4,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Honduras","Honduras2010",6,13583.9875083403,4395.67962800399,19666.658551659,30087.1786865378,14862.6951656452,11638.5107160274,2.85158074166304,6,13583.9875083403,4395.67962800399,19666.658551659,30087.1786865378,14862.6951656452,11638.5107160274,2.85158074166304,-6,"2010","Latin America and Caribbean","Honduras","Lower middle income"
"India","India2014",166,17564.1710075957,13261.0654377773,13946.2923782196,15277.4603158282,697.30154352779,698.131883559563,0.581044814164885,166,17564.1710075957,13261.0654377773,13946.2923782196,15277.4603158282,697.30154352779,698.131883559563,0.581044814164885,-157,"2014","South Asia","India","Lower middle income"
