"countryOnly","country","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","outliersOut","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","yearOnly","region","countryDes","incomeLevel"
"Angola","Angola2010",6,38404.7933273833,35989.6840127204,35200.9521830119,64920.1943824072,7503.24818412837,7625.77935313558,0.633176597981031,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Argentina","Argentina2010",1,19252.4298332663,19252.4298332663,NA,0,0,0,1,3,6,220927.322997005,138147.33857568,160825.017967339,243717.302459427,111167.901014398,86392.899723021,0.949974617194729,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",36,12942.8571680965,11287.9793425189,10326.0817836088,8842.11327808134,7968.97467254729,6195.27772273352,1.17503313854979,3,1,14782.269501877,14782.269501877,NA,0,0,0,1,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",1,105526.052145007,105526.052145007,NA,0,0,0,1,12,1,145098.321699385,145098.321699385,NA,0,0,0,1,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burkinafaso","Burkinafaso2009",3,32715.8967827743,27030.1376637127,31040.8322646684,48192.8185804501,4027.73205589051,1988.71160048226,0.706562617694858,2,5,57644.7099065179,53343.1921522463,41899.1709109465,38712.2837316466,18730.4715476297,32478.6543394574,1.00106333484835,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Chile","Chile2010",5,242577.628823056,223126.761117684,202786.287271271,394385.281361654,93847.4421211033,130528.280840591,1.92226421526993,8,7,54720.7321925343,51210.0777571601,32808.634658677,0,10153.3431548203,6710.19854373508,1.06149097777143,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",58,60683.7012703543,48176.1829391635,39531.6656011255,41610.541746059,-1312.41033727203,-3593.8552502059,0.443794962000081,5,18,47825.4999176979,34188.2879812226,35922.3444236862,24716.661797159,-7854.66770742999,-3363.37625182676,0.804504610205563,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",6,95704.2795915485,24433.6886449861,135915.870884824,156376.266378976,96708.4284399984,89472.1169965068,3.48395968459322,7,2,26934.6083758466,26934.6083758466,352.3827500479,0,-177.557598444008,-168.359616305428,0.344675039935945,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",6,21213.8386264581,20234.809698157,11196.8519909286,21300.8808542282,-3789.85544762214,-5462.340756031,0.233931558578245,0,1,37378.3736024701,37378.3736024701,NA,0,0,0,1,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",4,9814.5244347764,6084.74081383413,12126.4187127871,10660.5324676132,6719.77793012401,7087.96796774282,2.34943452269972,0,1,13718.6476795022,13718.6476795022,NA,0,0,0,1,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Djibouti","Djibouti2013",4,178653.300043627,194060.873643549,151298.543376699,267499.432373888,-51449.4368254271,-40414.4267641087,0.790929940600687,0,1,6687.48580934721,6687.48580934721,Inf,0,0,0,1,"2013","Middle East and North Africa","Djibouti","Lower middle income"
"Egypt","Egypt2013",52,17432.1446057869,12284.0544625481,13651.2729719898,12513.8784659917,-1536.85394566271,1802.16529810392,2.40136180434389,34,4,36538.0301921879,36797.3720100309,8074.23747149661,0,-2305.88423075118,-3654.17982366774,1,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ethiopia","Ethiopia2011",20,9825.2629201615,5250.26532761325,11267.9554000462,11355.6630310687,5486.90787612081,5486.90787612081,0.51063829787234,3,1,72728.9923079175,72728.9923079175,NA,0,0,0,1,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Ghana","Ghana2013",5,172529.753305263,139462.073989797,157106.67014827,266022.064439638,106958.672757359,141962.757900448,4.5603519700795,2,3,33391.1419132347,27119.5001201766,31720.8694173829,22320.1903847291,5446.75587435918,6292.22103433956,1.10928962217575,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
