"countryOnly","country","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","outliersOut","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",2,32724.155614613,32724.155614613,227.777241321038,0,-16.9386452156911,-122.407752272933,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",6,1804292.39120234,10638.0806065357,4211143.09410717,79206.8391008658,-1344839.09117948,-1296082.60951775,0.691194789085869,-5,6,1804292.39120234,10638.0806065357,4211143.09410717,79206.8391008658,-1344839.09117948,-1296082.60951775,0.691194789085869,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Argentina","Argentina2010",63,62125.5155069683,43326.0474829174,54630.9294810906,66253.1799409318,14331.0154768162,7322.71488904752,1.58996025783478,-54,63,62125.5155069683,43326.0474829174,54630.9294810906,66253.1799409318,14331.0154768162,7322.71488904752,1.58996025783478,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",11,21835.329304262,15072.3072875507,20083.56171639,34472.3691363965,2018.33471471753,10499.756075853,0.381771167292776,-10,11,21835.329304262,15072.3072875507,20083.56171639,34472.3691363965,2018.33471471753,10499.756075853,0.381771167292776,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Bangladesh","Bangladesh2013",29,7077.22428941819,6877.57460740186,5560.65038053635,5962.18203242374,2149.77186744032,3112.15391670847,3.58362118059401,-27,29,7077.22428941819,6877.57460740186,5560.65038053635,5962.18203242374,2149.77186744032,3112.15391670847,3.58362118059401,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",11,60234.5442026963,27386.2962143334,80959.1746483401,26953.0445147465,-36516.0192047099,-30111.1343282862,0.311566578529143,-9,11,60234.5442026963,27386.2962143334,80959.1746483401,26953.0445147465,-36516.0192047099,-30111.1343282862,0.311566578529143,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bhutan","Bhutan2015",5,10993.104115318,10418.0530461775,7745.63872195382,16973.4414628522,1212.49854088266,1052.48793657359,1.58940058603593,-4,5,10993.104115318,10418.0530461775,7745.63872195382,16973.4414628522,1212.49854088266,1052.48793657359,1.58940058603593,NA,NA,NA,NA,NA,NA,NA,NA,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",9,72062.7010646377,69228.2790531064,34468.8390742439,47774.8800138015,-3272.2703163289,-15789.801875982,2.29143805364326,1,9,72062.7010646377,69228.2790531064,34468.8390742439,47774.8800138015,-3272.2703163289,-15789.801875982,2.29143805364326,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Botswana","Botswana2010",10,18203.4783111642,12920.6214734711,13323.8027001515,18873.5340646656,5390.12600901052,6566.21809437604,1.94719629266214,-9,10,18203.4783111642,12920.6214734711,13323.8027001515,18873.5340646656,5390.12600901052,6566.21809437604,1.94719629266214,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",47,17505.5331553231,14641.6061385319,16050.1940151049,2418.3053616564,15561.8278990807,8439.77720666912,0.700950347565559,10,47,17505.5331553231,14641.6061385319,16050.1940151049,2418.3053616564,15561.8278990807,8439.77720666912,0.700950347565559,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
