"countryOnly","country","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",1,135342.287181373,135342.287181373,NA,0,0,0,1,4,4751.79092772641,4863.8634455806,1013.10778432939,1879.75398863018,353.692283728767,423.84837532094,1.16666666666667,5,"2014","South Asia","Afghanistan","Low income"
"Argentina","Argentina2010",71,63218.3059108842,59092.6812987869,36279.1763345041,43914.81126926,5395.80793424678,17194.2517744045,3.34768056059233,34,40337.9532051139,33231.0517065419,27531.9318890828,20312.8484178199,2675.01994597587,3830.65998583313,1.61421122317869,13,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",4,4151.69283351969,4158.62453442489,521.361581921801,487.288642951013,22.5089917397093,-99.728925050198,1.2183112782358,4,12094.894802525,9953.78130832919,13381.1673636272,10942.0789633543,-297.294610490012,-2212.54639554455,0.789257044621353,1,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",2,12140.2046521197,12140.2046521197,12546.4615119708,17743.3760300212,-5514.83309041199,-5514.83309041199,0.616666666666667,1,12219.99867374,12219.99867374,NA,0,0,0,1,3,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bangladesh","Bangladesh2013",3,29647.6853108203,35140.2640885118,18914.4423702211,32852.8397704982,-2084.96945838876,-1267.05167158946,0.845979265548713,24,4386.07235380293,3276.5210825902,3490.4354520073,5785.10636848439,44.8767947186966,-407.02793144033,1.23315812870403,0,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",1,77827.9400881738,77827.9400881738,NA,0,0,0,1,2,37339.1013486363,37339.1013486363,20448.7810477085,28918.9434916673,-15984.435517507,-13391.2258121045,0.414227697487185,3,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Brazil","Brazil2009",47,90391.5565733823,71755.3715972058,64733.7141658089,51858.4375669616,-41816.3836586964,-53077.8765735441,0.647292349622696,88,41508.4225757995,37442.3074944504,38508.4131733597,34237.3413626023,6917.86256082675,21651.7985991904,0.647843573307959,26,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",4,22269.7658855562,21093.174466681,11503.8348630965,16774.6850126626,12808.2199366231,12540.3974677782,0.836179273796404,9,16997.4477762355,18096.3923892801,6471.89694365548,9536.37770683235,9109.72756283745,11280.1049881056,0.621587670888479,1,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Chile","Chile2010",9,185283.750991189,80141.7518571308,175992.530563401,338290.587620452,-62933.3804381719,12493.3038243852,0.68431926697604,10,33372.7460630976,37701.7835000634,12779.3518683149,21778.9990291963,1472.95638764222,107.735128339534,0.772913764621711,2,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",53,50539.1934301182,46416.7389358598,47684.7462872643,41194.4363285984,6796.92515333086,-9187.96103594357,0.67805663409224,92,54021.8993581622,36301.3651188571,50348.6211502049,59919.180114325,75286.5833718297,126291.740981927,1.14905110030948,8,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",10,28687.5168247511,21489.7277269672,22058.7565352541,24270.0378154318,33959.8209150594,18927.3514431794,NA,10,48810.5426246863,37115.6847062444,36142.9929831762,65253.3062173997,10429.1260646951,17637.0842533069,2.23017033236527,4,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",10,53930.771669635,53545.2300649239,20240.1895221923,29700.6863126682,-3504.2347985225,-1213.09549486268,1.36769150509724,8,23343.8500655022,21179.1358659992,7764.02259330467,10582.2328821215,3947.12269695565,763.399229294391,2.15139787803117,1,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",1,45777.2671508814,45777.2671508814,NA,0,0,0,1,6,89214.3813984541,43153.508732486,129004.273730068,90385.8818467204,-29201.4959560098,-32013.6984541313,1.22695860274494,1,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Croatia","Croatia2013",11,113004.248124673,94554.2067412328,99153.1750001332,81722.3186110468,-17503.4688350795,-7374.882314218,0.194395475055653,2,21412.8401114184,21412.8401114184,8721.32560419494,12333.8169513242,473.19126103609,474.377575050931,1.08538865412221,1,"2013","Europe and Central Asia","Croatia","High income"
"Czech","Czech2013",15,78484.5244372677,77998.8396994151,45427.9337355815,60178.794274883,-7480.60634242805,-1320.63193505563,1.00360079557331,3,36450.3004314934,36056.289234033,38416.4830008138,55072.6743506445,-1954.0122419993,-294.553319371887,0.913445255563503,2,"2013","Europe and Central Asia","Czech Republic","High income"
"Egypt","Egypt2013",16,43510.2794353857,13887.2881802193,84653.3815904872,78164.8730624047,58258.1873818471,28418.7500083775,1.05626987797462,20,10066.631493712,10670.6042518073,2734.73115157892,2803.58373645044,-3046.32097857628,-1895.15702493438,0.065374272226866,15,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Estonia","Estonia2013",5,126861.250430687,151622.559799354,77029.0962962468,144860.173058946,18233.0866858569,11024.5763183021,1.42574657175608,1,384436.979289847,384436.979289847,NA,0,0,0,1,0,"2013","Europe and Central Asia","Estonia","High income"
"Ethiopia","Ethiopia2011",1,17182.6865267343,17182.6865267343,NA,0,0,0,1,2,48569.6831992027,48569.6831992027,5502.90592734057,0,413.005821776809,2594.09473163611,1,6,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Hungary","Hungary2013",NA,NA,NA,NA,NA,NA,NA,NA,4,140004.254649486,171872.910006425,130386.78677824,206568.309179493,-42591.8393378371,-21223.1988062754,0.79092666826225,4,"2013","Europe and Central Asia","Hungary","High income"
"India","India2014",175,44153.5302444679,28351.3114820531,40352.7070318471,37305.4263526039,-794.667364751873,1036.0240717357,1.2,488,21584.4829330793,15988.0398654017,18079.795786798,17653.4606847144,-1224.20967920407,2380.7233953597,0.808202222603285,57,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",2,13485.8378078139,13485.8378078139,1185.67810205367,1676.8020525331,-556.586043192652,-740.96918126172,0.656226675500739,5,1759.86542307523,818.109040228943,3027.18622215426,0,1572.01514781532,1529.05251908684,0.176323356161114,2,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",NA,NA,NA,NA,NA,NA,NA,NA,2,8250.33811463156,8250.33811463156,6169.46498539691,0,1048.65169105806,2181.23526373356,1,4,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Israel","Israel2013",1,176130.818197604,176130.818197604,NA,0,0,0,1,1,79665.3239232239,79665.3239232239,NA,0,0,0,1,7,"2013","Middle East and North Africa","Israel","High income"
"Jordan","Jordan2013",4,71716.2937670261,73670.6924586682,38822.3941391681,51991.0123774765,6880.23767088979,18489.2335138389,0.875202042539504,5,202439.37925225,205028.095656572,157025.527910169,229889.552204448,-119883.434432201,-19456.6261239445,0.183087027914614,0,"2013","Middle East and North Africa","Jordan","Upper middle income"
"Kazakhstan","Kazakhstan2013",3,54613.8974335003,49360.0511952893,11682.4993952458,19804.4228892307,-6828.79454437929,-5565.41766438203,0.831969453476522,12,21583.2442271921,17444.5736002091,12110.0072155132,9902.2114446153,-985.725147897976,-1982.11129248027,1.55590554478528,8,"2013","Europe and Central Asia","Kazakhstan","Upper middle income"
"Kenya","Kenya2013",10,42974.3989285276,42581.2205701742,34299.7924969177,61704.3767691383,18726.1744921163,22848.9854078645,1.52844406924364,6,18841.947922131,22553.464038608,9828.87823968856,15533.2198463976,1253.65422194742,-377.249326347383,1.03022379130954,5,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Kyrgyzstan","Kyrgyzstan2013",NA,NA,NA,NA,NA,NA,NA,NA,5,12359.5800876362,9397.62778981008,9574.6967541403,20880.6370399349,4618.24548830823,3803.26820915311,1.07660323629748,0,"2013","Europe and Central Asia","Kyrgyz Republic","Lower middle income"
"Latvia","Latvia2013",2,42507.9245402598,42507.9245402598,8621.95807390516,12193.2900423289,-988.42302327189,-1016.10750352741,0.819291951743001,2,20055.4793230161,20055.4793230161,18453.331081254,26096.9510860704,8698.9836953568,8698.9836953568,3,2,"2013","Europe and Central Asia","Latvia","High income"
"Lebanon","Lebanon2013",4,47708.2475593843,46335.9431213963,31149.5078197287,31535.8319210082,6086.59024394536,-9164.82510309412,1.26567288441135,4,28687.1127338741,19379.025372632,42083.9096267582,21337.0619665024,45442.6467111376,25498.1743133715,1.5513527173459,1,"2013","Middle East and North Africa","Lebanon","Upper middle income"
"Lithuania","Lithuania2013",1,1560.4589296171,1560.4589296171,NA,0,0,0,1,1,31550.5289831957,31550.5289831957,Inf,0,0,0,1,4,"2013","Europe and Central Asia","Lithuania","High income"
"Mexico","Mexico2010",39,49953.4677709201,46343.1329800139,34609.9630443778,32515.2372160451,11179.3388794435,14673.6398114953,1.79886624219853,1,8880.02530807213,8880.02530807213,NA,0,0,0,1,70,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Morocco","Morocco2013",2,64054.3492152562,64054.3492152562,4250.13438231559,6010.5976853789,1927.19828573989,2751.97863372712,15.27268428481,6,20309.2954484674,9985.66799020139,21845.4595488803,3087.41293297777,2583.74817273517,7829.34151824691,2.09090909090909,2,"2013","Middle East and North Africa","Morocco","Lower middle income"
"Myanmar","Myanmar2014",NA,NA,NA,NA,NA,NA,NA,NA,36,7651.02772657604,3738.29982036586,7243.0127450317,7632.60737878619,339.50938485058,324.783283578727,1.00970969717793,6,"2014","East Asia and Pacific","Myanmar","Lower middle income"
"Nepal","Nepal2013",1,6664.63720690542,6664.63720690542,NA,0,0,0,1,8,6258.18549844226,6229.50081198593,1341.48413536626,1594.30337496727,144.443113195799,329.579395944484,0.568337269381532,1,"2013","South Asia","Nepal","Low income"
"Nigeria","Nigeria2014",3,5601.87063444002,4829.6525791704,4265.48769136191,6854.46074511249,-937.798472658198,-813.164309073071,0.931935099532434,1,79.4062477712659,79.4062477712659,NA,0,0,0,1,17,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Pakistan","Pakistan2013",2,5713660.8309173,5713660.8309173,8986335.62333535,12708597.7145573,332666.895516536,334436.781962035,1.04980611934874,15,30107.378930236,6365.56164733929,54348.7661539133,28941.5709921447,13908.0220341446,10096.3333367967,4.38030073704692,18,"2013","South Asia","Pakistan","Lower middle income"
"Peru","Peru2010",12,58011.1427138722,36221.7753587043,46138.9482049156,77480.5537645865,35825.4274504325,30395.2819396707,0.537126881750928,12,32333.6656628283,25586.0319746317,18762.8246420315,26476.212086413,5323.63054478546,5015.41214169058,0.457119535287657,1,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",1,200815.902266511,200815.902266511,Inf,0,0,0,1,3,14758.9950607201,14724.993888865,5040.50534521712,5564.47025465601,-790.975279894204,-674.738510779359,0.838297186713128,3,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Poland","Poland2013",9,79343.0730848048,61296.9769491176,73119.8729073741,116771.99625097,-25096.0683834312,-25580.9182978597,0.464717899623523,8,263561.017880098,66509.9721961937,420814.993864872,311310.216895969,-155031.810309469,-179168.253225661,0.302282788925275,2,"2013","Europe and Central Asia","Poland","High income"
"Romania","Romania2013",7,37810.7430647946,41083.0255637296,19370.2122389973,38363.8111029885,-11141.8075864137,-10681.2596043032,0.155981632924651,8,14811.7096756523,14194.9346331291,5105.60083900292,8947.04045936749,4773.1525947828,4215.53411282569,0.803236042519421,4,"2013","Europe and Central Asia","Romania","Upper middle income"
"Russia","Russia2012",23,38151.7788886079,39024.3565167373,10336.2638745621,0,594.113503684139,2807.60096137551,0.174612218904748,68,22823.0491293759,19735.428510099,17024.172213873,17291.0743041655,2604.48541869432,-1912.35050808048,1.01691045601697,41,"2012","Europe and Central Asia","Russian Federation","High income"
"Serbia","Serbia2013",1,8799.20711497759,8799.20711497759,NA,0,0,0,1,3,52652.6565293253,52044.8194621941,23427.0108121346,34316.9077484126,-8953.7446739427,-5563.66533207437,0.629252836155382,1,"2013","Europe and Central Asia","Serbia","Upper middle income"
"Slovakia","Slovakia2013",10,84393.1694088939,95887.414014223,74211.392208366,88209.5265684772,376.361433243666,5110.8700708723,0.300143275096364,1,116313.697346373,116313.697346373,NA,0,0,0,1,4,"2013","Europe and Central Asia","Slovak Republic","High income"
"Slovenia","Slovenia2013",13,251215.316848832,128503.040597719,246352.284704579,395312.886349521,-12041.8706376047,-36266.3671442685,1.2249114570768,1,41487.1573483626,41487.1573483626,NA,0,0,0,1,1,"2013","Europe and Central Asia","Slovenia","High income"
"Sweden","Sweden2014",95,348805.413764139,276496.680276733,198384.369626713,153299.337135185,11449.7025020887,24075.2615481119,0.914973965628329,3,272331.435537383,272282.288495904,9969.36777042961,14218.9519129377,-2367.59936263087,-2545.52072778293,0.940590922412789,13,"2014","Europe and Central Asia","Sweden","High income"
"Tunisia","Tunisia2013",8,47372.7761037538,37206.7690161114,19371.366239492,18202.891000864,9295.96522946752,11928.3277048091,0.554914225638174,5,77863.0889088408,87965.2049467173,46793.5296827164,68484.647290136,46635.2365236737,72959.139631558,0.602012843197103,0,"2013","Middle East and North Africa","Tunisia","Upper middle income"
"Turkey","Turkey2013",13,78053.8699438861,62611.0600403189,56728.9970970091,65492.4526928969,-21963.4889365152,-22156.9168753525,0.25,6,45935.625802284,45780.2431053534,16042.3000870691,14817.2969893432,-2177.0750096926,-19351.5047308496,0.919139919672802,20,"2013","Europe and Central Asia","Turkey","Upper middle income"
"Uganda","Uganda2013",NA,NA,NA,NA,NA,NA,NA,NA,6,3902.56962248263,3425.38755744465,3167.39986410135,858.685144842433,-11.6707545961991,-356.690896715087,1.88221487491182,3,"2013","Sub-Saharan Africa","Uganda","Low income"
"Ukraine","Ukraine2013",34,12955.939943423,11438.57206009,11275.1503869121,10039.215187086,-3005.40907658413,-3693.3109640683,0.427406703783002,53,13320.4263130584,11836.8458639114,8991.76516107779,11276.2985823638,-2111.61318386522,-1520.07667917477,0.737352873884852,40,"2013","Europe and Central Asia","Ukraine","Lower middle income"
"Uzbekistan","Uzbekistan2013",2,18837.1255298304,18837.1255298304,6229.72016419539,8810.15474599427,-3343.05662269384,-3343.05662269384,0.568533969010727,1,4628.78501521106,4628.78501521106,NA,0,0,0,1,7,"2013","Europe and Central Asia","Uzbekistan","Lower middle income"
"Vietnam","Vietnam2009",9,20788.2871100058,14615.9886244578,22700.3759428837,0,-3605.08781805198,-4438.11095101001,0.938396474015704,18,27234.7372814633,25006.5133215055,14430.6730432746,23584.9762460394,-6330.35515157315,-220.626600783794,0.779043349622453,3,"2009","East Asia and Pacific","Vietnam","Lower middle income"
"Zambia","Zambia2013",2,28625862.0710708,28625862.0710708,25503048.6240001,36066757.2459214,-4160878.85148419,-4161548.91299093,0.769107285725447,14,16528170.5457772,9620098.42632045,15316005.4941203,19869255.6363939,10812394.2627838,10422110.4038626,1.91477943001985,2,"2013","Sub-Saharan Africa","Zambia","Lower middle income"
