"countryOnly","country","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","outliersOut","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",12,24504.1338711116,17550.191397808,18162.527711773,20625.5543716397,1666.93912797551,-2904.56335861914,0.389685829641796,1,15988.8018384804,15988.8018384804,Inf,0,-2.5544882602548e-28,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",5,27569.123333842,2100.9771644792,44866.2122051036,26877.5007255875,-15488.370817885,-15488.370817885,0.14018691588785,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",8,41955.6233307886,37755.7085040108,21304.8000970522,24691.3580246913,3525.29866906181,3791.06493313321,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",2,36430.4477421176,36430.4477421176,21781.6379030733,30803.8877332261,-852.973202300097,-1026.7962577742,0.961542817023537,5,91483.3033469198,109818.153068342,43877.7401872947,29648.7419432301,16601.9491509963,27659.675105792,84.2443829503216,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",6,22129.1824279301,18126.5584281861,10183.0255801927,16866.9354409769,1671.95367585081,2388.7770183574,1.73194202731525,1,8267.6993132061,8267.6993132061,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",3,12256.9373891594,12256.9373891594,1.81031838066651e-12,0,-3.78698991306314e-13,-3.74118387963332e-13,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bangladesh","Bangladesh2013",75,4845.76311069184,2929.31649314258,4377.81895804923,5226.58814530653,1390.59143751164,1415.90912133127,0.928534980481362,10,10687.5243843063,11893.9910780755,5272.4679037678,5301.74170033708,-716.902452606294,-407.769800310347,3.07742808196604,3,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",2,54166.6666666667,54166.6666666667,41247.8955692153,58333.3333333333,14583.3333333333,14583.3333333333,1,6,97656.2825873865,47588.0699889748,115561.230243576,245000,-40863.6800833714,-31254.9025760095,0.630167245126859,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",3,6750.91888395252,6685.41642563046,3058.41593431051,3840.0011949165,1301.10353109609,-898.111253298725,2.99964466077828,4,28521.2048841951,19759.8874972737,21571.4102964053,31562.932613635,-3630.08874471837,-409.480355180736,6.39417362647539,2,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",10,37998.4817944839,35952.3052059652,14260.6152304928,25000,721.191700920504,61.3042562157608,NA,2,36875.0596510768,36875.0596510768,15125.2787419582,21390.3743315508,-1281.31502604637,-1371.17784176608,0.849679763934581,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Belize","Upper middle income"
