"countryOnly","country","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","outliersOut","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",6,0.0704205554641806,0.0534729449472097,0.075345706281159,0.08425,0.00955552759708255,0.0147421194293085,0.592738000177447,29,0.241152081296405,0.120768755090266,0.258430310078932,0.391904761904762,0.050289717986583,-0.00670890480293016,0.711458716642439,0,NA,NA,NA,NA,NA,NA,NA,NA,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",26,0.354473018919292,0.138844266379809,0.490499018862795,0.411179725580137,0.00566446993108764,-0.0284380649858572,1.22639902063599,74,0.255276319189028,0.167248558371164,0.243091171679862,0.353344490953169,-0.0743150157488215,0.0116531272463714,1.74041745415042,11,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",11,0.134847223998844,0.0863108436988618,0.148940530348805,0.151375,0.0883030001276109,0.0988892867206362,0.264581546577305,112,0.0394186034138705,0.00885985096046514,0.0620689318986654,0.0500595238095238,0.00827075582535759,0.0127360587738248,1.19774715424483,6,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",8,0.163532357381951,0.135659817160152,0.0994546862981701,0.145,-0.0342545218876705,-0.0344289731228368,1.23289319499301,23,0.215964124341459,0.233333333333333,0.0675944521660104,0.106944444444445,-0.00336794044413483,-0.00352219514105899,1.08580275605006,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",370,0.214111894831665,0.192355183746857,0.127721190776371,0.142690058479532,-0.0353628997998565,-0.0390693632569937,1.89473684210526,297,0.232461737526167,0.202404670479583,0.155792113527195,0.213438261140643,-0.0122756866447801,-0.0191093697057934,1.66821114814537,11,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",15,0.310837938630166,0.293001095579142,0.14434098366491,0.254858626519035,0.0337811620090674,0.00779530284687716,2.07618152251229,56,0.140430745713354,0.113672605318941,0.131035761011916,0.17,-0.00836761153005092,-0.0208896146213545,1.59767442633284,2,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",4,0.297844640026845,0.149771355366563,0.323412184004162,0.622941176470588,0.226977950724111,0.221688573832727,0.292768105702461,84,0.351104007896649,0.351852283834463,0.167618204026412,0.211538461538462,0.0485720784680741,0.0941232116846776,0.793001562487981,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",10,0.190797288896065,0.146526315789474,0.145236348129413,0.270588235294118,-0.07112450575645,-0.0692466059722933,0.458333333333333,26,0.226052188053831,0.201111111111111,0.11441020167773,0.174675324675325,-0.0317145941869695,-0.0118662955980323,0.451612903225807,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",325,0.13340497498906,0.116666666666667,0.107463223734226,0.11729918692079,-0.00738517739829818,0.018180652932824,0.989098756588336,804,0.209853874302272,0.166666666666667,0.166004140388372,0.22,-0.0360552161381405,-0.0059207131944671,0.88,9,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",44,0.229172780353862,0.225417474484711,0.13220247649861,0.165875,0.0197234369723585,-0.00251162537680758,0.830985325265915,17,0.288341429337198,0.285714285714286,0.0212904170103581,0.00595238095238104,-0.0028270567952759,-0.00325553525715016,2.0743069146082,7,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",38,0.198936224964394,0.161456469740584,0.117900742971703,0.1675,-0.0592215036429573,-0.00876729784439136,1.0295178629101,43,0.259820942124198,0.182381846166914,0.197539481101446,0.31484126984127,0.0954929698904148,0.0690446133392722,0.497194202279542,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",19,0.168361079835527,0.186606336826637,0.0738715489619606,0.085219298245614,-0.0259624631359102,-0.0285091042573834,0.918411249598825,52,0.259497342474029,0.2,0.147141309798115,0.141379310344828,-0.0237018391421495,-0.00802840629154011,2.04956696061393,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",25,0.335497158554935,0.37713499468568,0.212603059292307,0.424764020814352,-0.143007246279596,-0.0546937744896712,2.98722636616112,55,0.305468103022422,0.227405707829074,0.234035878805811,0.298918918918919,0.0505780727487517,-0.00270362122406433,0.556931545324557,0,NA,NA,NA,NA,NA,NA,NA,NA,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",46,0.292212020014739,0.216532231475248,0.217706387322725,0.292111873834749,0.0513068852067877,0.0223132635323578,0.13,41,0.208347654023226,0.139581662821869,0.180955729527101,0.245754120789628,0.114617233023525,0.312786804379316,1.42054693635412,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Bolivia","Bolivia2010",20,0.292048713309357,0.272887718942419,0.218599247100987,0.3,0.188988585926952,0.169741206261143,0.171812726462681,45,0.136051677247419,0.133059688593895,0.126371611462141,0.182272630834512,-0.0101122266013629,-0.024691089581601,1.13117537469376,3,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",13,0.164122665664396,0.146014428974436,0.0861436990665118,0.155020920502092,-0.0312307626091551,-0.0264208134256054,5.90591579473497,55,0.221676981461102,0.198009284738756,0.145816123609424,0.1742,-0.0509822483988469,-0.0555495860524799,1.35944774400116,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",315,0.194608650281128,0.2,0.126066185730792,0.130095238095238,0.0105275389266307,-0.0183079148588752,0.411577516213394,962,0.241398803194556,0.233333333333333,0.149912566669951,0.162121212121212,-0.00175424106550576,-0.0481306743393463,0.455168650348067,28,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",45,0.239782060402114,0.130755408666188,0.231320729856215,0.328333333333333,0.18608825237979,0.231346370799573,0.309542856829135,54,0.242397000242815,0.174055235175567,0.176736856406184,0.288372093023256,0.000448882899283235,0.00287835081388536,1.66505343070012,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Burkinafaso","Burkinafaso2009",23,0.0784779742889873,0.061815702306551,0.0596658273213803,0.0424739258631889,-0.00317624484463521,0.00103192420343872,0.998423913942989,57,0.157008256799337,0.168674348360953,0.10313113903974,0.128,-0.0536021735039503,-0.0533400584333402,0.833613352752482,2,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Burundi","Burundi2014",18,0.16228363498326,0.129792106481116,0.133418725572697,0.204891463827835,-0.0585366865831593,-0.0648458074501823,1.48827220333461,38,0.114908473742442,0.0714851907672883,0.0807344922868963,0.0976666666666667,-0.00294572643633931,-0.00594986402259844,1.02127894453599,1,NA,NA,NA,NA,NA,NA,NA,NA,"2014","Sub-Saharan Africa","Burundi","Low income"
"Cameroon","Cameroon2009",29,0.132307706045958,0.117795484546615,0.115483176327242,0.221804511278195,0.0376510704588993,0.0449084319288651,2.43338823222384,64,0.243497152701718,0.225,0.147356835627722,0.2075,-0.0540335090935094,-0.0605033309477631,0.759132205471514,0,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",233,0.177823381343236,0.15,0.131303101432618,0.164780223378612,-0.0545204613577349,-0.0281779932829356,1.72871621566395,416,0.225539239146176,0.208333333333333,0.133041983251091,0.13688971334497,-0.0242766659088735,-0.0386584114537683,0.845799459620748,8,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",522,0.154084595818453,0.136334944298665,0.101141981942421,0.122222222222222,0.0204626350422288,-0.00088443807036558,0.819205086968653,1110,0.156062308709019,0.129681009902542,0.103668784901022,0.116666666666667,0.0216597449087043,0.0122394260039086,1.13010434381687,21,11,0.248214436851654,0.15146498516685,0.20941068295242,0.263333333333333,0.0668061111271717,0.040156479611799,0.424020292782297,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",290,0.229901166380285,0.282286965567659,0.149912905470013,0.184350517546375,0.00932094100212613,-0.0651777619873195,5.3461062054133,344,0.295497805957897,0.247644241911134,0.18814766797054,0.2572846605,-0.0721786493604879,-0.0469010935764318,1.79911886622617,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",92,0.234628361513913,0.185010746217978,0.159816923127468,0.194150350495528,-0.0559415546668717,-0.057220471400648,0.5847534181855,141,0.346685255768493,0.348898392954058,0.202289583257672,0.33387314439946,-0.0722157058559819,-0.0693295993384446,1.64419823437268,5,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",27,0.202578815197932,0.236526346850473,0.121697747957407,0.115757575757576,-0.127575703932695,-0.0999778445756535,4.58145125486983,169,0.314062718802462,0.279289492397443,0.225989329449274,0.329444444444444,-0.0697386229489775,-0.128111326987904,1.2,2,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
