"countryOnly","country","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","outliersOut","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",1,0.0726175,0.0726175,NA,0,0,0,1,4,1.25249994758106,1.21401448985606,0.715431589660297,1.34568375,-0.194531299129965,-0.23189610100211,1.08762943590156,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Albania","Upper middle income"
"Argentina","Argentina2010",30,0.293133337796558,0.265271561971002,0.146527828211924,0.211394415070206,0.000559367618180081,0.0187190897793372,0.66009235213665,19,0.222009685675756,0.169976750364364,0.179136015554949,0.289032,-0.0472651748145661,-0.0123241173392743,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",118,0.268235140681767,0.244043640745991,0.186121990168048,0.3,-0.127959167496559,-0.115557923163534,0.950294715220521,4,0.147051030621806,0.147002832455476,0.00503788457542624,0.00600000000000001,-0.000142104910510359,0.0027929292929293,1.10348862957121,38,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Bolivia","Bolivia2010",2,0.0314042249374678,0.0314042249374678,0.0071478294037411,0,0.000995263571674328,0.00153825871717607,0.603171690773458,5,0.402404397138438,0.408190752243799,0.154057511484103,0.0833333333333333,0.179471191097469,0.202144360703575,0.00295924637223703,3,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",5,0.298449773483962,0.317868505519718,0.194903958469222,0.31875,-0.0304919432013718,-0.0306771523922531,0.988193590986054,5,0.191588473443024,0.171219067206623,0.105151032964219,0.155020920502092,-0.0527588901553039,-0.0413713312081905,4.94537119352052,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",101,0.218827597686371,0.17454316206062,0.183803759758552,0.216666666666667,-0.0475218230440197,-0.0824793759122914,1.0999497558062,3,0.2,0.2,0,0,0,0,1,30,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",2,0.4,0.4,1.47770053549488e-16,0,-4.78281128983518e-18,-2.28575328599297e-17,1,7,0.391582733792202,0.198036301323193,0.439603913408407,0.371794871794872,0.233527308962261,0.226166687391173,0.333211116845095,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Chile","Chile2010",36,0.264893397950273,0.254370164734144,0.152774469312705,0.257470355731225,-0.00251829792395448,-0.0156692486122264,0.910131681876744,19,0.203288113880651,0.208860765847671,0.130195319769752,0.164240651001189,0.0199015562160229,0.0448186273958005,0.283455672017301,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",84,0.186926629551752,0.15,0.104098452813789,0.118627450980392,0.0200477677902982,-0.00287900321113442,3.91687063984575,64,0.17606257760152,0.115723093966615,0.14314801173838,0.145,0.000424260136119445,-0.0459363952794322,0.174946242908594,1,5,0.249779559005712,0.237241558207849,0.128797902673329,0.283333333333333,0.0693595103686596,0.0620772946859903,0.111111111111111,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",1,0.3125,0.3125,NA,0,0,0,1,33,0.242592373189619,0.202379467379143,0.147853535901545,0.142708176091367,-0.0768361703941987,-0.07204662669398,0.355801896289909,16,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Colombia","Upper middle income"
