"countryOnly","country","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","outliersOut","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","yearOnly","region","countryDes","incomeLevel"
"Angola","Angola2010",5,0.0135182752765837,0.00784529940820087,0.0165653180651366,0.0206253908692933,-0.00680881116047739,-0.00695420851311621,1.5,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Argentina","Argentina2010",1,0.3,0.3,NA,0,0,0,1,1,6,0.140623990731768,0.147601989863028,0.0563190040881896,0.0677178966136211,-0.0359186096783319,-0.0315848888705892,0.949974617194729,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",37,0.116247882305041,0.067703879504727,0.112728044767658,0.131111111111111,-0.0491484679395936,-0.046639506275185,0.466107472061709,1,1,0.0714285714285714,0.0714285714285714,NA,0,0,0,1,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",2,0.15,0.15,1.61005677795019e-16,0,5.36958831146898e-33,0,1,8,1,0.181818181818182,0.181818181818182,NA,0,0,0,1,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burkinafaso","Burkinafaso2009",3,0.144804966394559,0.195787673501766,0.14306494382585,0.229090051862329,-0.0209959776376084,-0.0122784926576281,2.64960981635572,0,5,0.110694719622747,0.0902765014405491,0.0798455469574152,0.107302368408784,-0.00603181308108077,-0.0104961469750889,2.16371874220255,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Chile","Chile2010",3,0.200066830469435,0.202120370672098,0.163812669964917,0.289805687634326,-0.0443839521636411,-0.0430577777651732,1.245162385642,0,12,0.315324814226988,0.392828089957866,0.188372235619449,0.156666666666667,-0.162488214503806,-0.0817014713642651,1.18179646505264,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",55,0.102138412032308,0.1,0.0505515413118056,0.046387283236994,0.00250261668731029,-0.00359135467365064,0.408994707027935,6,20,0.142860079796069,0.135938500586207,0.0660723706422265,0.064931506849315,-0.0072697768901018,-0.0570294469866555,8.55586625736497,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",6,0.257813822177251,0.231565752949437,0.225655368026718,0.296776193428394,-0.163187774544409,-0.160671070165906,1.56778185806695,0,8,0.211126766284126,0.167428281988516,0.092790620450304,0.0834051771428571,-7.61309151484858e-05,-0.0226190208762679,0.275833100077118,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",4,0.520723116492696,0.454352164109307,0.307151745930537,0.692708333333333,0.0451015397005547,0.0505658907624633,0.66079609724039,0,1,0.133333333333333,0.133333333333333,NA,0,0,0,1,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Egypt","Egypt2013",58,0.185400176529025,0.162031493468256,0.154641043411462,0.186913580246914,-0.0095841111563668,-0.0700376960995994,2.23675844575302,2,11,0.301742818869593,0.366920549966269,0.22679945454282,0.359340659340659,-0.129349571761102,-0.0395390509692744,1.80021326250165,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ethiopia","Ethiopia2011",18,0.0957716315445258,0.0648446273462212,0.0822155280064827,0.0818539741741808,-0.0104988095221918,-0.0104988095221918,1.3,1,1,0.867788550437487,0.867788550437487,NA,0,0,0,1,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Ghana","Ghana2013",4,0.0478892609575228,0.0403913822845369,0.0373915108116518,0,-0.0084636895190444,-0.0162025549122323,5.21486950896212,1,3,0.170539041035547,0.0466059041797954,0.200291321938186,0.335,-0.0215102284593481,-0.0233349946374082,1.10928962217575,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Guatemala","Guatemala2010",5,0.496444740778046,0.4,0.198996708279593,0.266666666666667,-0.0298190329937485,-0.0208228114478114,0.922478925842354,0,5,0.177045131350126,0.124825703994465,0.187203731878291,0.332407407407407,-0.0996038053878116,-0.127734588281555,3.3981290744732,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"India","India2014",569,0.120748838553707,0.0988180532891035,0.0993025508193025,0.113333333333333,-0.00448838506222601,-0.0104408458199615,0.953423190186299,4,74,0.0979861724981556,0.102300637546397,0.0588482705625075,0.083333333333333,-0.0207218856480763,-0.0201253455627374,1.16374609349751,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",8,0.317836871215768,0.30426681162715,0.23181977272118,0.417333333333333,0.020289873867513,-0.0658393205669673,0.0868048718823547,0,1,0.184979652238254,0.184979652238254,NA,0,0,0,1,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Jordan","Jordan2013",4,0.354060126962029,0.358133419927353,0.242673324573828,0.34,-0.135452621416356,-0.0368641509433962,2.91077396662246,0,3,0.225537374199564,0.220261633519985,0.176082073417138,0.253333333333333,-0.114127059583169,-0.0676893188512723,2.34583804558703,"2013","Middle East and North Africa","Jordan","Upper middle income"
"Kenya","Kenya2013",2,0.0510646860169248,0.0510646860169248,0.0183847763108502,0.026,0.0176124812102124,0.0124901960784314,0.286284319099473,1,7,0.016938413633819,0.00520932478441853,0.0222028022033159,0.00886363636363636,-0.00576520679994776,-0.00621755935292777,1.06294565977222,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Mexico","Mexico2010",1,0.25,0.25,NA,0,0,0,1,10,1,0.228067507982363,0.228067507982363,NA,0,0,0,1,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Myanmar","Myanmar2014",10,0.120268496921299,0.100155350502202,0.0820168371743874,0,-0.00149547542162807,-0.0131961380830956,0.5,2,NA,NA,NA,NA,NA,NA,NA,NA,"2014","East Asia and Pacific","Myanmar","Lower middle income"
"Namibia","Namibia2014",4,0.397634463606145,0.198693989624702,0.367115225822758,0.6125,-0.213694708173017,-0.161449829663911,2.38557374834524,0,2,0.118853677708051,0.118853677708051,0.0659966329107445,0.0933333333333334,-0.0385307167551946,-0.0355555555555556,3.82146210001939,"2014","Sub-Saharan Africa","Namibia","Upper middle income"
"Nepal","Nepal2013",17,0.25268347009488,0.308780326539469,0.154360014920613,0.166666666666667,-0.1954712113502,-0.0791944058436054,1.40196946482459,0,2,0.113095238095238,0.113095238095238,0.134687005940295,0.19047619047619,0.0317460317460317,0.0317460317460317,0.75,"2013","South Asia","Nepal","Low income"
"Nigeria","Nigeria2014",9,0.302877855765226,0.166666666666667,0.380068464287152,0.599966666666667,0.259009910736006,0.169144669811321,0.0821663780782658,3,8,0.0450633317180752,0.000188212258044387,0.0904049516761865,0.0249875,0.0254136273719367,0.0704892823299889,1.95505196222745,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Pakistan","Pakistan2013",14,0.147681202486779,0.0489321725294602,0.196603424060303,0.222857142857143,-0.07970018275134,-0.107979306535338,1.27182699069591,1,1,0.1,0.1,NA,0,0,0,1,"2013","South Asia","Pakistan","Lower middle income"
"Paraguay","Paraguay2010",2,0.287955597175136,0.287955597175136,0.0380069894887769,0.05375,-0.02592489759961,-0.0211160714285714,3.15489526912875,2,1,0.0272727272727273,0.0272727272727273,NA,0,0,0,1,"2010","Latin America and Caribbean","Paraguay","Upper middle income"
"Peru","Peru2010",1,0.194736842105263,0.194736842105263,NA,0,0,0,1,1,10,0.143593363480719,0.112380647471221,0.108018820216872,0.205333333333333,-0.0146878755919083,-0.0176530290745293,3.35297171810336,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",1,0.0407840575538344,0.0407840575538344,NA,0,0,0,1,3,3,0.0095732815779894,0.0105069105609386,0.0133493863123418,0.0200613695090439,-0.000955736765496615,1.64699527020165e-05,1.38327454130627,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Russia","Russia2012",4,0.0920277358267524,0.085688131765197,0.0697972146429447,0.09,0.0134622702318096,0.0212527727649658,0.322023346273415,2,1,0.00759731469458795,0.00759731469458795,NA,0,0,0,1,"2012","Europe and Central Asia","Russian Federation","High income"
"Senegal","Senegal2014",4,0.488949765778382,0.218792774438452,0.521092192466207,0.82536824452226,-0.26008831428683,-0.169869208201081,1.93782196598822,0,1,0.0459,0.0459,NA,0,0,0,1,"2014","Sub-Saharan Africa","Senegal","Lower middle income"
"Trinidadandtobago","Trinidadandtobago2010",4,0.307466997088255,0.312828272946,0.0599303120588436,0.0571428571428572,0.024850654949287,0.0421017789652506,0.633615244486467,0,2,0.287788230603045,0.287788230603045,0.142327903392677,0.201282051282051,0.062730356437641,0.0572272498743087,0.535791365643453,"2010","Latin America and Caribbean","Trinidad and Tobago","High income"
"Tunisia","Tunisia2013",5,0.206851745026328,0.213316979965504,0.057801099076197,0.0646941117806237,-0.0113691658399933,0.000432675679310679,1.07582061765674,0,7,0.0555909523374641,0.0227409792635679,0.0671869939144866,0.0756904761904762,0.0193314300335105,0.00157390044107045,0.165839898544531,"2013","Middle East and North Africa","Tunisia","Upper middle income"
"Vietnam","Vietnam2009",15,0.119362716829438,0.085666388553762,0.0767480834978159,0.095,0.0313933866314199,0.0301334000426757,0.298449908539043,0,9,0.0975958442050308,0.107567491442634,0.0605246168577103,0.105161290322581,-0.0283579257111834,-0.0265953716244123,2.4398542346727,"2009","East Asia and Pacific","Vietnam","Lower middle income"
"Zambia","Zambia2013",5,0.174755251209834,0.225078191336967,0.115381713353493,0.228666666666667,0.00711947349298642,0.00279333333333333,2.75233138952919,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Zambia","Lower middle income"
