"countryOnly","country","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",99,0.287176893426472,0.249783667177236,0.229985195182228,0.184865533333333,-0.0160093704339663,-0.00266116597141129,2.26628413267226,99,0.287176893426472,0.249783667177236,0.229985195182228,0.184865533333333,-0.0160093704339663,-0.00266116597141129,2.26628413267226,-97,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",6,0.32736589557634,0.32334295208527,0.121483519485664,0.103993672273909,0.0086285896994484,0.00406099554295947,0.641513070098161,6,0.32736589557634,0.32334295208527,0.121483519485664,0.103993672273909,0.0086285896994484,0.00406099554295947,0.641513070098161,-6,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",3,0.436110702453094,0.412201154163232,0.270895743161232,0.587333333333333,0.146049014230311,0.159906401906774,0.243333333333333,3,0.436110702453094,0.412201154163232,0.270895743161232,0.587333333333333,0.146049014230311,0.159906401906774,0.243333333333333,-1,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bangladesh","Bangladesh2013",27,0.172862826281617,0.170084485434341,0.102677017478559,0.166666666666667,-0.0309947943077355,-0.0215236576580434,0.967603751832725,27,0.172862826281617,0.170084485434341,0.102677017478559,0.166666666666667,-0.0309947943077355,-0.0215236576580434,0.967603751832725,-27,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",142,0.211200178383481,0.25,0.161656203913424,0.184545454545455,-0.0347290137622417,-0.0658448179270638,0.998059332103603,142,0.211200178383481,0.25,0.161656203913424,0.184545454545455,-0.0347290137622417,-0.0658448179270638,0.998059332103603,-140,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",13,0.254471195487193,0.170793171094031,0.182576580558505,0.28508867547289,-0.0545550274173936,-0.0232316277132307,2.13815424490473,13,0.254471195487193,0.170793171094031,0.182576580558505,0.28508867547289,-0.0545550274173936,-0.0232316277132307,2.13815424490473,-13,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Chile","Chile2010",16,0.272438258949321,0.268306228283362,0.11420065770236,0.153333333333333,-0.065953567310376,-0.0740080117051355,0.781429548962246,16,0.272438258949321,0.268306228283362,0.11420065770236,0.153333333333333,-0.065953567310376,-0.0740080117051355,0.781429548962246,-16,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",148,0.152613419261974,0.134587181450852,0.100853331047343,0.11304347826087,-0.00961319563657247,0.0285390696523055,1.204831835442,148,0.152613419261974,0.134587181450852,0.100853331047343,0.11304347826087,-0.00961319563657247,0.0285390696523055,1.204831835442,-145,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",18,0.288618813582571,0.175273909727618,0.217035386256592,0.45101788170564,-0.0994706623969743,-0.0186947084401689,2.3285616135319,18,0.288618813582571,0.175273909727618,0.217035386256592,0.45101788170564,-0.0994706623969743,-0.0186947084401689,2.3285616135319,-16,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",13,0.229610494657649,0.231820751360354,0.0848078462905365,0.0443478260869565,-0.0306823544757518,-0.0267287701168254,0.787887310789642,13,0.229610494657649,0.231820751360354,0.0848078462905365,0.0443478260869565,-0.0306823544757518,-0.0267287701168254,0.787887310789642,-9,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",7,0.327238416637989,0.363397668264208,0.12679067417774,0.1001443001443,0.0556549840205164,0.0559880966157942,0.660605326875531,7,0.327238416637989,0.363397668264208,0.12679067417774,0.1001443001443,0.0556549840205164,0.0559880966157942,0.660605326875531,-6,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Croatia","Croatia2013",13,0.839390557804815,0.335643242111862,1.73690924001083,0.334299516908213,-0.548058420075336,-0.411572221593746,1.86009941362255,13,0.839390557804815,0.335643242111862,1.73690924001083,0.334299516908213,-0.548058420075336,-0.411572221593746,1.86009941362255,-13,"2013","Europe and Central Asia","Croatia","High income"
"Czech","Czech2013",12,0.277319347361402,0.242538226990989,0.153734963878789,0.22155,0.0126700738701203,-0.0165804350532143,1.17643958805111,12,0.277319347361402,0.242538226990989,0.153734963878789,0.22155,0.0126700738701203,-0.0165804350532143,1.17643958805111,-12,"2013","Europe and Central Asia","Czech Republic","High income"
"Egypt","Egypt2013",32,0.109823488749836,0.0600664358810771,0.110639156084427,0.1065,0.0748751012838302,-0.0394231909743707,0.507082061561606,32,0.109823488749836,0.0600664358810771,0.110639156084427,0.1065,0.0748751012838302,-0.0394231909743707,0.507082061561606,-19,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Estonia","Estonia2013",5,0.131553712566476,0.122668788405395,0.0998777280846778,0.143599550526435,-0.0445621816888333,-0.0430651484459534,1.14519040658293,5,0.131553712566476,0.122668788405395,0.0998777280846778,0.143599550526435,-0.0445621816888333,-0.0430651484459534,1.14519040658293,-5,"2013","Europe and Central Asia","Estonia","High income"
"Ethiopia","Ethiopia2011",7,0.26175778247343,0.294956852189059,0.156179926918291,0.134591660498396,0.0354452214515582,0.0509406255509861,0.931897711978466,7,0.26175778247343,0.294956852189059,0.156179926918291,0.134591660498396,0.0354452214515582,0.0509406255509861,0.931897711978466,-7,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Hungary","Hungary2013",NA,NA,NA,NA,NA,NA,NA,NA,5,0.155201459769941,0.141567158789189,0.170462489058082,0.278802686903907,0.0487866153676852,0.0249486216269669,0.84046165605648,0,"2013","Europe and Central Asia","Hungary","High income"
"India","India2014",675,0.123816867381066,0.112726982619519,0.0830959899502576,0.0987755102040816,0.00253870874101904,-0.000672140924650781,0.9,675,0.123816867381066,0.112726982619519,0.0830959899502576,0.0987755102040816,0.00253870874101904,-0.000672140924650781,0.9,-668,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",3,0.344287558051724,0.344998820185402,0.202783746184929,0,-0.243134282061675,-0.118732467532149,1,3,0.344287558051724,0.344998820185402,0.202783746184929,0,-0.243134282061675,-0.118732467532149,1,1,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",NA,NA,NA,NA,NA,NA,NA,NA,3,0.527069766173171,0.542520935841701,0.171605987729031,0,-0.00171541000333398,0.00599344165402167,1.02982607791161,3,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Israel","Israel2013",6,0.377909856352678,0.45081129402111,0.1635410799783,0.0523809523809524,-0.195004183954286,-0.0724727866113634,1.55783243249772,6,0.377909856352678,0.45081129402111,0.1635410799783,0.0523809523809524,-0.195004183954286,-0.0724727866113634,1.55783243249772,-4,"2013","Middle East and North Africa","Israel","High income"
"Jordan","Jordan2013",6,0.0371878911667625,0.0230700868501361,0.0447236008248907,0.03,0.0053627212531737,0.00607872749962984,0.722565362372537,6,0.0371878911667625,0.0230700868501361,0.0447236008248907,0.03,0.0053627212531737,0.00607872749962984,0.722565362372537,-3,"2013","Middle East and North Africa","Jordan","Upper middle income"
"Kazakhstan","Kazakhstan2013",18,0.340141702700107,0.288227364503537,0.2546014505434,0.483695652173913,-0.14018762090061,-0.0450372943216584,0.984300772308475,18,0.340141702700107,0.288227364503537,0.2546014505434,0.483695652173913,-0.14018762090061,-0.0450372943216584,0.984300772308475,-18,"2013","Europe and Central Asia","Kazakhstan","Upper middle income"
