"countryOnly","country","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","outliersOut","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",1,-0.118483412322275,-0.118483412322275,NA,0,0,0,1,5,0.0693974024410952,0.0783218899082851,0.069416534979864,0.104146469988653,-0.0226322802183441,-0.00524266079295171,0.901792024230187,1,NA,NA,NA,NA,NA,NA,NA,NA,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",2,0.155144542241134,0.155144542241134,0.192278373568829,0.271922683652078,-0.00921760269052285,-0.0112675145159701,1.12596212540776,5,0.807721177314861,0.846116836363442,1.06131537503559,1.82108044806074,-0.668152413573809,-0.495784642218428,1.49942246762242,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",1,0.352173913043478,0.352173913043478,NA,0,0,0,1,16,0.0110882439301791,0.0015440546238806,0.0224972111040302,0.00669860726056726,0.0167668906303875,0.0166320295396289,0.368415954829698,4,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",2,0.162425738350327,0.162425738350327,0.0101130647477858,0.014302033323476,0.00645404551551255,0.00619754777350626,0.513215875880204,8,0.446702940507944,0.46848247306395,0.0952665480334394,0.0778306992855599,-0.0380410983196497,-0.0400671963665055,1.25,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",58,0.407942298620802,0.500627316113521,0.302989266290566,0.423752486405597,0.0395661657876304,0.0423530032286976,0.315334964402953,62,0.571833878144126,0.585849890754354,0.352302009891971,0.41799301242236,-0.0808525971623409,-0.105195254517768,1.37214840908139,3,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",1,1.33377385978531,1.33377385978531,NA,0,0,0,1,10,0.786246378995355,0.334767818798604,0.790892191548226,1.55831471780702,0.217121905537926,-0.0916284708607357,0.426949585102106,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",NA,NA,NA,NA,NA,NA,NA,NA,14,0.636904830136703,0.686775044144769,0.228070889420989,0.353158820127114,-0.0557968375983498,-0.0550109983648436,1.94186999848964,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",5,0.539439716436121,0.466439135381115,0.429290283985,0.397085910652921,0.135391493885836,0.12806993563713,0.4,12,0.585823034332762,0.590624109432887,0.262689015715875,0.403849221888642,0.0100445220754828,0.009119947960872,0.402010050251256,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",28,0.231394909772972,0.102225060764056,0.259504477174435,0.296530111746231,0.192359568760169,0.172438075618174,0.282427270997045,121,0.388244047439349,0.317836786287082,0.33133419731501,0.406341941811049,0.058089267737532,0.114280457968938,0.761477335631388,3,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",4,0.558458808576765,0.549387930069773,0.207836343928784,0.25764184746522,-0.0431117378397424,-0.0548007711431152,0.703846150636673,3,0.532699421127029,0.5420054200542,0.0191831693406158,0.034816247582205,0.00381630324546775,0.00381630324546775,1,4,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Barbados","High income"
