"countryOnly","country","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","outliersOut","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",40,0.425675983596515,0.33766772788572,0.432888220129853,0.468901736700179,-0.027266855260038,-0.0146552866322534,1.41005787612598,40,0.425675983596515,0.33766772788572,0.432888220129853,0.468901736700179,-0.027266855260038,-0.0146552866322534,1.41005787612598,-38,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",156,0.50556552473875,0.538776680347505,0.274830856287559,0.439490756548461,0.0267767426929107,-0.0267799259591993,1.17153597771707,156,0.50556552473875,0.538776680347505,0.274830856287559,0.439490756548461,0.0267767426929107,-0.0267799259591993,1.17153597771707,-154,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Bolivia","Bolivia2010",3,0.314926386770695,0.411078409636727,0.331360893917188,0.539662809145092,-0.245642392074142,-0.290011622716322,3.75841706081302,3,0.314926386770695,0.411078409636727,0.331360893917188,0.539662809145092,-0.245642392074142,-0.290011622716322,3.75841706081302,2,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",9,0.508051293076903,0.429917204578485,0.402245117818812,0.537685974284404,-0.242427818204259,-0.232100077221312,1.49905984007686,9,0.508051293076903,0.429917204578485,0.402245117818812,0.537685974284404,-0.242427818204259,-0.232100077221312,1.49905984007686,-9,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",123,0.374052782463697,0.302139929686731,0.292481888937078,0.346805779379923,0.00891781961337875,-0.0164994186018192,0.526085005725972,123,0.374052782463697,0.302139929686731,0.292481888937078,0.346805779379923,0.00891781961337875,-0.0164994186018192,0.526085005725972,-120,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",6,1.93408050907263,0.630991355303102,2.77793940809747,0.416416396986483,-1.32577357779663,-0.906033099065221,0.969391420810075,6,1.93408050907263,0.630991355303102,2.77793940809747,0.416416396986483,-1.32577357779663,-0.906033099065221,0.969391420810075,-4,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Chile","Chile2010",53,0.467217461963861,0.423619346493286,0.322298559079511,0.37728761607116,-0.0679734417798799,-0.0664665651200741,2.0829450731311,53,0.467217461963861,0.423619346493286,0.322298559079511,0.37728761607116,-0.0679734417798799,-0.0664665651200741,2.0829450731311,-50,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",141,0.317533625454807,0.256838516305914,0.196048008683394,0.223303274798291,-0.0183801843721985,-0.0658356046353218,0.799802352313105,141,0.317533625454807,0.256838516305914,0.196048008683394,0.223303274798291,-0.0183801843721985,-0.0658356046353218,0.799802352313105,-281,141,0.317533625454807,0.256838516305914,0.196048008683394,0.223303274798291,-0.0183801843721985,-0.0658356046353218,0.799802352313105,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",47,0.63352519052803,0.805671645395482,0.304836557347454,0.533550370772292,-0.303923440506134,-0.151822197324967,1.3696531264599,47,0.63352519052803,0.805671645395482,0.304836557347454,0.533550370772292,-0.303923440506134,-0.151822197324967,1.3696531264599,-46,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",3,0.459485291749839,0.468705355626199,0.142690179681423,0.145557863585303,-0.10014487643305,-0.0548795579479943,NA,3,0.459485291749839,0.468705355626199,0.142690179681423,0.145557863585303,-0.10014487643305,-0.0548795579479943,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
