"countryOnly","country","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",9,0.430680571214869,0.415919846682269,0.192572491889209,0.211585770857586,-0.0494944220368048,-0.0301847738556698,0.341286353320685,9,0.430680571214869,0.415919846682269,0.192572491889209,0.211585770857586,-0.0494944220368048,-0.0301847738556698,0.341286353320685,-9,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",103,0.30417160805764,0.279001183729252,0.225933255737293,0.377570418056635,0.0421259036355112,0.0594372121922743,0.862843130769438,103,0.30417160805764,0.279001183729252,0.225933255737293,0.377570418056635,0.0421259036355112,0.0594372121922743,0.862843130769438,-101,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",118,0.496403808241478,0.486832344220184,0.301348332027505,0.428200860233411,-0.0941401484466427,-0.0425249245915474,2.03398468910288,118,0.496403808241478,0.486832344220184,0.301348332027505,0.428200860233411,-0.0941401484466427,-0.0425249245915474,2.03398468910288,-114,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",8,0.545511638504038,0.662571798878252,0.191050479397407,0.281805478824769,-0.237968186100783,-0.179490731362642,3.23956135630732,8,0.545511638504038,0.662571798878252,0.191050479397407,0.281805478824769,-0.237968186100783,-0.179490731362642,3.23956135630732,-7,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",15,0.448338167960694,0.517896965060239,0.122569250097785,0.184472689797321,0.00595965153936781,0.011420763235574,0.77732939980309,15,0.448338167960694,0.517896965060239,0.122569250097785,0.184472689797321,0.00595965153936781,0.011420763235574,0.77732939980309,-15,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",9,0.365753626650916,0.364019208240493,0.103595729579929,0.0874720540902945,-0.140104087191447,-0.256351591359574,3.37094540650653,9,0.365753626650916,0.364019208240493,0.103595729579929,0.0874720540902945,-0.140104087191447,-0.256351591359574,3.37094540650653,-9,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Cotedivoire","Cotedivoire2009",9,0.485408835971604,0.520540218861666,0.228929661235807,0.365840599498984,0.0300938651247627,0.0300629827711183,0.416991827124159,NA,NA,NA,NA,NA,NA,NA,NA,0,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Egypt","Egypt2013",74,0.344943803174444,0.443319140896729,0.505919526977926,0.501093303977774,-0.142260000845822,-0.0241288637623165,1.04761904761905,74,0.344943803174444,0.443319140896729,0.505919526977926,0.501093303977774,-0.142260000845822,-0.0241288637623165,1.04761904761905,-66,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ethiopia","Ethiopia2011",13,0.0547574043011241,0.0235834794702788,0.156965747324171,0.116451116550927,-0.0295436476631034,-0.0288160295880494,0.0308568965517241,13,0.0547574043011241,0.0235834794702788,0.156965747324171,0.116451116550927,-0.0295436476631034,-0.0288160295880494,0.0308568965517241,-10,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Fyrom","Fyrom2013",9,0.722852330177951,0.812217513503419,0.298480762971005,0.078387783672781,-0.0115052192811969,-0.0150500855942087,0.314794711206896,9,0.722852330177951,0.812217513503419,0.298480762971005,0.078387783672781,-0.0115052192811969,-0.0150500855942087,0.314794711206896,-9,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
