"countryOnly","country","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",2,0.622749047274831,0.622749047274831,0.002353985923926,0.00332903881925151,0.00130024768472285,0.00130024768472285,0.561433447098976,1,1.21765601217656,1.21765601217656,NA,0,0,0,1,2,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",1,0.186318871439979,0.186318871439979,NA,0,0,0,1,20,0.408571857906496,0.3871809833966,0.229470048218634,0.412957972068063,-0.133431379036757,-0.0963647668525469,1,0,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",26,0.261285466596342,0.220896841816272,0.160568456850118,0.043731009276506,0.0515020552836747,0.0593403471333042,2.00662784568012,1,0.559701492537314,0.559701492537314,NA,0,0,0,1,53,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"China","China2012",33,0.303976489294604,0.182924014595642,0.292750148682618,0.199964450764309,-0.0819966033794085,-0.0437409182018739,11.0173702077626,65,0.33282843857914,0.319148936170213,0.180706752734596,0.271586066333148,-0.00896642857876135,-0.0067859591866511,0.790610910484785,2,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",2,0.526315789473684,0.526315789473684,1.57009245868378e-16,2.22044604925031e-16,5.55111512312578e-17,5.55111512312578e-17,0.666666666666667,3,0.591729806731178,0.613164678852877,0.310900884393558,0.309895162971613,0.0114372935662156,-0.00171700841171107,1,0,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",1,0.205128205128205,0.205128205128205,NA,0,0,0,NA,7,0.268547417963746,0.213402123981944,0.162722282637913,0.146913580246914,0.111453646666884,0.102847363395456,0.0860372680384045,1,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",78,0.294938631444909,0.30219640425795,0.17966354991118,0.265801842451589,0.0365650136969482,0.0642319691417178,0.707332451939133,337,0.314469701513824,0.259069258944708,0.243320942628095,0.335921779736143,0.0348586113131605,0.0362872207975207,0.759607246459963,4,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",1,0.0466200466200466,0.0466200466200466,NA,0,0,0,1,3,0.158400290311239,0.118699522765174,0.0754069245624,0.114329423763386,0.0222689408848668,0.0250401214332161,0.700440876291066,1,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Kenya","Kenya2013",4,0.323060220907147,0.18751113456748,0.324543882434917,0.587254221205628,-0.118714200769747,-0.0942115637685903,5.00381956532378,8,0.265769818154853,0.312092951699309,0.140144997780806,0.157180102738842,0.0166379717095825,0.0152194852896091,1.09065843524211,0,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Peru","Peru2010",1,0.21945866861741,0.21945866861741,Inf,0,0,0,1,4,0.606680310277392,0.297936179576431,0.679875380948475,1.26098560961963,-0.174566223875626,-0.123751588349172,1.19966023791977,0,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",5,0.168465602245556,0.143636766716111,0.144071785392282,0,0.042036253399075,0.078528320712974,0.570180568856225,1,-0.68,-0.68,NA,0,0,0,1,5,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Russia","Russia2012",NA,NA,NA,NA,NA,NA,NA,NA,6,0.310924546818872,0.147794741184523,0.319974123376619,0.427123186576295,0.265744086756579,0.235889149222859,0.144958572279733,0,"2012","Europe and Central Asia","Russian Federation","High income"
