"countryOnly","country","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","outliersOut","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",4,0.360253269861838,0.373334023433496,0.0436617936321888,0.0336392042083614,-0.00922046478389005,-0.0095022325983379,1.32621412443772,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",6,0.186479248340074,0.127538072402798,0.219490679730352,0.255730420079632,-0.063260397854053,-0.0589784108489994,0.860690900809174,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",8,0.444273840714611,0.436074429318422,0.165840184270769,0.239874213836478,-0.018351123861855,-0.0200487625744019,0.859434685965353,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Armenia","Armenia2013",4,0.0366848268244839,0.025447457160954,0.0312526637074629,0.0648976040690671,-0.00689088432847319,-0.0049284703823746,0.977966830218919,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Bangladesh","Bangladesh2013",73,0.44063968937219,0.446570417958115,0.207702493047333,0.302944407043901,-0.0819138529066562,-0.0878583449143459,1.28788061473015,2,11,0.152948357689692,0.0665729198024731,0.208124954510556,0.245598833913677,-0.0313745811726004,-0.0473014865673626,5.5749703813745,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Belize","Belize2010",10,0.454924969114442,0.408679140469273,0.22214854249783,0.242028529473463,0.0321651515213421,0.0326324443637003,0.666666666666667,0,2,0.44522325966247,0.44522325966247,0.114021944055157,0.161251379690949,0.00965919588718774,0.010336626903266,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",8,0.335885331372379,0.194052116742932,0.378805597166581,0.477091173327779,-0.000514514218675215,-0.0611428841017423,0.32258064516129,0,2,0.231840281390862,0.231840281390862,0.130860077115288,0.18506409582963,0.0768098791051043,0.089873081020711,0.580469875331061,NA,NA,NA,NA,NA,NA,NA,NA,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",1,0.633333333333333,0.633333333333333,NA,0,0,0,1,0,4,0.473846345432374,0.48138279515772,0.0743950883090482,0.0993886107899924,-0.0294667120477712,-0.0316008899213438,6.19242730437848,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Botswana","Botswana2010",6,0.294794839707811,0.301721732856739,0.148037672303575,0.0797659215520877,-0.0731582921665836,-0.104248752716501,3.98417406974192,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",116,0.441435667402914,0.414717169234719,0.256671802157277,0.285837713298293,-0.0257323737195861,-0.0190770599659732,0.691202849722111,3,24,0.319344788942237,0.279901758836973,0.2338401279985,0.291327553138284,-0.0110574701240335,-0.0125666611016365,0.970949394979529,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",4,0.502551138657537,0.495648384853138,0.118583962525763,0.157671957671958,-0.0116575082870389,-0.0170132628068861,3.11040900838505,0,2,0.766502627322414,0.766502627322414,0.261451246825278,0.369747899159664,-0.150393224834439,-0.144353631863704,4.36594511043201,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"China","China2012",10,0.201322011086268,0.115424654603285,0.174334784822748,0.158751828376402,0.0605336514302711,0.0769881831958961,0.117448471743116,0,4,0.40117044327846,0.377357351384303,0.124721567130084,0.26855311221888,0.0200160385539725,0.0106811723778745,0.588573857338234,NA,NA,NA,NA,NA,NA,NA,NA,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",1,0.709240941095498,0.709240941095498,NA,0,0,0,1,4,3,0.317845141260813,0.31698031674303,0.0767342500819439,0.102202074822787,-0.0257338149240352,-0.0402871867008533,1.80105393608737,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",5,-0.063951699157609,0.435209287135165,1.60051736594306,2.5,0.385975230623998,0.296717360964471,1.46057313818761,0,5,0.322430202293465,0.403042114774286,0.234524292378267,0.462830181365963,-0.0957618897044247,-0.0961402788595952,3.84613519718938,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Drc","Drc2013",40,0.367309450154643,0.30765450008037,0.232062369568317,0.3390825075235,-0.0849558655445207,-0.0562300823227828,1.21327305586135,0,4,0.368258211315823,0.385856840894661,0.351524132607048,0.562675114740108,-0.185962630195702,-0.192385255869206,1.22033276245888,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
