"countryOnly","country","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","outliersOut","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",5,0.80091125735041,0.599255279034691,0.952797301751511,1.60343915343915,-0.265709527654494,-0.0184364161367316,1.71697175373646,20,0.241886989411005,0.171082804974055,0.219841442532151,0.270871394007072,0.00360873789223787,0.0262028752254083,0.914878969727942,2,NA,NA,NA,NA,NA,NA,NA,NA,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",6,0.557936738032753,0.587444466945273,0.341707465108219,0.458643429109751,-0.0496353394842171,-0.0704569070714901,1.10905321773829,25,0.369720726606653,0.330728176160196,0.2612780582688,0.420075757575757,-0.0242018167196769,-0.0377887901814573,1.4083470272635,10,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",11,0.0635777950815512,0.0297301958597536,0.0833455300089133,0.102481979349308,-0.0262381877803782,-0.0241910347792481,0.849804312191956,106,0.0252544195492089,0.00489846607046122,0.0390021536263187,0.0259300751879699,0.0111330303085004,0.0118916691181102,0.761766034303807,4,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",8,0.446116864878466,0.457088723656566,0.0762503653751297,0.1,-0.035770748970962,-0.0369983296249205,0.539390772809443,23,0.388668973824223,0.386106769724423,0.113419046795535,0.135599415204678,-0.000138468932561268,-0.000276645733503819,1.25,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",363,0.473584967122866,0.45,0.223593898411022,0.369428484823434,-0.103256959181793,-0.0695476802733337,1.06931030229341,283,0.454994328931003,0.457213869116404,0.245159735788487,0.415197436043856,0.01851876707138,-0.0179122459595649,0.671957230444006,10,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",12,0.359621208002067,0.398905382701114,0.15281305641468,0.104087588409313,0.0186438149794927,0.0352909532622192,0.55645974413784,46,0.391037686843555,0.375,0.205926484548666,0.297211938043068,0.0895543196681454,0.0265374324941469,0.140050380955496,8,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",3,0.349300745421329,0.30928014595105,0.148258551223901,0.275,0.0187872120618638,0.0171714954638572,0.967363836915834,69,0.339179887220283,0.34552817955681,0.151341779252584,0.155035460992908,0.02550648333894,0.0249967375461444,0.492135899159644,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",10,0.512755275053491,0.490196078431373,0.126122608824615,0.125394157663065,0.0143708515522608,-0.00342592775008967,0.20375,26,0.468350368263679,0.463333333333333,0.0986360571184448,0.158,0.0188687941592228,0.00949896610316641,0.500000000000001,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",321,0.481414918713265,0.521667332042531,0.250023765597208,0.404040404040404,0.00576348616938371,0.011818471449884,1,776,0.476241405066378,0.48,0.231778847920105,0.354166666666667,0.12095106850406,0.0583366935633499,0.92,20,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",42,0.387674957644717,0.4,0.152366694948577,0.125819107541119,-0.0402838251089273,-0.0363402151310076,0.439460607301175,17,0.404000661510776,0.4,0.0166152302991798,0.016666666666667,0.00101133131107474,0.00334577900319259,0.0976103307973227,8,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",39,0.377889631092033,0.31675445504551,0.24830780269538,0.285714285714286,0.27968887471308,0.221545276598155,0.239614135443116,42,0.337590119843252,0.276173340262986,0.236551422321534,0.278571428571429,-0.0246378606105842,-0.014640209121223,1.93186589770315,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",20,0.37525122513194,0.363706945287162,0.134983461947053,0.121212121212122,0.0205707581889268,0.0134939207156036,0.260060821825688,52,0.422821642275609,0.40608524081429,0.153882030812291,0.25,-0.0154910536101352,0.00962563542201434,2.1197455164069,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",25,0.556543172386909,0.442808935735187,0.353168785040699,0.719005822940634,-0.17140201911136,-0.0626147038064324,3.23333967256962,49,0.409249198008899,0.393647606489678,0.267582253197575,0.453363636363636,-0.0421165301455072,-0.0512292618357696,1.42274850180405,0,NA,NA,NA,NA,NA,NA,NA,NA,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",41,0.445905960909593,0.405704353629026,0.206375091098757,0.3,0.000212882458487192,-0.00751490201025228,0.719102907363341,38,0.473961611135568,0.5,0.243864517071511,0.2383572498402,-0.0977795080119574,-0.0653185867721081,0.423763145933602,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Bolivia","Bolivia2010",16,0.465344447354244,0.351665227382023,0.240933363642079,0.399931330555976,-0.0898786055677113,-0.0981906041043943,1.04664836076287,32,0.317404571092066,0.106440581445535,0.336854458540259,0.641065535124941,0.0258516447143213,0.0609589732851931,0.9315358438793,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",13,0.42112684445474,0.500983046424406,0.264255537437064,0.48,-0.0134712906223282,-0.0397653430912785,0.891585151757795,54,0.419506757674985,0.400990607505414,0.227966099328375,0.35,0.0178599194309192,0.023826427844659,0.719440454979544,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",288,0.339494492455757,0.336261368237726,0.192620628919701,0.22,-0.0219442900218006,-0.0638105856951131,0.898068436929628,830,0.340516148928335,0.330001043992123,0.186786219911659,0.2,-0.00920916974654358,-0.0192482225274665,1.00563182587631,10,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",38,0.368549446048097,0.421946489811685,0.244325765710589,0.468547544409614,0.123026321394069,0.0995451748301855,0.111052957573644,51,0.407819009297474,0.426690608451786,0.253470067096944,0.462451508995632,0.0579281470154207,0.0855237718320986,1.03191472983795,2,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Burkinafaso","Burkinafaso2009",15,0.163389123999004,0.166835329698838,0.0974597222972349,0.141234271032461,-0.0185958145981652,-0.00848260828463332,1.31287775756622,30,0.177744711598066,0.191265863982266,0.12083612778497,0.2,-0.0372883501908499,-0.0442474136827272,0.333531180318918,6,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Burundi","Burundi2014",18,0.366714689633558,0.358807895982594,0.231014320261054,0.409303437791519,-0.129913932398444,-0.134083842838393,0.794331065224939,36,0.430526670666328,0.476307018386496,0.197287195708357,0.288888888888889,0.0178992706677301,0.0227285500157518,1.04146964930833,0,NA,NA,NA,NA,NA,NA,NA,NA,"2014","Sub-Saharan Africa","Burundi","Low income"
"Cameroon","Cameroon2009",28,0.245132571218554,0.282368141170178,0.201995624233276,0.341354166666667,-0.0448163201797996,-0.073175189616873,0.537352741061031,49,0.214182391643516,0.174526039039212,0.167172490391691,0.312142857142857,-0.00660729522136278,0.00792766626450159,0.56405439727751,6,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",226,0.436122343153061,0.444444444444444,0.22719616213068,0.308689118971594,-0.0126877572107875,0.00501127836561052,1,416,0.404311731057671,0.428571428571429,0.194660332606367,0.315582714971628,-0.00959969989447798,-0.0202222024983316,0.973083419418223,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",497,0.430915532981207,0.4,0.219505018946929,0.328571428571429,-0.044870819044313,-0.00992684533313469,1.43761536756557,1040,0.358757810549135,0.333333333333333,0.19529013004604,0.296433878157504,-0.0407938916333409,-0.0286767564656145,1.53647982791416,17,6,0.658967320772096,0.660993283569813,0.073581009046016,0.0456521739130435,0.0217411653940729,0.0321565754888273,0.453299398478405,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",285,0.362858792519762,0.300482227986541,0.196492901223544,0.322440576923077,-0.0693026431941386,0.0222967943644136,2.19318168747306,340,0.406137222975877,0.398577533885608,0.213219764437979,0.4,0.0472173142439963,0.0374655937290397,0.705882352941177,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",93,0.404241052993222,0.396278978944906,0.216421086285487,0.257471264367816,-0.0104761362460019,-0.04674015533232,0.340678828244213,133,0.496440556665223,0.520287682231419,0.292735901488849,0.325906344410876,-0.0181537154364114,-0.00165411800109482,0.8,2,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",20,0.17444488879613,0.058598253648407,0.244097885136552,0.2,-0.0569683359124966,-0.109010032517314,0.303449024896946,100,0.184073869618085,0.120278204020271,0.163569443071362,0.228,-0.0409830689236778,-0.0855813042669582,0.577313085408928,30,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Croatia","Croatia2013",60,0.413256379161765,0.437379182072925,0.189620223593698,0.298327759197324,0.0150357325017053,0.0147499067577221,0.862052860618278,35,0.379402675822453,0.352217058822064,0.189047552362426,0.265217391304348,0.0199593896936534,0.0298359756820146,0.641155971527533,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Croatia","High income"
"Czech","Czech2013",46,0.363274661859794,0.324872511988235,0.220015457266484,0.32962962962963,0.0161921870778918,0.0158246486680625,0.619420270476581,11,0.425101604326208,0.311671045960908,0.383250610866414,0.670238095238095,-0.112579518936827,-0.172608335082807,0.630605245574317,2,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Czech Republic","High income"
"Djibouti","Djibouti2013",NA,NA,NA,NA,NA,NA,NA,NA,10,0.252302873045586,0.304051297816625,0.100133554284426,0.17499416969697,-0.0278763035041727,-0.0254030632447991,2.82598486027966,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Djibouti","Lower middle income"
