"countryOnly","country","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","outliersOut","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",58,0.480181100340967,0.5,0.211599524155469,0.298737909884407,0.0535457905089158,0.034478002750944,0.429332659455624,20,0.476978923300811,0.5,0.18723214083964,0.304953560371517,-0.0621999440020808,-0.0631711981292084,0.929060035774711,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",34,0.600415733981824,0.666666666666667,0.195122245456472,0.25,0.00242423251364944,0.0162965931365458,1.07599373293613,142,0.489774396142848,0.526611304806974,0.256984734415405,0.425925925925926,-0.00474127597069967,0.0155860914244007,0.813959565028705,4,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",4,0.450525177999686,0.4,0.0908037161789216,0.142857142857143,-0.0383119153218161,-0.0290053404539386,NA,1,0.4,0.4,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",4,0.306408667485214,0.308794216394377,0.0760896517209827,0.0933333333333333,0.0115726422341284,0.0619144144144144,0.843563628590639,2,0.317419037517368,0.317419037517368,0.00210095985959444,0.00297120592743993,0.000802538898654255,0.000855347160929678,0.670022615345472,4,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Brazil","Brazil2009",122,0.29046820122061,0.3,0.162550345497361,0.226086956521739,0.042775709709143,0.0503750693842122,0.794326677534684,21,0.300519635705004,0.302858743926354,0.257076795488664,0.306661551946461,-0.0136749269495035,-0.0705010641438306,0.588032177295612,2,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",4,0.146320521301328,0.146133440182715,0.0454779382008879,0.0526709889507807,-0.0133832862369637,-0.0287724642284026,5.40552934387682,7,0.0498996138322446,0.00792960319072387,0.0618435943689196,0.0819320744081172,-0.0124156756505002,-0.0103194913780247,2.83192589813113,4,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Cameroon","Cameroon2009",10,0.0952296088855469,0.0833196251689729,0.0653702491898517,0.0615384615384615,0.00782005882105272,0.000878473653976105,0.583333333333333,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",31,0.285643198785748,0.230395370743349,0.165511598574186,0.133333333333333,0.0782273206981444,0.0247956865355506,0.15,4,0.48643677967686,0.470690680235549,0.0466733567966415,0.0454545454545454,0.00433744141044899,0.0195126057181763,0.330505645588306,3,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",64,0.310955268395289,0.31753608654828,0.168262124516463,0.266666666666667,0.00131920163091048,-0.0188459135052844,1.08293371314211,49,0.406527792338972,0.37871125990987,0.1986425927895,0.321428571428571,-0.0536556573579057,-0.00953017835309737,0.34126776750097,9,1,0.65,0.65,NA,0,0,0,1,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",54,0.329179581857247,0.295839239762863,0.214434750456846,0.362679775280899,0.012704354528626,-0.0523656698099119,1.0287826643526,43,0.340330240847522,0.323960141291714,0.134763365370984,0.147663711752931,-0.0179150897214409,-0.0129972432508721,0.538173200695898,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Colombia","Upper middle income"
