"countryOnly","country","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","outliersOut","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Angola","Angola2010",1,0.005625,0.005625,NA,0,0,0,1,4,0.0033497889842057,0.00100875080110074,0.00569608393985837,0.00236826517027864,0.00707609344779872,0.00699035521787102,0.0677241213374962,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Argentina","Argentina2010",33,0.391675180009136,0.299500827261143,0.250714895822135,0.513949497941512,-0.0288258724402223,0.018294634334599,1.52459064577897,19,0.52081692443359,0.586645759637702,0.274448192913471,0.432611935967651,-0.0334177423123392,0.0108892523335171,1.02792365380668,3,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",1,0.2000000016,0.2000000016,NA,0,0,0,1,6,0.309574326569933,0.287523989172498,0.102139939181748,0.0965496598639456,-0.0501555151646419,-0.0495025249116473,4.13943202536789,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,29,0.504090262352008,0.485218982554488,0.26527737775857,0.365,-0.0199730124392635,0.00749276734502288,0.756096648427017,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",2,0.385123885045271,0.385123885045271,0.183847763108502,0.26,-0.0859314704771998,-0.0808108108108108,2.45173112305427,6,0.296672953502232,0.260751652047605,0.257315401753538,0.325,-0.101207042326002,-0.0911181712962963,4.713915861446,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bhutan","Bhutan2015",1,0.444304652702264,0.444304652702264,NA,0,0,0,1,4,0.483163480330053,0.50533161873871,0.323471679309979,0.678022839186748,-0.0241293851334555,-0.000420886229379829,1.53075345399167,0,NA,NA,NA,NA,NA,NA,NA,NA,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",7,0.255342800046575,0.266644003540105,0.198064818250929,0.389866945520463,0.0392671268038748,0.0531197538353243,0.732878850480726,2,0.0366257575757576,0.0366257575757576,0.0189140350228293,0.0267484848484848,-0.00102878787878788,-0.00102878787878788,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Botswana","Botswana2010",1,0.188048108108108,0.188048108108108,NA,0,0,0,1,8,0.514572089712896,0.6,0.303669837379507,0.567441860465116,0.133441677748512,0.119985713155303,0.268429855213697,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",19,0.292996924727575,0.349451254636364,0.204154962988935,0.326229508196721,-0.0579569818119419,-0.0764815100364468,0.582004963196366,38,0.268407753038546,0.251060614388584,0.191565941900982,0.22737521270579,0.08873772279895,0.0852798549226602,0.931102627139922,0,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",4,0.404679084129704,0.509931054179665,0.31955380510949,0.548946078431373,0.156085820448235,0.127616889859692,0.107506384169708,5,0.516627466846875,0.586709043693767,0.197914892280886,0.333333333333333,-0.032157192414055,-0.0891690720979058,1.00803683973313,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
