"countryOnly","country","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","outliersOut","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",6,0.488664644775888,0.459686543830739,0.24744429846032,0.442528735632184,-0.0537640063464236,-0.0597744482088895,1.40776765554716,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",6,0.0626398017316458,0.0600357942724021,0.0580589381210158,0.0939,-0.013428942826258,-0.0120835599655951,0.860690900809174,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",8,0.460141398059604,0.45667523270284,0.0999549827203113,0.133333333333333,0.00549794813210429,0.00540076974564927,0.859434685965353,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",1,0.426666666666667,0.426666666666667,NA,0,0,0,1,0,4,0.434018856697719,0.434036615572761,0.0604179076437076,0.0696571915787232,0.0255271055440808,0.0246230386532606,0.385249989843925,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Azerbaijan","Azerbaijan2013",5,0.308939355885792,0.334546738476062,0.105233577927868,0.0750000000000001,-0.0586293574249175,-0.0585384615384615,0.978403429789022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bangladesh","Bangladesh2013",70,0.394037662821834,0.389669316405634,0.22361700017267,0.264705882352941,0.0977295610188046,0.109101844967731,0.540449684489997,5,12,0.45129359180636,0.456383398390557,0.258409221983621,0.223333333333333,-0.102513756067241,-0.0966085167389133,0.476224948340444,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",2,0.4,0.4,0,0,0,0,1,0,6,0.321207112514461,0.374674244805141,0.11710095659711,0.25,0.029738937846673,0.0279994298969883,0.478138703383241,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",1,0.24,0.24,Inf,0,0,0,1,0,4,0.408726486644347,0.42119551107843,0.121191546364304,0.130324337286316,0.0640159077749783,0.0719797826751449,0.799271703309423,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",10,0.455997272993268,0.427463368617947,0.148820940153208,0.267543859649123,0.0170945033847959,0.0131978485340153,0.666666666666667,0,2,0.477953032043739,0.477953032043739,0.0235702260395516,0.0333333333333333,0.00199671591558893,0.00213675213675214,0.849679763934581,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",8,0.287369624249583,0.302458620106051,0.140635011353446,0.133333333333333,-0.0406033595058549,-0.0321941245598913,0.263157894736842,0,2,0.327835956375022,0.327835956375022,0.127394573231574,0.180163133236824,0.0747757603714597,0.0874930158535152,0.580469875331061,NA,NA,NA,NA,NA,NA,NA,NA,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",1,0.5625,0.5625,NA,0,0,0,1,0,5,0.389514878178515,0.384733383811425,0.181424913558051,0.210196514423077,-0.073879027023394,-0.0917823386334685,6.77329451368178,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Botswana","Botswana2010",7,0.363718157919526,0.297648221200838,0.30869883733308,0.383222222222222,0.122007838698453,0.164127423158219,0.644615702271768,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",121,0.337305371350661,0.368751669728808,0.187427106158088,0.238875109717869,0.00953670628353355,-0.0047029741872423,0.782608695652174,1,24,0.423463688667293,0.447140509280454,0.182625154594535,0.214285714285714,0.0530999905899469,0.0367458475098301,0.989065480734232,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",4,0.457029112409842,0.52506447560894,0.232405417073495,0.195417761846363,0.041687622211786,0.0530960529307967,0.740573573425012,0,2,0.441724004649769,0.441724004649769,0.212132034355964,0.3,0.122023593786124,0.117123287671233,0.537347090514709,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"China","China2012",10,0.215549596783368,0.25,0.111351535363117,0.207692307692308,0.0827023447666922,0.0976544987165066,0.048000449384388,0,4,0.486295829280844,0.436484345533724,0.125653095076867,0.176923076923077,0.104208517028166,0.125756930470441,0.0800460445979998,NA,NA,NA,NA,NA,NA,NA,NA,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",1,0.707717473856034,0.707717473856034,NA,0,0,0,1,4,5,0.440803266035237,0.494397473577077,0.17261789168149,0.310159486013986,0.0403253254894208,0.0780393033471296,0.674934519933879,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",5,0.318183272284089,0.282584879928722,0.195658403913918,0.25,0.0469581932424268,0.0412680429674387,0.639000747957081,0,5,0.295307703437717,0.249990371689379,0.267684949922551,0.639083333333333,-0.0349398167031305,-0.0253728609595653,0.769227039437876,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Drc","Drc2013",42,0.185003002590461,0.177279094137633,0.134805943637733,0.207843137254902,0.00483069014729661,0.00357452909928042,0.767766528109252,1,4,0.216561651433215,0.207394879592058,0.195548579132822,0.240594472848208,-0.0910507584186011,-0.0955744997493904,2.44066552491775,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Egypt","Egypt2013",96,0.412159462816678,0.395010708048987,0.253740981527665,0.344444444444445,0.0144780116146924,-0.0207360908953768,0.737364145363663,1,15,0.342327549998474,0.308104774987585,0.205002285457699,0.383474576271186,0.0549798341580544,0.0410811087643968,0.597014924709238,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Estonia","Estonia2013",NA,NA,NA,NA,NA,NA,NA,NA,1,5,0.452932728997794,0.455626025245914,0.0319338210028652,0.0314655172413793,0.00482823026956422,-0.0089074688309554,0.26188502370637,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Estonia","High income"
"Ethiopia","Ethiopia2011",5,0.293398111692783,0.333333333333333,0.190258385992623,0.285506295459491,0.0266328053625122,0.0266328053625122,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Ghana","Ghana2013",19,0.294363902428264,0.3,0.21149832633104,0.32,-0.117443661262095,-0.122940529442765,1.4,0,5,0.336587236356324,0.233920664890035,0.313628897323268,0.565,-0.077983397596247,-0.0865797101449275,2.01303635938917,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
